pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection,padj_percollection,padj_joint
GOBP_PROTEIN_LOCALIZATION_TO_AXON,0.819838056680162,0.873586181025452,0.0553642837725362,-0.291656798280707,-0.729051096255916,11,CNTN2;UGT8;MAL,GO:BP,0.873586181025452,0.874053371499281
REACTOME_LANOSTEROL_BIOSYNTHESIS,0.82020202020202,0.879062071573772,0.0552495663125249,0.272077911605614,0.717851451198469,14,PLPP6,Reactome,0.879062071573772,0.874297581073897
GOBP_REGULATION_OF_VITAMIN_D_RECEPTOR_SIGNALING_PATHWAY,0.82092555331992,0.874470317580167,0.0550211117163117,0.295928946212206,0.72232348045269,10,SNAI2;CYP27B1,GO:BP,0.874470317580167,0.874924931930011
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT,0.821092278719397,0.874470317580167,0.0519512476197082,-0.220082046783024,-0.778533730772092,43,KRT18;VAMP2;BBS1;PREPL;PKDCC;GCC2;BBS2;SPTBN1;RAB11FIP3;LYPLAL1;KIF13A;GGA2;GOLPH3L;MACF1;VAMP4;GGA3;ANK3;OPTN,GO:BP,0.874470317580167,0.874935874935875
GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,0.821205821205821,0.874470317580167,0.0565299525056311,0.202100505773651,0.832619437025817,94,BICDL2;RASGRP1;MREG;BORCS6;BLOC1S6;FBXW11;AP3B1;BORCS8;NDEL1;CDC42;AP3D1;SNAPIN;BLOC1S4;LRPPRC;HSBP1;RAB6A;OPA1,GO:BP,0.874470317580167,0.874935874935875
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,0.821782178217822,0.879469522115858,0.0542315935495841,-0.214984494890633,-0.790413423393375,49,SH3BP4;SESN1;RRAGD;FNIP1;ATP6V1B1,Reactome,0.879469522115858,0.875059943903813
REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS,0.821862348178138,0.879469522115858,0.0552495663125249,0.277411344808358,0.71941445910451,13,LYN;GRB2;VAV1;SHC1;HRAS,Reactome,0.879469522115858,0.875059943903813
GOBP_EMBRYONIC_SKELETAL_JOINT_MORPHOGENESIS,0.821862348178138,0.874742907027499,0.0552495663125249,-0.289667804365623,-0.724079231369563,11,OSR2;SHOX2;CTNNB1;OSR1;NOG;BMP4;BMP7,GO:BP,0.874742907027499,0.875059943903813
GOBP_NEGATIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,0.821782178217822,0.874742907027499,0.0542315935495841,0.273546284317683,0.733190179900174,14,CARD16;SIRPA,GO:BP,0.874742907027499,0.875059943903813
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY,0.822,0.874742907027499,0.0546808488785442,0.284342722908168,0.729568409309518,12,TMEM14A;SLC25A5;BCL2L1;FZD9;BAK1,GO:BP,0.874742907027499,0.875062746386334
