pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection
GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,3.13588461544704e-18,8.47559925230547e-16,1.10533657731401,0.679393798737892,2.83556855427051,101,CD28;OAS1;ADAR;IFIT1;IFIT5;OAS2;LTF;IFI16;TRIM15;ILF3;LGALS9;IFIH1;TNF;RSAD2;KPNA2;MX1;OAS3;CSNK2B;TRIM25;TRIM21;ZNFX1;TMPRSS4;ISG15;SMPD1;TOP2A;PLSCR1;OASL;APOBEC3A;TRIM38;LAMP3,GO:BP
GOBP_RRNA_PROCESSING,3.70859909467557e-18,9.49596557662981e-16,1.0959292864312,0.542152701573807,2.55638472494069,224,TSR1;WDR43;ERI1;EMG1;DIMT1;NOLC1;BRIX1;PNO1;ABT1;NOP2;RIOK3;NOL11;WDR3;RPL7L1;NOP58;ISG20;ERI2;RPF2;UTP14A;TFB2M;NOL6;NOB1;DCAF13;BMS1;IMP4;NOP56;LYAR;EBNA1BP2;PA2G4;BYSL,GO:BP
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,5.56992478705597e-18,1.2903659090013e-15,1.0959292864312,0.49371933516221,2.42107899413412,306,CCR7;IL36A;S100A7;IDO1;TNIP3;CXCL13;GBP2;LTF;NOS2;GBP5;REN;NOD2;S100A8;PTPN22;IL18RAP;IL36G;CARD16;LGALS9;TNF;PTAFR;HMGB2;CMPK2;KLRK1;GBP3;CYP27B1;GCH1;IL36RN;CD6;CXCL10;PYCARD,GO:BP
GOBP_ORGANELLE_FISSION,5.32396936159783e-18,1.2903659090013e-15,1.0959292864312,0.43536890463967,2.24347787527925,461,CD28;NDEL1;FANCD2;PRC1;MAD2L1;ZWILCH;LCMT1;FIGNL1;CCNB2;TNF;KIF23;AURKA;KPNB1;NDC1;MIS12;CCNB1;AURKB;NCAPH;SMPD3;KIF22;ANKRD31;RAD51AP1;DNM1L;UBE2C;RCC1;NUSAP1;CENPA;CDCA8;PTTG1;MYBL2,GO:BP
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,1.02576129196989e-17,2.26833122065159e-15,1.0864405425825,0.43314941676032,2.23476568695437,459,CCR7;IL17A;IL7R;IL36A;CARD14;PARP14;SYK;CXCL13;OAS1;ADAR;CXCL17;STAT1;PTPRC;OAS2;PARP9;CCR4;CXCR2;MMP12;CXCR3;IL18RAP;IL36G;IL2RG;SP100;CARD16;PYDC1;IFIH1;TNF;IL12RB1;MX1;LAPTM5,GO:BP
REACTOME_G2_M_CHECKPOINTS,2.03493741323898e-17,2.53627199413695e-15,1.07686819261983,0.645411281015052,2.80790315508703,120,MCM6;RFC3;RFC5;RPA3;MCM4;CCNB2;CCNB1;CDC6;CCNA2;RFC4;EXO1;CDC25A;MCM2;ORC1;BLM;CHEK1;ORC6;CDC45;RPA1;CDK1;RBBP8;MCM10;CDC25C;CLSPN;BRIP1;PSMD11;PSMA3;NSD2;GTSE1;PSMD2,Reactome
GOBP_MITOCHONDRIAL_TRANSLATION,2.21817786705766e-17,4.69192840140674e-15,1.07686819261983,0.626267588447127,2.70481044195892,128,GFM1;MRPL17;MRPL44;C1QBP;LRPPRC;MRPS15;MRPL52;MRPL3;MRPL57;MRPS2;TRMT10C;TSFM;MRPS25;MRPL15;MRPL37;MPV17L2;MRPL18;MRPL46;LARS2;FASTKD2;MRPS5;RPUSD3;MRPS18C;MRPL35;MRPS11;MRPL30;EARS2;SHMT2;METTL8;MRPL32,GO:BP
HALLMARK_MTORC1_SIGNALING,7.94622611142001e-16,5.67587579387144e-15,1.02766987054358,0.542021656231922,2.53506896892521,195,CCNF;MCM4;IFI30;HSPD1;AURKA;CDC25A;MCM2;STIP1;PSMG1;RRM2;DHFR;MAP2K3;BUB1;PNO1;HMBS;TBK1;SLC37A4;HK2;RPA1;NAMPT;TFRC;POLR3G;CCT6A;HSPA4;PLK1;RIT1;TXNRD1;M6PR;HSPA5;PSMA3,Hallmark
REACTOME_MITOTIC_PROMETAPHASE,7.66453594285699e-17,8.75673231471411e-15,1.05746357275086,0.554382824458758,2.60461448028316,196,NDEL1;HAUS8;MAD2L1;ZWILCH;CCNB2;CENPN;CEP78;MIS12;CCNB1;AURKB;NCAPH;CSNK2B;NUP107;CENPA;HDAC8;CDCA8;NUP37;BIRC5;TUBGCP5;CEP152;ZWINT;PLK4;CDC20;CENPP;CDCA5;BUB1;SMC2;SKA1;NDC80;KIF2C,Reactome
GOBP_REGULATION_OF_T_CELL_ACTIVATION,4.76077160492539e-17,9.65048077415084e-15,1.06720998682811,0.455909949418991,2.29080882216457,365,PLA2G2F;CCR7;ICOS;IL7R;IDO1;SYK;CD28;PTPRC;LAG3;NOD2;FANCD2;PTPN22;IL2RG;PSMB8;LGALS9;HSPD1;IL12RB1;KLRK1;LAPTM5;DOCK8;CD83;SIT1;TIGIT;PSMB9;NCKAP1L;CD2;IL2RA;CARD11;CYLD;CD6,GO:BP
