theme,pathway,label,collection,NES,ES,padj_joint,padj_percollection,size
Proliferation / cell cycle,REACTOME_CELL_CYCLE_MITOTIC,CELL_CYCLE_MITOTIC,Reactome,3.02842506043756,0.592342933497073,3.3264589424224e-48,3.3264589424224e-48,481
RNA processing / translation,GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,GO:BP,2.89944837379596,0.566850993584172,4.14234998392506e-41,4.14234998392506e-41,482
Interferon / antiviral,HALLMARK_INTERFERON_GAMMA_RESPONSE,INTERFERON_GAMMA_RESPONSE,Hallmark,3.29303277606242,0.701934625332929,1.47743452919377e-35,1.47743452919377e-35,195
Proliferation / cell cycle,REACTOME_CELL_CYCLE_CHECKPOINTS,CELL_CYCLE_CHECKPOINTS,Reactome,3.15044905017683,0.653110083656262,1.47743452919377e-35,1.47743452919377e-35,252
Proliferation / cell cycle,HALLMARK_E2F_TARGETS,E2F_TARGETS,Hallmark,3.31032265515995,0.703862448336739,2.38561318296528e-35,2.38561318296528e-35,197
Metabolism / MYC-mTOR,HALLMARK_MYC_TARGETS_V1,MYC_TARGETS_V1,Hallmark,3.22862277456585,0.688205150607734,3.41533907539657e-33,3.41533907539657e-33,195
RNA processing / translation,GOBP_RIBOSOME_BIOGENESIS,RIBOSOME_BIOGENESIS,GO:BP,2.96965200317636,0.601318189814869,2.53704758128509e-32,2.53704758128509e-32,313
Proliferation / cell cycle,HALLMARK_G2M_CHECKPOINT,G2M_CHECKPOINT,Hallmark,3.19884427317885,0.681552200179394,2.87462688997932e-32,2.87462688997932e-32,193
RNA processing / translation,GOBP_RRNA_METABOLIC_PROCESS,RRNA_METABOLIC_PROCESS,GO:BP,2.94280472368643,0.606292399035902,6.00200046934616e-29,6.00200046934616e-29,267
Interferon / antiviral,HALLMARK_INTERFERON_ALPHA_RESPONSE,INTERFERON_ALPHA_RESPONSE,Hallmark,3.34172387907596,0.798970764909691,7.801543687436e-29,7.801543687436e-29,95
RNA processing / translation,GOBP_RRNA_PROCESSING,RRNA_PROCESSING,GO:BP,2.98879777010027,0.627052610957017,8.22777902173664e-28,8.22777902173664e-28,224
Interferon / antiviral,REACTOME_INTERFERON_SIGNALING,INTERFERON_SIGNALING,Reactome,2.87983030505017,0.596070564675077,1.14520474246228e-26,1.14520474246228e-26,262
RNA processing / translation,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,Reactome,2.78407382143242,0.57007760916921,9.90397072438302e-25,9.90397072438302e-25,286
Interferon / antiviral,GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,REGULATION_OF_INNATE_IMMUNE_RESPONSE,GO:BP,2.56786348187167,0.502708161809247,1.0089607383138e-24,1.0089607383138e-24,441
Interferon / antiviral,GOBP_RESPONSE_TO_VIRUS,RESPONSE_TO_VIRUS,GO:BP,2.62542093138773,0.523982160126941,2.50282595630642e-24,2.50282595630642e-24,367
Proliferation / cell cycle,GOBP_CHROMOSOME_SEGREGATION,CHROMOSOME_SEGREGATION,GO:BP,2.5439468799015,0.5017577578045,4.42813998470332e-23,4.42813998470332e-23,406
Immune effector / antimicrobial,GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,GO:BP,2.39754506415211,0.468098181894254,3.78365468646626e-21,3.78365468646626e-21,485
RNA processing / translation,REACTOME_TRANSLATION,TRANSLATION,Reactome,2.55703719654756,0.511897572738261,6.1278845455555e-21,6.1278845455555e-21,346
Proliferation / cell cycle,REACTOME_DNA_REPLICATION,DNA_REPLICATION,Reactome,2.98705845837099,0.684524816126275,6.73015667393985e-21,6.73015667393985e-21,124
Interferon / antiviral,GOBP_DEFENSE_RESPONSE_TO_VIRUS,DEFENSE_RESPONSE_TO_VIRUS,GO:BP,2.64879291459067,0.544509513644998,1.46133140722002e-20,1.46133140722002e-20,277
Other,REACTOME_DNA_REPAIR,DNA_REPAIR,Reactome,2.62871880397725,0.538672647143643,3.50107919786782e-20,3.50107919786782e-20,281
Proliferation / cell cycle,GOBP_DNA_REPLICATION,DNA_REPLICATION,GO:BP,2.57744545522926,0.52288811907425,7.22986819928092e-20,7.22986819928092e-20,305
Other,GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,GO:BP,2.47443521893683,0.492842881199858,7.546050059026e-20,7.546050059026e-20,385
Other,REACTOME_SYNTHESIS_OF_DNA,SYNTHESIS_OF_DNA,Reactome,2.97433558795367,0.699462688111909,1.00935215178613e-18,1.00935215178613e-18,108
Immune effector / antimicrobial,REACTOME_NEUTROPHIL_DEGRANULATION,NEUTROPHIL_DEGRANULATION,Reactome,2.33502313358474,0.457244684719817,5.21404448751663e-18,5.21404448751663e-18,439
RNA processing / translation,REACTOME_RRNA_PROCESSING,RRNA_PROCESSING,Reactome,2.72870772203369,0.576803911713335,6.31222481655784e-18,6.31222481655784e-18,206
Proliferation / cell cycle,GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,MITOTIC_SISTER_CHROMATID_SEGREGATION,GO:BP,2.7579386464979,0.586593976083589,6.34731355767891e-18,6.34731355767891e-18,196
Proliferation / cell cycle,GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,CELL_CYCLE_CHECKPOINT_SIGNALING,GO:BP,2.72368117001813,0.581196588476158,1.10011458940194e-17,1.10011458940194e-17,192
Other,GOBP_DNA_RECOMBINATION,DNA_RECOMBINATION,GO:BP,2.49659929084806,0.50783897668179,1.4281037151547e-17,1.4281037151547e-17,303
Proliferation / cell cycle,GOBP_DNA_TEMPLATED_DNA_REPLICATION,DNA_TEMPLATED_DNA_REPLICATION,GO:BP,2.74938783828164,0.602264356091909,2.27619943961728e-17,2.27619943961728e-17,168
RNA processing / translation,GOBP_MRNA_PROCESSING,MRNA_PROCESSING,GO:BP,2.25394617188598,0.440601828910956,2.76687405499428e-17,2.76687405499428e-17,473
Proliferation / cell cycle,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,RESOLUTION_OF_SISTER_CHROMATID_COHESION,Reactome,2.84019155227975,0.652841877298337,3.44630563605118e-17,3.44630563605118e-17,121
Other,REACTOME_HIV_INFECTION,HIV_INFECTION,Reactome,2.59013637940297,0.545593362207212,2.6688699583419e-16,2.6688699583419e-16,217
Other,GOBP_ORGANELLE_FISSION,ORGANELLE_FISSION,GO:BP,2.22793728707723,0.436079427546806,2.6688699583419e-16,2.6688699583419e-16,459
Interferon / antiviral,GOBP_RESPONSE_TO_TYPE_I_INTERFERON,RESPONSE_TO_TYPE_I_INTERFERON,GO:BP,2.87283787110704,0.67237845169003,2.80678377674712e-16,2.80678377674712e-16,106
Immune effector / antimicrobial,GOBP_ADAPTIVE_IMMUNE_RESPONSE,ADAPTIVE_IMMUNE_RESPONSE,GO:BP,2.21135405754506,0.432595103984593,1.91691220568981e-15,1.91691220568981e-15,456
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,GO:BP,2.21602139330756,0.433871143512898,1.9509136596463e-15,1.9509136596463e-15,460
RNA processing / translation,REACTOME_MRNA_3_END_PROCESSING,MRNA_3_END_PROCESSING,Reactome,2.72354670544626,0.607600447536162,2.65456995314919e-15,2.65456995314919e-15,151
Interferon / antiviral,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,INTERFERON_ALPHA_BETA_SIGNALING,Reactome,2.965153677066,0.756291336154553,4.07497243669229e-15,4.07497243669229e-15,64
RNA processing / translation,GOBP_MITOCHONDRIAL_TRANSLATION,MITOCHONDRIAL_TRANSLATION,GO:BP,2.73644528760154,0.625562757261872,5.17556159057624e-15,5.17556159057624e-15,128
Immune effector / antimicrobial,HALLMARK_ALLOGRAFT_REJECTION,ALLOGRAFT_REJECTION,Hallmark,2.62365296517073,0.566991584545848,6.57551782628385e-15,6.57551782628385e-15,180
Proliferation / cell cycle,REACTOME_CHROMOSOME_MAINTENANCE,CHROMOSOME_MAINTENANCE,Reactome,2.80695111100835,0.677484701364015,1.92246456653254e-14,1.92246456653254e-14,91
Other,GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,PROTEIN_RNA_COMPLEX_ORGANIZATION,GO:BP,2.47635312851991,0.51374826441344,2.21247401823813e-14,2.21247401823813e-14,242
Immune effector / antimicrobial,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,LEUKOCYTE_MEDIATED_IMMUNITY,GO:BP,2.26152854272874,0.451612193281588,2.23023126294305e-14,2.23023126294305e-14,373
Proliferation / cell cycle,GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,REGULATION_OF_CHROMOSOME_ORGANIZATION,GO:BP,2.44735008707699,0.507148510867377,2.74532047363707e-14,2.74532047363707e-14,244
Other,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,ANTIGEN_PROCESSING_CROSS_PRESENTATION,Reactome,2.79033890029519,0.671482998361366,8.65920844344576e-14,8.65920844344576e-14,94
Immune effector / antimicrobial,GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,DEFENSE_RESPONSE_TO_BACTERIUM,GO:BP,2.44222575580056,0.512138073595865,9.36983088074298e-14,9.36983088074298e-14,225
Metabolism / MYC-mTOR,GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS,REGULATION_OF_DNA_METABOLIC_PROCESS,GO:BP,2.10049984214082,0.410567453848155,1.64336740871336e-13,1.64336740871336e-13,457
Other,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,Reactome,2.88820708489211,0.836523205920481,1.85264232060527e-13,1.85264232060527e-13,37
Other,GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,GO:BP,2.27384186611119,0.459079897770112,2.26608284092849e-13,2.26608284092849e-13,321
Other,REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,HOST_INTERACTIONS_OF_HIV_FACTORS,Reactome,2.65892246438249,0.61701639495,2.74704970030011e-13,2.74704970030011e-13,117
RNA processing / translation,KEGG_SPLICEOSOME,SPLICEOSOME,KEGG,2.64310518331839,0.60495634335738,3.59928377049386e-13,3.59928377049386e-13,126
Proliferation / cell cycle,GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,GO:BP,2.15270008674465,0.422257268715856,3.77133976015555e-13,3.77133976015555e-13,433
RNA processing / translation,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GO:BP,2.65600309906722,0.624281335010811,6.06367044588316e-13,6.06367044588316e-13,110
Other,REACTOME_SARS_COV_2_HOST_INTERACTIONS,SARS_COV_2_HOST_INTERACTIONS,Reactome,2.48773726801703,0.536030061050995,6.06367044588316e-13,6.06367044588316e-13,182
Metabolism / MYC-mTOR,HALLMARK_MTORC1_SIGNALING,MTORC1_SIGNALING,Hallmark,2.46270646293518,0.524944346418684,7.43730849046457e-13,7.43730849046457e-13,195
Proliferation / cell cycle,GOBP_METAPHASE_CHROMOSOME_ALIGNMENT,METAPHASE_CHROMOSOME_ALIGNMENT,GO:BP,2.68583005508833,0.630791958988146,1.14348510740856e-12,1.14348510740856e-12,105
Other,GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,GO:BP,2.21898937485261,0.443493628882537,1.14348510740856e-12,1.14348510740856e-12,347
Other,REACTOME_RHO_GTPASE_EFFECTORS,RHO_GTPASE_EFFECTORS,Reactome,2.35793469317579,0.487838537832688,1.21840570894364e-12,1.21840570894364e-12,255
Other,GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,GO:BP,2.60386219367674,0.598519589772603,1.23425746990127e-12,1.23425746990127e-12,121
Other,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,DNA_DOUBLE_STRAND_BREAK_REPAIR,Reactome,2.57716846413261,0.586029775515973,1.31265866765365e-12,1.31265866765365e-12,132
Immune effector / antimicrobial,GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,GO:BP,2.20907080970508,0.442350594921978,1.83173107924051e-12,1.83173107924051e-12,351
Interferon / antiviral,GOBP_TYPE_II_INTERFERON_PRODUCTION,TYPE_II_INTERFERON_PRODUCTION,GO:BP,2.59615522588764,0.601006230984569,2.65919939099401e-12,2.65919939099401e-12,119
Other,REACTOME_DNA_STRAND_ELONGATION,DNA_STRAND_ELONGATION,Reactome,2.80019475479287,0.844890723696723,2.78641204168948e-12,2.78641204168948e-12,32
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,CYTOKINE_MEDIATED_SIGNALING_PATHWAY,GO:BP,2.06659457031558,0.404359230955155,3.0321467079534e-12,3.0321467079534e-12,461
Immune effector / antimicrobial,GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE,NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE,GO:BP,2.43027301218917,0.517308982842408,4.50529111742573e-12,4.50529111742573e-12,198
Inflammatory signaling (IL/JAK-STAT/TNF),REACTOME_SIGNALING_BY_INTERLEUKINS,SIGNALING_BY_INTERLEUKINS,Reactome,2.10697144774141,0.415346762109047,4.50529111742573e-12,4.50529111742573e-12,415
Interferon / antiviral,REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS,DENGUE_VIRUS_HOST_INTERACTIONS,Reactome,2.31344698221045,0.488944089410859,7.45589788434727e-12,7.45589788434727e-12,218
Immune effector / antimicrobial,REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES,SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES,Reactome,2.61190325296086,0.611307544659051,1.2037043271313e-11,1.2037043271313e-11,106
RNA processing / translation,GOBP_MATURATION_OF_SSU_RRNA,MATURATION_OF_SSU_RRNA,GO:BP,2.75792661705979,0.687323587357932,1.29503038032065e-11,1.29503038032065e-11,70
Other,GOBP_RNA_LOCALIZATION,RNA_LOCALIZATION,GO:BP,2.38985029535934,0.509186314744515,1.93323008873938e-11,1.93323008873938e-11,193
Other,GOBP_REGULATION_OF_VIRAL_PROCESS,REGULATION_OF_VIRAL_PROCESS,GO:BP,2.52817380316748,0.57936519551488,1.99915168366904e-11,1.99915168366904e-11,124
Immune effector / antimicrobial,GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,GO:BP,2.33447948274537,0.485419053790869,2.23611687213948e-11,2.23611687213948e-11,231
Other,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,Reactome,2.74945541945578,0.829581362203395,3.35507953510824e-11,3.35507953510824e-11,32
Interferon / antiviral,GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE,NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE,GO:BP,2.60333829729655,0.635322920095296,5.91453735477922e-11,5.91453735477922e-11,87
RNA processing / translation,REACTOME_TRNA_PROCESSING,TRNA_PROCESSING,Reactome,2.57649200856001,0.604733630641963,6.23639028706982e-11,6.23639028706982e-11,109
Proliferation / cell cycle,KEGG_DNA_REPLICATION,DNA_REPLICATION,KEGG,2.75051003885675,0.805742290676666,7.42332705496795e-11,7.42332705496795e-11,35
Proliferation / cell cycle,GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,MITOTIC_CELL_CYCLE_PHASE_TRANSITION,GO:BP,2.00923489823868,0.393796355321014,7.83632812321625e-11,7.83632812321625e-11,431
Other,REACTOME_SARS_COV_INFECTIONS,SARS_COV_INFECTIONS,Reactome,2.04940932103355,0.406781462800409,8.75048015245701e-11,8.75048015245701e-11,396
Inflammatory signaling (IL/JAK-STAT/TNF),REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,INTERLEUKIN_1_FAMILY_SIGNALING,Reactome,2.4772371265463,0.559574830536052,1.07151455227107e-10,1.07151455227107e-10,136
Other,GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,REGULATION_OF_VIRAL_LIFE_CYCLE,GO:BP,2.55307224648304,0.606086655030921,1.20291803899827e-10,1.20291803899827e-10,101
Other,REACTOME_TCR_SIGNALING,TCR_SIGNALING,Reactome,2.53042052465661,0.599175357297986,1.50950375273001e-10,1.50950375273001e-10,103
Interferon / antiviral,REACTOME_DENGUE_VIRUS_INFECTION,DENGUE_VIRUS_INFECTION,Reactome,2.11989534307322,0.428194067653971,1.6481740590699e-10,1.6481740590699e-10,325
Other,REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,Reactome,2.6719028568369,0.669285309984957,1.73431873339643e-10,1.73431873339643e-10,69
Other,GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,GO:BP,2.13028234417216,0.432171833464536,1.73431873339643e-10,1.73431873339643e-10,305
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,GO:BP,2.46763238361799,0.577287883391656,1.94120631586896e-10,1.94120631586896e-10,115
Interferon / antiviral,GOBP_TYPE_I_INTERFERON_PRODUCTION,TYPE_I_INTERFERON_PRODUCTION,GO:BP,2.46138195011965,0.563363362740177,2.27897722247965e-10,2.27897722247965e-10,126
Other,GOBP_TELOMERE_ORGANIZATION,TELOMERE_ORGANIZATION,GO:BP,2.38407701124569,0.525629385319667,3.35104875610054e-10,3.35104875610054e-10,161
Proliferation / cell cycle,KEGG_CELL_CYCLE,CELL_CYCLE,KEGG,2.47530491048601,0.567286591177181,3.8911177671033e-10,3.8911177671033e-10,123
Proliferation / cell cycle,GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS,POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS,GO:BP,2.21808251858154,0.459638877257286,4.25898603585327e-10,4.25898603585327e-10,244
Proliferation / cell cycle,GOBP_CHROMOSOME_SEPARATION,CHROMOSOME_SEPARATION,GO:BP,2.53965099754355,0.617159216922386,5.04837164866031e-10,5.04837164866031e-10,88
Other,GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,NEGATIVE_REGULATION_OF_VIRAL_PROCESS,GO:BP,2.66662232179938,0.673199967789987,5.70546870071686e-10,5.70546870071686e-10,67
Immune effector / antimicrobial,GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE,NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE,GO:BP,2.17223713353613,0.449612122118596,6.73867682970367e-10,6.73867682970367e-10,262
Proliferation / cell cycle,GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE,REGULATION_OF_MITOTIC_CELL_CYCLE,GO:BP,1.92065707187151,0.375018827034597,6.73867682970367e-10,6.73867682970367e-10,492
Other,REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,Reactome,2.02693150961344,0.40572317915015,7.21961623435239e-10,7.21961623435239e-10,355
Other,REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,Reactome,2.58260757162656,0.63475395641891,8.44673547974183e-10,8.44673547974183e-10,80
Other,GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS,NUCLEIC_ACID_CATABOLIC_PROCESS,GO:BP,1.99742964300753,0.398647503161124,8.93361065763023e-10,8.93361065763023e-10,367
Other,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,2.62634700957395,0.691771313244011,9.46296110069651e-10,9.46296110069651e-10,57
Other,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,ANTIGEN_PROCESSING_AND_PRESENTATION,GO:BP,2.43131035512471,0.569758128788601,9.59890867169431e-10,9.59890867169431e-10,113
Immune effector / antimicrobial,GOBP_T_CELL_MEDIATED_IMMUNITY,T_CELL_MEDIATED_IMMUNITY,GO:BP,2.38924802257493,0.547997222175487,1.16366848320218e-09,1.16366848320218e-09,125
Inflammatory signaling (IL/JAK-STAT/TNF),REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,Reactome,2.65600282467043,0.702052951608618,1.24658471639162e-09,1.24658471639162e-09,54
Other,REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,TOLL_LIKE_RECEPTOR_CASCADES,Reactome,2.31638074874906,0.51097895245108,1.24658471639162e-09,1.24658471639162e-09,160
Metabolism / MYC-mTOR,HALLMARK_MYC_TARGETS_V2,MYC_TARGETS_V2,Hallmark,2.61018161761482,0.687513401252982,1.32862197016042e-09,1.32862197016042e-09,57
Other,GOBP_NUCLEAR_TRANSPORT,NUCLEAR_TRANSPORT,GO:BP,2.06213106454225,0.416984130661957,1.32862197016042e-09,1.32862197016042e-09,324
Interferon / antiviral,GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY,INTERFERON_MEDIATED_SIGNALING_PATHWAY,GO:BP,2.50499761952778,0.608229607350175,1.46760988359905e-09,1.46760988359905e-09,86
Proliferation / cell cycle,GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,GO:BP,2.48086890202561,0.587138572047915,1.75710633735423e-09,1.75710633735423e-09,102
Metabolism / MYC-mTOR,GOBP_TRNA_METABOLIC_PROCESS,TRNA_METABOLIC_PROCESS,GO:BP,2.29114937704088,0.493943051427903,1.8732066013927e-09,1.8732066013927e-09,183
Interferon / antiviral,GOBP_RESPONSE_TO_TYPE_II_INTERFERON,RESPONSE_TO_TYPE_II_INTERFERON,GO:BP,2.37386677836932,0.542675804255036,1.943358441894e-09,1.943358441894e-09,128
Other,GOBP_CELL_KILLING,CELL_KILLING,GO:BP,2.23034451388252,0.472226396636521,2.09206988282073e-09,2.09206988282073e-09,207
Proliferation / cell cycle,GOBP_SPINDLE_ORGANIZATION,SPINDLE_ORGANIZATION,GO:BP,2.23432185061,0.472742123493728,2.41336288316402e-09,2.41336288316402e-09,202
Other,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,TRANSCRIPTIONAL_REGULATION_BY_TP53,Reactome,2.00271258006442,0.401571339011279,2.54926535436515e-09,2.54926535436515e-09,352
Other,GOBP_VIRAL_PROCESS,VIRAL_PROCESS,GO:BP,1.99172719499049,0.399579439474914,3.98447979128865e-09,3.98447979128865e-09,343
Other,KEGG_PROTEASOME,PROTEASOME,KEGG,2.64784674714507,0.737684138051792,4.26448482764716e-09,4.26448482764716e-09,42
Other,HALLMARK_DNA_REPAIR,DNA_REPAIR,Hallmark,2.30841369523255,0.518799539428968,4.70285429191255e-09,4.70285429191255e-09,147
Other,REACTOME_PROGRAMMED_CELL_DEATH,PROGRAMMED_CELL_DEATH,Reactome,2.21568813425405,0.476207362741402,4.96063779764081e-09,4.96063779764081e-09,188
Metabolism / MYC-mTOR,KEGG_PYRIMIDINE_METABOLISM,PYRIMIDINE_METABOLISM,KEGG,2.43639197806296,0.585674543625956,6.54689720224114e-09,6.54689720224114e-09,93
Immune effector / antimicrobial,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,LEUKOCYTE_CELL_CELL_ADHESION,GO:BP,1.93315569398526,0.383297913382732,7.33694825677838e-09,7.33694825677838e-09,400
Other,GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,GO:BP,1.85591977464354,0.361723159240989,7.37720712601022e-09,7.37720712601022e-09,499
Other,GOBP_RNA_MODIFICATION,RNA_MODIFICATION,GO:BP,2.25121579224185,0.493137785313644,9.43314953829217e-09,9.43314953829217e-09,168
Other,GOBP_DNA_BIOSYNTHETIC_PROCESS,DNA_BIOSYNTHETIC_PROCESS,GO:BP,2.29130199326441,0.51117027432061,1.41964516963014e-08,1.41964516963014e-08,151
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,GO:BP,2.13980405308344,0.452052860608766,1.70110422509996e-08,1.70110422509996e-08,214
Other,GOBP_REGULATION_OF_CELL_KILLING,REGULATION_OF_CELL_KILLING,GO:BP,2.37765135675521,0.565279992027831,1.8269134161781e-08,1.8269134161781e-08,99
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,REGULATION_OF_INFLAMMATORY_RESPONSE,GO:BP,1.92687701558915,0.382590215827936,1.85696556907611e-08,1.85696556907611e-08,390
Proliferation / cell cycle,GOBP_MITOTIC_SPINDLE_ORGANIZATION,MITOTIC_SPINDLE_ORGANIZATION,GO:BP,2.30686429413266,0.525011994212028,2.6156816227816e-08,2.6156816227816e-08,131
Proliferation / cell cycle,GOBP_MEIOTIC_CELL_CYCLE,MEIOTIC_CELL_CYCLE,GO:BP,2.03493355070622,0.420434482864359,2.90859888505492e-08,2.90859888505492e-08,257
Immune effector / antimicrobial,GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,GO:BP,2.45207015379525,0.602670436127461,2.98934120113267e-08,2.98934120113267e-08,80
Proliferation / cell cycle,GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,GO:BP,2.28391623517376,0.524977324633676,3.34270335146562e-08,3.34270335146562e-08,121
Other,GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION,DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION,GO:BP,2.39195698274233,0.925585041896461,6.06655712463419e-08,6.06655712463419e-08,12
Other,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,Reactome,2.51119166512913,0.632223447766102,7.23088502511912e-08,7.23088502511912e-08,66
