theme,pathway,label,collection,NES,ES,padj_joint,padj_percollection,size
Immune effector / antimicrobial,GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GO:BP,2.17088099563166,0.715629403010496,0.000419347202397527,0.000419347202397527,21
Other,GOBP_CELLULAR_RESPONSE_TO_DSRNA,CELLULAR_RESPONSE_TO_DSRNA,GO:BP,2.13883545878845,0.745417642957288,0.000440029204640568,0.000440029204640568,17
RNA processing / translation,GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,GO:BP,1.69080789310588,0.354564722421444,0.000454906239015446,0.000454906239015446,225
Proliferation / cell cycle,GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,GO:BP,2.16546603476245,0.701248978403388,0.00047775264781862,0.00047775264781862,23
RNA processing / translation,GOBP_HISTONE_MRNA_METABOLIC_PROCESS,HISTONE_MRNA_METABOLIC_PROCESS,GO:BP,2.10520983151905,0.648531883507788,0.000594256307430644,0.000594256307430644,28
Other,GOBP_NECROPTOTIC_PROCESS,NECROPTOTIC_PROCESS,GO:BP,2.07776113692348,0.587404968868134,0.000617652570826761,0.000617652570826761,40
Immune effector / antimicrobial,GOBP_CELLULAR_DEFENSE_RESPONSE,CELLULAR_DEFENSE_RESPONSE,GO:BP,2.07556689824236,0.586784634470079,0.000617652570826761,0.000617652570826761,40
Other,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,Reactome,1.70850739699167,0.364475186206865,0.000698881800104794,0.000698881800104794,194
Other,GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I,POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I,GO:BP,2.08758855320308,0.623235347925879,0.0007566507841119,0.0007566507841119,33
Other,REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,Reactome,2.06600642129065,0.598385871993285,0.0007967565378658,0.0007967565378658,37
Proliferation / cell cycle,GOBP_SISTER_CHROMATID_COHESION,SISTER_CHROMATID_COHESION,GO:BP,1.95744518466377,0.515584734637821,0.000828960109501264,0.000828960109501264,57
Other,REACTOME_GLYCOSPHINGOLIPID_CATABOLISM,GLYCOSPHINGOLIPID_CATABOLISM,Reactome,2.07709709628542,0.62010319490066,0.000873559911075387,0.000873559911075387,33
Other,GOBP_B_CELL_ACTIVATION,B_CELL_ACTIVATION,GO:BP,1.63132397453403,0.338679553357747,0.000875883095690613,0.000875883095690613,246
Other,HALLMARK_PI3K_AKT_MTOR_SIGNALING,PI3K_AKT_MTOR_SIGNALING,Hallmark,1.85615078305557,0.439831657572657,0.00087920783165966,0.00087920783165966,100
Other,KEGG_LEISHMANIA_INFECTION,LEISHMANIA_INFECTION,KEGG,1.97141050107441,0.497690833446786,0.000879923357825488,0.000879923357825488,67
Other,REACTOME_NON_CANONICAL_INFLAMMASOME_ACTIVATION,NON_CANONICAL_INFLAMMASOME_ACTIVATION,Reactome,2.07618227250109,0.77190697751154,0.00088131356373306,0.00088131356373306,14
Other,REACTOME_CELLULAR_SENESCENCE,CELLULAR_SENESCENCE,Reactome,1.77925907101146,0.406746012934426,0.000965174681592448,0.000965174681592448,128
Immune effector / antimicrobial,GOBP_LEUKOCYTE_MIGRATION,LEUKOCYTE_MIGRATION,GO:BP,1.55964624735183,0.311806017335076,0.00101578649137292,0.00101578649137292,357
Proliferation / cell cycle,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6,TRANSCRIPTIONAL_REGULATION_BY_E2F6,Reactome,2.05293523070115,0.609486913229406,0.00102885928123165,0.00102885928123165,34
Interferon / antiviral,REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY,RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY,Reactome,1.80638637609087,0.427732146402559,0.00106164132531866,0.00106164132531866,103
Other,GOBP_MITOCHONDRION_ORGANIZATION,MITOCHONDRION_ORGANIZATION,GO:BP,1.51223930906767,0.300396534635398,0.00109322036566729,0.00109322036566729,382
Immune effector / antimicrobial,GOBP_LYMPHOCYTE_MIGRATION,LYMPHOCYTE_MIGRATION,GO:BP,1.78789848528279,0.419310223355872,0.00114745827323294,0.00114745827323294,107
