pathway,k,meanNES,nUp,Zc_up,p_stouffer_up,p_fisher,size,collection,FDR_stouffer_up,FDR_fisher,direction_consistent
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS,4,-1.09967341468022,1,-4.02197238763581,0.999971143587594,6.65966997950508e-05,27,Reactome,1,0.000251914236552724,FALSE
GOBP_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE,4,-1.46759269798587,0,-4.02290964916052,0.99997125822381,0.000962435332919975,32,GO:BP,1,0.00280689031444433,TRUE
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,4,-1.36798613393866,0,-4.02712312441506,0.999971768265566,0.00118165767576764,79,GO:BP,1,0.00336008434786168,TRUE
GOBP_SPERM_AXONEME_ASSEMBLY,4,-1.09353996747954,1,-4.03081006861969,0.999972207526105,7.70796774329782e-05,26,GO:BP,1,0.000286960853287448,FALSE
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH,4,-0.839865192076946,1,-4.04557767919927,0.999973902872797,1.01973868068537e-07,140,GO:BP,1,6.68709351538903e-07,FALSE
GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION,4,-1.03654951371559,1,-4.06147307944198,0.999975617978933,3.08943606464752e-08,40,GO:BP,1,2.22986977226255e-07,FALSE
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,4,-0.891011303500782,1,-4.06434838032513,0.999975916581323,1.48731753329387e-07,134,GO:BP,1,9.4800326252557e-07,FALSE
REACTOME_RORA_B_C_AND_NR1D1_REV_ERBA_REGULATE_GENE_EXPRESSION,4,-1.46163628883935,0,-4.064801293635,0.9999759632995,0.000617244020627526,25,Reactome,1,0.00187216496739301,TRUE
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,4,-0.831274550481314,1,-4.06482557684097,0.999975965801894,2.44556377691269e-10,182,GO:BP,1,2.30806641434807e-09,FALSE
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,4,-1.0041419034013,1,-4.07271329391695,0.999976765693909,6.59387376611249e-07,54,GO:BP,1,3.72748802356847e-06,FALSE
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,4,-1.02868895196783,1,-4.07872466775193,0.999977358285971,4.58168630235455e-07,42,Reactome,1,2.66537782509991e-06,FALSE
GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH,4,-1.37485965405156,0,-4.07975299706608,0.999977458210325,0.00103640290814552,89,GO:BP,1,0.00299349824213486,TRUE
GOBP_HEART_GROWTH,4,-0.982225822145214,1,-4.08556135077142,0.999978014810089,1.17405628494021e-06,71,GO:BP,1,6.32265249938821e-06,FALSE
GOBP_SIGNAL_RELEASE,4,-1.19777278017597,0,-4.0859496583793,0.999978051551911,0.000409212468146037,414,GO:BP,1,0.00129974706420771,TRUE
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY,4,-1.4079534008703,0,-4.09033908094954,0.999978462850782,0.000509359124245981,53,GO:BP,1,0.00157683817111719,TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4,-0.827478708941811,1,-4.09346110603804,0.999978750930456,2.37986121523992e-14,196,Hallmark,1,3.49664686791487e-13,FALSE
GOBP_RESPONSE_TO_CORTICOSTERONE,3,-1.66208129654385,0,-4.10355868980477,0.999979657840814,0.000291359199524424,10,GO:BP,1,0.000955791466565204,TRUE
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,4,-1.28211880500759,0,-4.10380321979092,0.99997967934088,0.000397936978811563,206,GO:BP,1,0.00126820784986468,TRUE
GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,4,-0.964606762303238,1,-4.10532795482858,0.999979812916116,2.02275466039733e-05,91,GO:BP,1,8.51027582566404e-05,FALSE
GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION,4,-1.0121490938058,1,-4.10698906994419,0.999979957490496,1.24671534524482e-10,54,GO:BP,1,1.21665401369528e-09,FALSE
GOBP_REGULATION_OF_STEROID_METABOLIC_PROCESS,4,-0.969057031026774,1,-4.11442472322277,0.999980592690232,1.09909358009001e-05,95,GO:BP,1,4.96624681359849e-05,FALSE
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING,4,-1.48579038056961,0,-4.1211172539243,0.999981148027117,0.000703980955823016,24,Reactome,1,0.00210715170851381,TRUE
GOBP_EPITHELIAL_CELL_PROLIFERATION,4,-0.76019056398918,1,-4.12300377504463,0.999981301821635,9.43985096321543e-09,374,GO:BP,1,7.26659239257085e-08,FALSE
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,4,-1.37276520912114,0,-4.12349258213045,0.999981341475841,2.61605870424702e-06,76,GO:BP,1,1.33991764533521e-05,TRUE
GOBP_RESPONSE_TO_DIETARY_EXCESS,4,-1.46338621469197,0,-4.12407716905042,0.9999813887953,0.000203576523880487,26,GO:BP,1,0.000691196257354386,TRUE
GOBP_EMBRYONIC_APPENDAGE_MORPHOGENESIS,4,-0.92512717796277,1,-4.13116205662672,0.999981953299451,7.17999863670997e-13,116,GO:BP,1,8.98794136743371e-12,FALSE
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,4,-1.30322905968098,0,-4.13175374494756,0.999981999700627,2.98563013016177e-05,114,GO:BP,1,0.00012128203182683,TRUE
GOBP_INNER_EAR_RECEPTOR_CELL_DEVELOPMENT,4,-1.06041569932071,1,-4.13620200302089,0.99998234493079,1.17560373332636e-05,46,GO:BP,1,5.27882728119896e-05,FALSE
REACTOME_TIGHT_JUNCTION_INTERACTIONS,4,-1.48698115044409,0,-4.13976403100192,0.999982616837455,0.000630400729236317,25,Reactome,1,0.00190856062908306,TRUE
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,4,-1.46565489963045,0,-4.1401356975404,0.999982644978282,0.000255526981963115,39,GO:BP,1,0.000851369444449833,TRUE
