rank,gene,gene_types,logFC,direction,SE,P,FDR,FDR_lncRNA,I2,I2_flag,k,k_flag,confidence
128,RP1-69D17.3,antisense,-0.58428331914329,down_in_PP,0.079642896913242,2.19597355496277e-13,4.37484016172312e-12,4.9233044416186e-12,0,low,3,k3,A_high
129,NR2F1-AS1,antisense,-0.584123036555553,down_in_PP,0.120132475372694,1.16015429892336e-06,8.60418076899279e-06,9.82385058990485e-06,24.6382048932343,low,3,k3,A_high
130,CTD-2284J15.1,processed_transcript,-0.579815953141248,down_in_PP,0.13290813429466,1.28565932067167e-05,7.56188544817495e-05,8.35292474556504e-05,36.5663275630137,low,3,k3,A_high
131,CTD-3060P21.1,antisense,-0.579056338792677,down_in_PP,0.108967777498345,1.07236138607166e-07,9.68487245323525e-07,1.09955159183224e-06,0,low,3,k3,A_high
132,CTD-2517M22.17,antisense,0.577938304554559,up_in_PP,0.0815312089325012,1.35521373573136e-12,2.45762421453686e-11,2.72207753688973e-11,0,low,3,k3,A_high
133,CTD-2349P21.11,antisense,0.577184400206807,up_in_PP,0.115091689429649,5.3034477786258e-07,4.18103202981818e-06,4.72181451401519e-06,0,low,3,k3,A_high
134,RP11-178L8.8,antisense,-0.57235182973156,down_in_PP,0.126906358993368,6.48176315844563e-06,4.09585759006663e-05,4.60535126216654e-05,45.4404332281585,low,3,k3,A_high
135,RP11-285F7.2,antisense,-0.569508628185343,down_in_PP,0.11334968996749,5.05137791076217e-07,4.00118941844253e-06,4.51597359914626e-06,43.972899017384,low,4,all4,A_high
136,AC017074.2,lincRNA,0.566894821783842,up_in_PP,0.125487565250204,6.25628565940029e-06,3.96949446065544e-05,4.48194504109686e-05,42.6699934766224,low,4,all4,A_high
137,RP11-250B2.6,lincRNA,-0.566207911231771,down_in_PP,0.150516355662676,0.000168715160912618,0.000747716951864195,0.000819338385262512,39.7221444389996,low,4,all4,A_high
138,AGAP2-AS1,antisense,0.564622961999134,up_in_PP,0.0728579137595625,9.21498519140096e-15,2.11877026483386e-13,2.34548476018776e-13,42.3732542342682,low,4,all4,A_high
139,XXbac-B461K10.4,processed_transcript,-0.564106216075699,down_in_PP,0.0629440606576973,3.18770898665829e-19,1.10498426865325e-17,1.31363969383528e-17,35.8427726890677,low,4,all4,A_high
140,CTA-228A9.4,antisense,-0.561883076763429,down_in_PP,0.0576016940721006,1.76246275262544e-22,8.03106209205432e-21,9.41503250692627e-21,0,low,4,all4,A_high
141,RP5-1009E24.9,processed_transcript,0.552666465355791,up_in_PP,0.0829377604601237,2.67147352156508e-11,4.12522916805078e-10,4.5509708377213e-10,23.908489923235,low,4,all4,A_high
