lncRNA,logFC,direction,FDR,I2,k,confidence,STAT3_r,STAT3_fdr,STAT3_k,IL1_inflammasome_topr,IL36_topr,STAT3_JAK_STAT_topr,Th17_output_topr,IL1_inflammasome_nsig,IL36_nsig,STAT3_JAK_STAT_nsig,Th17_output_nsig,STAT3_linked
CTD-2410N18.4,0.558391899714036,up_in_PP,1.51561140702559e-05,89.5796079865885,4,C_significant_but_flagged,0.337545323767179,9.55871148787777e-08,4.0,0.501,0.453,-0.447,0.292,9.0,5.0,8.0,7.0,False
ARMCX3-AS1,-0.557737961547561,down_in_PP,0.0102161424028856,77.9106682845963,4,C_significant_but_flagged,-0.03374005224804,0.6877346827521,4.0,-0.243,-0.25,0.29,-0.174,4.0,4.0,1.0,4.0,False
RP11-454E5.4,-0.557460509053701,down_in_PP,0.0496054016724513,85.587317198794,3,C_significant_but_flagged,-0.240261709039833,0.0003403068299126,3.0,-0.282,-0.274,-0.24,-0.294,6.0,4.0,7.0,6.0,False
RP11-681H18.2,-0.557168305449962,down_in_PP,0.0009831510354938,87.5901720990006,4,C_significant_but_flagged,-0.159061622422769,0.0227475037050576,4.0,0.365,-0.306,0.598,0.294,8.0,3.0,8.0,4.0,False
RP11-66N11.8,-0.556577958162111,down_in_PP,2.25754673693997e-08,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP3-337O18.9,0.556378232862117,up_in_PP,2.6135497084892e-05,82.6336447399867,4,C_significant_but_flagged,0.396871866019049,1.0460813395982001e-10,4.0,0.507,0.417,0.397,0.398,5.0,5.0,6.0,5.0,False
RP6-99M1.3,-0.556090170485559,down_in_PP,0.0078668754575982,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP11-44I10.3,0.555612145617654,up_in_PP,0.0004349595973672,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
AP001615.9,0.555469754539836,up_in_PP,0.0002250317762878,82.2957305426748,4,C_significant_but_flagged,0.379182413830516,9.434762763307502e-10,4.0,0.463,0.407,-0.433,0.413,7.0,5.0,7.0,6.0,False
CTD-2054N24.2,-0.555336134108766,down_in_PP,5.76585034393035e-05,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
AC093110.3,-0.554752986496909,down_in_PP,0.0023168548811321,92.2072838493131,4,C_significant_but_flagged,-0.244985992721884,0.0002161226586064,4.0,-0.488,-0.424,0.415,-0.349,6.0,4.0,5.0,7.0,False
RP4-785G19.5,0.553699152953506,up_in_PP,0.002103041764834,87.157865884019,4,C_significant_but_flagged,0.395967744421738,1.179327181082e-10,4.0,0.589,0.295,-0.499,0.397,7.0,3.0,6.0,4.0,False
TOB1-AS1,0.553523995900448,up_in_PP,0.013903480872451,77.1037609614935,4,C_significant_but_flagged,-0.116136171896635,0.108914492536669,4.0,-0.308,,0.384,0.16,1.0,,6.0,1.0,False
SNHG9,0.552946768510626,up_in_PP,0.0412304119965978,87.6568885340437,3,C_significant_but_flagged,0.078264456260352,0.334810359380624,3.0,0.654,0.231,-0.574,0.321,5.0,3.0,7.0,4.0,False
CTD-2286N8.2,-0.552829674349822,down_in_PP,0.0119223368694167,64.6317257542815,2,C_significant_but_flagged,,,,,,,,,,,,False
ADAMTSL4-AS1,-0.551729737362939,down_in_PP,0.0076082154495492,82.8721748794045,4,C_significant_but_flagged,-0.0385391264160347,0.641626115340159,4.0,-0.371,-0.228,0.28,,8.0,3.0,6.0,,False
AF131215.8,0.54981722032216,up_in_PP,0.0019762941428426,22.1987338018025,2,C_significant_but_flagged,,,,,,,,,,,,False
C1RL-AS1,0.549463300093841,up_in_PP,0.0007072184107821,78.0578300617446,4,C_significant_but_flagged,0.0891965664416519,0.233004505607816,4.0,-0.258,-0.169,0.481,-0.182,5.0,2.0,4.0,1.0,False
CTD-2562J17.7,0.548806701517357,up_in_PP,0.0036149490095388,89.5157602481838,4,C_significant_but_flagged,0.312681609047118,1.0512856704133e-06,4.0,0.232,0.184,0.313,0.216,6.0,2.0,3.0,4.0,False
RP11-96D1.9,-0.545573345500164,down_in_PP,0.0319630415220499,11.1710417307286,2,C_significant_but_flagged,,,,,,,,,,,,False
AC093690.1,-0.543542489286603,down_in_PP,0.0097848981072545,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
AC009299.2,0.543053370001156,up_in_PP,0.0056413005836823,80.9585013255406,4,C_significant_but_flagged,0.0688039601297238,0.371831234972498,4.0,0.222,,0.282,0.215,5.0,,2.0,2.0,False
RP11-57H14.4,-0.542934149469642,down_in_PP,9.2832149660622e-05,81.8067678868188,4,C_significant_but_flagged,0.0050591021052274,0.955943574566179,4.0,-0.26,-0.211,0.397,0.259,7.0,3.0,4.0,7.0,False
EIF1B-AS1,-0.542401059664242,down_in_PP,0.0360549665549877,83.3251403913527,4,C_significant_but_flagged,-0.189570280201232,0.0055511275875814,4.0,-0.299,-0.286,-0.19,-0.208,3.0,5.0,2.0,5.0,False
RP5-855D21.2,-0.541583889870264,down_in_PP,0.0396840298758542,42.6611392766433,2,C_significant_but_flagged,,,,,,,,,,,,False
RP11-19P22.8,-0.541332072563429,down_in_PP,0.0189646298577378,91.3063218857223,4,C_significant_but_flagged,-0.156797338507696,0.0250022484091631,4.0,0.215,-0.171,0.237,0.146,1.0,1.0,6.0,2.0,False
RP11-304L19.1,-0.541308457586569,down_in_PP,0.0042122920378928,81.8939577867781,4,C_significant_but_flagged,-0.0317310842843967,0.707258664684496,4.0,-0.497,-0.242,0.65,0.316,9.0,3.0,7.0,2.0,False
RP11-345P4.9,0.539552591953556,up_in_PP,0.0003140626502759,82.7373680354643,4,C_significant_but_flagged,0.188743281792122,0.0057828861600211,4.0,0.485,0.195,-0.391,0.296,6.0,1.0,4.0,5.0,False
RP11-477J21.6,-0.538552331174904,down_in_PP,2.28318659165302e-05,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
FZD10-AS1,-0.538361514773481,down_in_PP,0.0229756827892276,81.1664663246016,4,C_significant_but_flagged,-0.111172713481502,0.126578929605234,4.0,-0.159,-0.229,,-0.213,3.0,4.0,,4.0,False
RP11-610P16.1,-0.538244388045235,down_in_PP,1.77562650902125e-09,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP11-478C19.2,0.537459849725204,up_in_PP,0.0073348092685149,95.4343248057864,4,C_significant_but_flagged,0.18841390675584,0.0058788897031755,4.0,0.353,0.367,0.222,0.287,9.0,4.0,2.0,7.0,False
RP11-449P15.2,-0.536580065736454,down_in_PP,0.0362192475414818,90.4935579102916,4,C_significant_but_flagged,-0.115377448416139,0.111544566750268,4.0,-0.418,-0.265,0.593,0.249,4.0,4.0,7.0,3.0,False
AC009950.2,0.534114499924823,up_in_PP,0.0026624398585184,78.2725597640345,4,C_significant_but_flagged,0.106834213459568,0.144032043117566,4.0,0.213,,0.258,-0.202,5.0,,5.0,1.0,False
RP11-359P5.1,0.534089043808759,up_in_PP,0.028107845560223,85.8661871325482,4,C_significant_but_flagged,0.246862414175715,0.0001907981485667,4.0,0.524,0.166,-0.368,0.306,7.0,2.0,6.0,5.0,False
CTD-2135J3.3,0.533867894730971,up_in_PP,0.0425963323220849,76.6096460679688,3,C_significant_but_flagged,0.0922461393541649,0.220361060880599,3.0,0.188,-0.203,0.175,,3.0,1.0,2.0,,False
RP4-803J11.2,-0.533420417290087,down_in_PP,0.0043113227178117,79.7711296426183,4,C_significant_but_flagged,-0.269579197841386,3.74723697139751e-05,4.0,-0.566,-0.234,0.541,-0.275,7.0,2.0,7.0,4.0,False
RP11-158M2.3,-0.532862979600109,down_in_PP,0.0012861452675727,86.5240706807808,4,C_significant_but_flagged,0.0701728406961748,0.361156637875937,4.0,-0.466,-0.226,-0.439,0.291,10.0,2.0,7.0,3.0,False
TMEM246-AS1,-0.532568133397822,down_in_PP,0.004962387886376,78.5476070494348,4,C_significant_but_flagged,-0.0283002971505852,0.74014448993279,4.0,-0.313,0.244,0.341,,5.0,1.0,7.0,,False
RP11-762H8.4,-0.531161133515677,down_in_PP,0.0003356888451843,79.5910488433242,4,C_significant_but_flagged,-0.0718010341319897,0.3490438385274,4.0,0.338,,0.216,,7.0,,4.0,,False
CTA-293F17.1,-0.528858038031808,down_in_PP,0.0127459971291455,80.5872344849555,4,C_significant_but_flagged,-0.132810537639544,0.0625013252386956,4.0,-0.216,-0.226,0.299,0.189,5.0,3.0,5.0,1.0,False
LINC02035,-0.528784805805223,down_in_PP,0.0002499944469353,84.4625448545695,4,C_significant_but_flagged,-0.257727434503002,8.96241783344399e-05,4.0,0.386,-0.369,0.482,-0.332,11.0,3.0,7.0,7.0,False
RP11-575F12.3,-0.528432158486023,down_in_PP,0.0004219451050749,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
