"gene","logFC","SE","P","I2","k","FDR"
"RANBP9",0.544331511200337,0.123509534323023,1.04714348581554e-05,84.6918461879021,4,5.33899321679092e-05
"TMEM167B",-0.387646824477158,0.0879769944248059,1.0518553828102e-05,72.1426797900915,4,5.36191798871636e-05
"LARS2",0.237454877603785,0.053892126454806,1.05241367512747e-05,40.09042306501,4,5.36366436682102e-05
"RP11-575L7.8",0.286733498486359,0.0650904244738579,1.05707593715366e-05,55.899110744203,4,5.38632177320962e-05
"NT5DC2",-0.256079698399496,0.058137522741635,1.05919008657924e-05,18.4719003880356,4,5.39598866889557e-05
"ZNF876P",-0.933465428788966,0.211961911625338,1.06307240963403e-05,75.3939586186554,4,5.4146576276034e-05
"AF131217.1",-1.00107879573841,0.227362067450399,1.06756343600574e-05,43.5645671346346,4,5.4364186769852e-05
"ITGAE",0.487692365477378,0.110766784848492,1.06825464834856e-05,72.5983970219381,4,5.43882475139953e-05
"CTC-348L5.1",1.73594508258499,0.39432954038138,1.07124156283112e-05,39.4899833180646,2,5.45291559904987e-05
"PWAR5",-1.25206571415071,0.284441433709382,1.07336642871677e-05,89.1432694493712,4,5.46133384604257e-05
"ARHGAP31",-0.577890197124618,0.131284177890428,1.07343291740147e-05,83.4035073135721,4,5.46133384604257e-05
"COL8A2",-0.71465193936363,0.162354397702263,1.07355424432784e-05,78.6520783161611,4,5.46133384604257e-05
"RP11-454F8.3",-0.5138162461304,0.116746217650674,1.07684473575974e-05,44.85453744572,4,5.47695258731881e-05
"CBR1",0.37905906157278,0.0861308223093481,1.0776862224266e-05,61.7373654723234,4,5.48011157604494e-05
"HCAR2",0.881684808682198,0.200350342409453,1.07894633271358e-05,89.4369167982152,4,5.48539756885216e-05
"ADIPOR2",0.486341422843806,0.110526747297272,1.08143804819681e-05,90.1058029892184,4,5.49694164073221e-05
"CNRIP1",-0.806053473147136,0.183247619554249,1.08895302135503e-05,65.9790184290852,4,5.53400895749318e-05
"SQRDL",0.854808705109168,0.194335388716042,1.08938343202521e-05,93.8669784513864,4,5.53506506349383e-05
"SLC25A53",-0.211214187830691,0.0480226307562235,1.09141344560306e-05,0,4,5.54424652469168e-05
"RIC3",-0.563416358272823,0.128104527929264,1.09203316310285e-05,45.2001872282981,4,5.54626156734383e-05
"MEF2C-AS1",-1.23970478973563,0.281880833296121,1.09265682810033e-05,69.7929589171198,3,5.54815414502566e-05
"HENMT1",0.84322975496144,0.19173306745428,1.0928520470657e-05,83.7513814454862,4,5.54815414502566e-05
"PCDH9",-0.957623204762081,0.217784984125857,1.09704834119137e-05,65.0089013968002,4,5.56832089244023e-05
"RRNAD1",-0.3451355669846,0.0784979625559926,1.09886038890971e-05,68.18803616891,4,5.57638008788345e-05
"ANXA11",-0.445436779587972,0.101331475660613,1.10346068780074e-05,80.7016591482682,4,5.59858262861729e-05
"ERC2",1.38084495488189,0.314181757028988,1.10746572120073e-05,71.6856007339837,4,5.61775655311654e-05
"LMO4",-0.385932172191352,0.0878130004363243,1.10807396715057e-05,65.2814661854922,4,5.61969554704588e-05
"RP3-486I3.4",-0.276272012308743,0.0628792217994822,1.11441034619051e-05,22.4129004479325,4,5.65067856206634e-05
"FZD4",-0.781120457722291,0.177797541336127,1.11635617083575e-05,65.1726755164908,4,5.65939093659566e-05
"CTD-2240E14.4",0.808050524286826,0.183953415437747,1.11956164078545e-05,71.5295705736188,4,5.67448425596636e-05
"TMEM127",0.177998938175435,0.0405244773521514,1.12116077944309e-05,29.6780187375036,4,5.68143141260074e-05
"PTPN2",0.560903257876209,0.127704964539064,1.1221945934905e-05,93.5118844835947,4,5.68545473791093e-05
"RNASE6",0.390275447307277,0.0888577295541178,1.1224120207675e-05,15.1299652627295,3,5.68545473791093e-05
"TLR9",0.634414331916912,0.144491459303488,1.13001869293555e-05,0,2,5.72187746340134e-05
"MICAL3",-0.59023386149634,0.134429366300036,1.13006274522497e-05,81.9765879599591,4,5.72187746340134e-05
"SMIM10L2B",-0.713865773838641,0.162594584903708,1.13108714028938e-05,73.9092370593894,4,5.7258983775317e-05
"UROS",0.344286742449477,0.0784288259433214,1.13455741977797e-05,77.8728155540378,4,5.74229692656197e-05
"FGFBP2",-2.28907439866058,0.52175627240984,1.14793635897505e-05,85.5722998772799,3,5.80882895854161e-05
"SRR",0.288804069520183,0.0658297716152784,1.14853712843536e-05,65.5338462225914,4,5.80893071308154e-05
"CYB5R2",0.803486090861634,0.183146635557535,1.14861935862673e-05,85.4674958861513,4,5.80893071308154e-05
"DCLRE1C",0.343198274542732,0.0782292666800522,1.14881036540913e-05,79.7027599252539,4,5.80893071308154e-05
"NR1D1",-1.24508460366719,0.283807936669355,1.14889090512889e-05,65.6198860753934,4,5.80893071308154e-05
"MYRF",0.642444151478589,0.146483865137932,1.1557760844444e-05,48.1173863933642,4,5.84255501439206e-05
"AC020951.1",-0.972477552307503,0.221761280820174,1.15855296034736e-05,58.2967617975761,3,5.85540201463362e-05
"ZNF831",0.824643779798541,0.188064441790889,1.16039047089974e-05,66.2600344057604,3,5.8634971447659e-05
"METTL1",0.600023789819739,0.136846973490366,1.16181350191878e-05,76.7737394201661,4,5.86949503021381e-05
"SIGMAR1",0.320284475790639,0.0730496824089539,1.16266056357065e-05,57.4262877720773,4,5.87258126624981e-05
"MPHOSPH6",1.58332290874588,0.36112403789488,1.16290099995097e-05,96.9209369003529,4,5.87260281575567e-05
"TCTN2",-0.499501286915508,0.11393269342281,1.16424179841612e-05,78.3844960000188,4,5.87818001206403e-05
"ARL6IP1",0.140109569589334,0.0319659999499174,1.17012538771214e-05,0,4,5.90668653894641e-05
"KIAA1328",-0.598883231129106,0.136647096982699,1.17217477258526e-05,85.4129229532764,4,5.91583070734829e-05
"DBN1",-1.12738993996148,0.257284176838465,1.17656355027131e-05,84.8330015638785,4,5.93677541417338e-05
"FLVCR1",0.219726942135326,0.0501755140539041,1.19133957204776e-05,0,4,6.01011357243654e-05
"PDSS1",0.980245482976356,0.223889844506579,1.19636631470451e-05,92.3906110817924,4,6.03424843436965e-05
"MPHOSPH9",0.461054282860239,0.105333108426222,1.20264960018195e-05,69.2566878734945,4,6.06470998947971e-05
"RP5-1056L3.3",-0.276777513960342,0.0632393740200452,1.20509330703427e-05,12.2894587137424,4,6.07580092715212e-05
"THAP3",0.285655519451331,0.065278349925037,1.20898579954467e-05,46.9284892043241,4,6.09419032870013e-05
"TMC8",0.679222973493011,0.155238236487216,1.21232935903377e-05,59.2152482358034,4,6.1098058049724e-05
"TMEM246",-0.385774804263683,0.0881747213596324,1.21366846624193e-05,74.2037469721204,4,6.11531511278053e-05
"CTD-3099C6.11",-0.504537094839358,0.115323715759654,1.21452568372758e-05,0,2,6.11839458095015e-05
"RP11-127B20.3",-0.497592369876159,0.113746400697103,1.21668262616205e-05,0,3,6.12801907679676e-05
"AP001429.1",-1.1631683112809,0.265964654872979,1.22329475117681e-05,0,2,6.16007437885025e-05
"APBB1",-0.71845301381885,0.1643132551552,1.22854748497502e-05,84.6040431936669,4,6.18527267896108e-05
"MAMDC2",-1.38194318951255,0.316099894560537,1.23194827360508e-05,87.716823741709,4,6.20113882013437e-05
"RP11-231D20.2",1.68278823191561,0.384993547946335,1.23706115223092e-05,88.0615952856753,3,6.22561477663916e-05
"RP11-181C21.4",-0.173010512918102,0.0395856187075185,1.23939891572242e-05,0,4,6.23611765243905e-05
"CCER2",-1.86755880683202,0.42731113847373,1.23968365302957e-05,58.9616912692658,3,6.23628843136423e-05
"CTD-2517M22.16",-0.558974431924338,0.127940428934304,1.24804716305748e-05,71.1357694445927,4,6.27709157697965e-05
"ZNF528-AS1",-1.18239397050068,0.27065724785491,1.25044039524104e-05,91.0912655622066,4,6.28785659617063e-05
"SENP7",-0.537088668096712,0.122951325644725,1.25215583745364e-05,70.1050301027722,4,6.29520967531786e-05
"ABCF2",0.570192118184158,0.130574165659152,1.26076313047624e-05,87.8438232788832,4,6.33720153677422e-05
"MEGF9",-0.570002299590593,0.13055060635849,1.26461108799123e-05,83.1658658683595,4,6.35525855173603e-05
"SNX15",-0.231879237089966,0.0531098180059056,1.26523165275825e-05,32.8073466541561,4,6.3570923979565e-05
"EEF1A1P12",-0.423349988560972,0.0969660555096998,1.26565230426835e-05,57.9505580278821,4,6.35792125210843e-05
"ZNF767P",-0.510649063091081,0.116969743033522,1.26744771111113e-05,51.5050498410306,4,6.36565436972114e-05
"HIGD1A",1.10147356815075,0.252332098185688,1.2702148393502e-05,94.8844792569695,4,6.37826377126052e-05
"CDIPT",-0.230692339678883,0.0528504989878693,1.27123731318129e-05,33.084762039368,4,6.38210923270059e-05
"LAMA2",-0.577616762749062,0.132357912218004,1.27675422492042e-05,41.229655464016,4,6.40851242569058e-05
"RP4-561L24.3",-0.41019252920686,0.0939945666066105,1.27704081838031e-05,0,2,6.4086573137931e-05
"FASTKD2",0.344647394752369,0.0789824148964575,1.27941423653432e-05,68.6623297239709,4,6.41927247894719e-05
"FXYD6",-1.3335103744911,0.305707122497301,1.28848216462588e-05,83.187046592383,4,6.4634653027208e-05
"CCSAP",-0.636695035891267,0.145972833387268,1.29034214012082e-05,80.2938505701908,4,6.47149004764911e-05
"RP5-1056H1.2",-0.389953643144976,0.0894385847530234,1.30053050005502e-05,17.6407752152161,4,6.52127271917083e-05
