gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib,s_effect,s_signif,s_pathway,s_tract,s_chem,s_drugs,s_struct,druggability_score,druggability_rank,disease_axis,on_psoriasis_axis,struct_ready,is_lead
BCL3,ENSG00000069399,BCL3 transcription coactivator,Unclassified protein,1.298,2.5120626999321494e-55,up,63,2,True,True,Discovery precedence,3,False,True,False,False,False,False,0,CHEMBL4523197,4,10,0.0295499634541088,0.2081412444742696,0.6666666666666666,0.5,0.1751909378655488,0.0,0.25,0.2688188553025178,50,,False,False,False
CAMK2B,ENSG00000058404,calcium/calmodulin dependent protein kinase II beta,Enzyme,-2.602,7.73598408981174e-92,down,109,0,False,False,Discovery precedence,3,True,True,False,False,True,False,0,CHEMBL4121,23,52,0.1657095123733946,0.3521048479026049,0.0,0.5,0.3459383097815857,0.0,0.5,0.2685928911493139,51,,False,True,False
IL36A,ENSG00000136694,interleukin 36 alpha,Unclassified,10.061,7.206907281450409e-92,up,2,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.9445546622115484,0.3522261596415535,0.3333333333333333,0.0,0.0,0.0,0.0,0.2622869783550651,52,Innate/antimicrobial,True,False,False
CXCL11,ENSG00000169248,C-X-C motif chemokine ligand 11,Unclassified,3.184,2.43369990036028e-08,up,117,2,True,True,Discovery precedence,3,True,False,False,False,False,False,0,,0,0,0.2264801085935053,0.0228761865223294,0.6666666666666666,0.5,0.0,0.0,0.25,0.2610115619295104,53,,False,True,False
HSD17B13,ENSG00000170509,hydroxysteroid 17-beta dehydrogenase 13,Enzyme,-3.397,9.88291754569694e-63,down,127,0,False,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL5305042,181,268,0.2487208938080818,0.2373394687725406,0.0,0.5,0.5664678364564756,0.0,0.25,0.2587266375129367,54,,False,True,False
IL36G,ENSG00000136688,interleukin 36 gamma,Secreted protein,4.835,1.1094889209173201e-20,up,88,1,False,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL5291561,1,1,0.3988722982144722,0.0715368781707903,0.3333333333333333,0.5,0.0754506301255842,0.0,0.25,0.2569355146741699,55,Innate/antimicrobial,True,True,False
SLC6A14,ENSG00000268104,solute carrier family 6 member 14,Unclassified protein,4.324,2.80762245799215e-26,up,99,1,False,False,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL4680044,0,0,0.345515297065887,0.0936047992648624,0.3333333333333333,0.5,0.0,0.0,0.25,0.2409253293836431,56,,False,False,False
CRYAB,ENSG00000109846,crystallin alpha B,Unclassified protein,-1.292,1.3806465224838295e-126,down,82,0,False,False,Discovery precedence,3,True,True,False,False,False,False,0,CHEMBL3621022,4,6,0.0289234624621489,0.489116682393334,0.0,0.5,0.1751909378655488,0.0,0.5,0.2399231376742527,57,,False,True,False
PLA2G4D,ENSG00000159337,phospholipase A2 group IVD,Enzyme,4.104,9.11521644331468e-32,up,105,1,False,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL2287,0,0,0.3225435940273572,0.1152460421658399,0.3333333333333333,0.5,0.0,0.0,0.25,0.2393873719848251,58,Eicosanoid/protease,True,True,False
NR4A3,ENSG00000119508,nuclear receptor subfamily 4 group A member 3,Transcription factor,2.064,9.11487027608514e-46,up,144,1,True,False,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL1961792,5,7,0.1095332567609898,0.1704476087834173,0.3333333333333333,0.5,0.1950370495304172,0.0,0.25,0.2310741452146383,59,,False,False,False
IL2RA,ENSG00000134460,interleukin 2 receptor subunit alpha,Membrane receptor,2.157,4.83871458860955e-79,up,50,2,True,True,Unknown,0,False,False,False,False,False,True,7,CHEMBL1778,0,0,0.1192440221363684,0.3016498299324475,0.6666666666666666,0.0,0.0,0.6113851412715186,0.0,0.2310281205290222,60,,False,False,False
