gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib
GDPD3,ENSG00000102886,glycerophosphodiester phosphodiesterase domain containing 3,Unclassified,2.442,2.4997348109806e-65,up,97,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
GJB2,ENSG00000165474,gap junction protein beta 2,Unclassified protein,4.057,1.9190633427677e-17,up,150,1,False,False,Discovery precedence,3,True,True,False,True,False,False,0,CHEMBL4295738,0,0
GLT1D1,ENSG00000151948,glycosyltransferase 1 domain containing 1,Unclassified,1.627,1.19141703265682e-102,up,114,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
GSTA3,ENSG00000174156,glutathione S-transferase alpha 3,Enzyme,-2.526,3.2606730910380404e-104,down,84,0,False,False,Druggable pocket,2,False,False,True,False,False,False,0,CHEMBL4866,0,0
GZMB,ENSG00000100453,granzyme B,Enzyme,3.948,1.79081128526603e-110,up,30,1,True,False,Druggable pocket,2,False,False,False,True,True,False,0,CHEMBL2316,17,91
HEPHL1,ENSG00000181333,hephaestin like 1,Unclassified,5.023,0.0045084016407607,up,130,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
HMOX1,ENSG00000100292,heme oxygenase 1,Enzyme,1.348,6.591301622620219e-116,up,33,2,True,True,Discovery precedence,3,True,True,True,False,False,False,0,CHEMBL2823,1,8
HRH3,ENSG00000101180,histamine receptor H3,Membrane receptor,4.329,9.33831457451687e-102,up,47,0,False,False,Approved drug,6,True,True,False,False,True,False,16,CHEMBL264,4896,5880
HS3ST6,ENSG00000162040,heparan sulfate-glucosamine 3-sulfotransferase 6,Unclassified,-2.765,1.02805815554914e-84,down,133,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
HSD17B13,ENSG00000170509,hydroxysteroid 17-beta dehydrogenase 13,Enzyme,-3.397,9.88291754569694e-63,down,127,0,False,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL5305042,181,268
HTR3A,ENSG00000166736,5-hydroxytryptamine receptor 3A,Ion channel,4.233,1.22312390545296e-60,up,79,0,False,False,Approved drug,6,True,True,False,False,True,False,29,CHEMBL1899,815,1058
ICOS,ENSG00000163600,inducible T cell costimulator,Unclassified protein,2.904,6.898874222329069e-103,up,44,1,False,True,Unknown,0,False,False,False,False,False,True,4,CHEMBL3712953,0,0
IDO1,ENSG00000131203,"indoleamine 2,3-dioxygenase 1",Enzyme,3.086,2.58706871918645e-94,up,48,1,True,False,Advanced clinical,5,True,True,True,False,True,False,2,CHEMBL4685,1911,3581
IFI27,ENSG00000165949,interferon alpha inducible protein 27,Unclassified,4.563,2.12007810859004e-06,up,143,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
IFIH1,ENSG00000115267,interferon induced with helicase C domain 1,Enzyme,1.522,8.79180830406447e-76,up,98,1,True,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL4739862,0,0
IFIT1,ENSG00000185745,interferon induced protein with tetratricopeptide repeats 1,Unclassified,1.921,1.22858555857875e-49,up,119,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
IL12RB1,ENSG00000096996,interleukin 12 receptor subunit beta 1,Membrane receptor,1.837,4.54135835404034e-44,up,220,1,True,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL4523226,0,0
