gene,degree,betweenness,direction,logFC,protein_class,ot_sm_bucket,community_name,evidence_rank
PRSS3,2,0.0020345879959308,up,1.367,,,,833.0
LGI3,2,0.0,down,-1.779,,,,1165.0
SCO2,2,0.0002833752812044,up,1.576,,,Neuronal / Ca²⁺ signaling,1799.0
ASTN2,2,0.0020345879959308,down,-1.211,,,,1435.0
KRT8,2,0.0,down,-1.128,,,,776.0
SLC1A6,2,0.0020345879959308,down,-1.727,,,Lipid / metabolism,1120.0
FADS2,2,0.0011475915073019,down,-2.838,,,Lipid / metabolism,835.0
TNFRSF21,2,0.0,up,1.459,,,Neuronal / Ca²⁺ signaling,866.0
KRT18,2,0.0,down,-1.26,,,,1309.0
SCN3B,2,0.0020345879959308,down,-1.054,,,Neuronal / Ca²⁺ signaling,1083.0
MGP,2,7.176175758146221e-06,down,-1.209,,,ECM / matrix remodeling,1781.0
THRSP,2,0.0,down,-4.46,Unclassified,Unknown,Lipid / metabolism,110.0
POLQ,2,2.7152552752829583e-06,up,1.081,,,Cell cycle / proliferation,2261.0
SLC26A3,2,0.0020345879959308,down,-3.753,,,ECM / matrix remodeling,222.0
PIWIL2,2,0.0020345879959308,down,-1.649,,,Immune / JAK-STAT / chemokine,1461.0
GRIK5,2,0.0,down,-1.293,,,Neuronal / Ca²⁺ signaling,1288.0
NTRK3,2,1.8067998206118873e-05,down,-1.252,,,ECM / matrix remodeling,1282.0
NPTXR,2,0.0002405891398186,down,-1.329,,,Neuronal / Ca²⁺ signaling,1888.0
SORBS1,2,0.0002994320281162,down,-1.572,,,Neuronal / Ca²⁺ signaling,598.0
GJA3,2,0.0,up,1.76,,,,769.0
GJB4,2,0.0,down,-2.697,,,,959.0
GJC2,2,0.0,down,-1.025,,,,2314.0
TMPRSS4,2,0.0,up,2.977,,,ECM / matrix remodeling,685.0
RUNX1T1,2,0.0014828025696597,down,-1.309,,,ECM / matrix remodeling,2145.0
NPTX2,2,0.0002610027104869,down,-1.28,,,Neuronal / Ca²⁺ signaling,1208.0
SCUBE3,2,0.0020345879959308,down,-1.317,,,ECM / matrix remodeling,2156.0
S100A2,2,0.0020345879959308,up,1.896,,,Lipid / metabolism,1432.0
FFAR2,2,0.0,up,1.464,,,ECM / matrix remodeling,176.0
LTB4R,2,0.0020345879959308,up,1.377,Membrane receptor,Advanced clinical,Immune / JAK-STAT / chemokine,1248.0
STAC,2,0.0006214335307584,down,-1.823,,,Neuronal / Ca²⁺ signaling,673.0
IRAK2,2,0.0,up,1.649,,,Immune / JAK-STAT / chemokine,273.0
IRAK3,2,0.0,up,1.239,,,Immune / JAK-STAT / chemokine,887.0
PDLIM3,2,0.0004060088560884,down,-1.258,,,,1726.0
IRS4,2,0.0,down,-2.109,,,Immune / JAK-STAT / chemokine,725.0
TCN1,2,0.0,up,6.612,Unclassified,Discovery precedence,ECM / matrix remodeling,107.0
LAMB4,2,0.0,down,-1.481,,,ECM / matrix remodeling,1236.0
SLC22A17,2,0.0020345879959308,down,-1.043,,,ECM / matrix remodeling,2320.0
KRT16,2,0.0067405652034607,up,2.483,,,,1108.0
NTN1,2,0.0040650322281224,down,-1.133,,,ECM / matrix remodeling,2171.0
GBP3,2,0.0,up,1.179,,,Interferon / antiviral,1200.0
SMPD3,2,0.0,up,1.463,,,Neuronal / Ca²⁺ signaling,1141.0
PRELP,2,0.0,down,-1.481,,,ECM / matrix remodeling,1927.0
GPR84,2,0.0,up,2.126,,,ECM / matrix remodeling,1111.0
SLC5A1,2,0.0005166495398202,up,1.823,,,ECM / matrix remodeling,909.0
FGFBP1,2,5.17970467395831e-07,up,1.328,,,ECM / matrix remodeling,2107.0
FGFBP2,2,0.0,down,-2.413,,,Immune / JAK-STAT / chemokine,1085.0
FHL1,2,0.0,down,-1.531,,,Immune / JAK-STAT / chemokine,1937.0
KCND2,2,0.0020345879959308,down,-1.889,,,ECM / matrix remodeling,1382.0
FNDC5,2,0.0010819775677662,down,-1.747,,,Lipid / metabolism,451.0
ABCA3,2,0.0020345879959308,down,-1.414,,,,628.0
IGFBP5,2,0.0020345879959308,down,-1.786,,,ECM / matrix remodeling,1555.0
MYOC,2,0.0020345879959308,down,-2.571,,,ECM / matrix remodeling,232.0
PSCA,2,3.989354628326338e-05,down,-2.159,,,,233.0
GATA6,2,0.0020345879959308,down,-1.481,,,ECM / matrix remodeling,1415.0
OSR2,2,0.0020345879959308,down,-1.689,,,,1422.0
FPR3,2,0.0,up,1.099,,,Immune / JAK-STAT / chemokine,2080.0
HSH2D,2,0.0040650322281224,up,1.085,,,Immune / JAK-STAT / chemokine,394.0
SPOCK2,2,0.0125074910399512,up,1.658,,,,708.0
CSF2RA,2,0.0040650322281224,up,1.519,,,,720.0
PEG10,2,0.0020345879959308,down,-1.263,,,Neuronal / Ca²⁺ signaling,1816.0
LYPD6,2,0.0020345879959308,down,-1.186,,,,1133.0
TGM4,2,0.0,down,-1.281,,,Neuronal / Ca²⁺ signaling,1150.0
PDZK1IP1,2,9.052297611739016e-05,up,2.187,,,ECM / matrix remodeling,212.0
ZC3H12A,2,6.469306081455023e-05,up,3.07,Unclassified,Unknown,Immune / JAK-STAT / chemokine,128.0
ADGRL3,2,0.0081134894012882,down,-1.328,,,ECM / matrix remodeling,1801.0
DBN1,2,0.0002214415648851,down,-1.006,,,ECM / matrix remodeling,2295.0
CRCT1,2,0.0,up,1.105,,,,1978.0
AQP7,2,0.0001571955616615,down,-2.351,,,Lipid / metabolism,1077.0
BMP5,2,0.0005122231985082,down,-1.019,,,,1700.0
CSTB,2,0.0,up,1.242,,,Lipid / metabolism,2106.0
LYVE1,2,0.0003987457551335,down,-1.637,,,Immune / JAK-STAT / chemokine,1623.0
TF,2,0.0,down,-1.168,,,ECM / matrix remodeling,881.0
APOBEC3B,2,0.0,up,1.399,,,Lipid / metabolism,1713.0
PTCHD1,2,0.0,down,-2.241,,,,366.0
APOBEC3A,2,0.0,up,2.321,,,Lipid / metabolism,956.0
GREM2,2,0.0018410110507129,down,-2.004,,,,185.0
C2CD4A,2,0.0020345879959308,up,1.271,,,,966.0
NALCN,2,0.0040650322281224,down,-1.291,,,,604.0
CSPG4,2,0.0,down,-1.22,,,ECM / matrix remodeling,1702.0
ARNTL2,2,0.0,up,1.313,,,Lipid / metabolism,2193.0
LAMP3,2,7.897870579916407e-07,up,1.734,,,Immune / JAK-STAT / chemokine,625.0
CTPS1,2,0.0008686347246569,up,1.116,,,Neuronal / Ca²⁺ signaling,1864.0
C7,2,0.0,down,-1.765,,,Lipid / metabolism,1355.0
PPP2R2B,2,0.0,down,-1.205,,,Neuronal / Ca²⁺ signaling,780.0
TNXB,2,0.0022161793685803,down,-1.746,,,,1619.0
CYP27B1,2,0.0004252275919457,up,1.459,,,Lipid / metabolism,1159.0
RXRG,2,9.616186556809904e-05,down,-1.693,,,Lipid / metabolism,1595.0
HSD17B2,2,0.0,up,1.129,,,,2150.0
DCLK1,2,0.0040650322281224,down,-1.264,,,Neuronal / Ca²⁺ signaling,1354.0
PLA2G4E,2,2.071881869583324e-06,up,2.133,,,,871.0
ERC2,2,0.0011646329765112,up,1.569,,,,1289.0
AQP9,2,8.208561093845926e-05,down,-2.631,,,Lipid / metabolism,189.0
LSP1,2,1.754178855772489e-05,down,-1.501,,,Immune / JAK-STAT / chemokine,1833.0
KLK6,2,0.0020345879959308,up,3.615,,,,458.0
CDH4,2,0.0,down,-2.468,,,ECM / matrix remodeling,390.0
HMGCS2,2,0.0027012096311395,down,-3.031,,,,651.0
FCN1,2,1.9813603640908148e-05,up,1.152,,,Lipid / metabolism,742.0
CFHR3,2,0.0,down,-1.289,,,Lipid / metabolism,2134.0
DCHS1,2,0.0020345879959308,down,-1.018,,,ECM / matrix remodeling,2231.0
PTGIS,2,0.0006306464062832,down,-1.581,,,,1858.0
SOAT1,2,0.0,down,-1.335,,,,1350.0
CHAC2,2,0.0,up,1.039,,,,2349.0
CTNND2,2,0.0020345879959308,down,-1.585,,,ECM / matrix remodeling,1516.0
CDON,2,0.0054124410197543,down,-1.02,,,ECM / matrix remodeling,2379.0
CHRNA3,2,0.0,up,1.605,,,,1596.0
CHRNA5,2,0.0,up,1.663,,,,1220.0
CDH3,2,0.0,up,1.184,,,ECM / matrix remodeling,2233.0
CLEC2A,2,0.0020345879959308,down,-1.68,,,Immune / JAK-STAT / chemokine,600.0
CDH12,2,0.0,down,-3.727,,,ECM / matrix remodeling,537.0
COX7A1,2,0.0020345879959308,down,-1.057,,,Lipid / metabolism,520.0
CKMT1A,2,0.0,up,1.221,,,Neuronal / Ca²⁺ signaling,1897.0
CKMT2,2,0.0,down,-1.165,,,Neuronal / Ca²⁺ signaling,639.0
ATP2B2,2,0.0012764593822038,down,-2.286,,,,1031.0
LYZ,2,0.0,up,1.884,,,ECM / matrix remodeling,1497.0
DMGDH,2,0.0,down,-1.05,,,Neuronal / Ca²⁺ signaling,643.0
FXYD6,2,0.0,down,-1.579,,,,1476.0
LTB,2,8.180963646331824e-05,up,1.446,,,Immune / JAK-STAT / chemokine,187.0
BIRC7,2,0.0,down,-1.506,,,Neuronal / Ca²⁺ signaling,1163.0
ATP6V0A4,2,0.0,down,-1.567,,,,1622.0
NBEA,2,0.0020345879959308,down,-1.07,,,Neuronal / Ca²⁺ signaling,2302.0
CYP8B1,2,0.0,up,1.615,,,,1810.0
CAMK2N2,2,0.0,up,1.54,,,Neuronal / Ca²⁺ signaling,1258.0
ALPL,2,0.0014363336741538,up,1.528,,,Neuronal / Ca²⁺ signaling,1317.0
EPHB2,2,0.0,up,2.739,,,ECM / matrix remodeling,877.0
RNASE7,2,0.0,up,1.331,,,Lipid / metabolism,300.0
EPHA7,2,0.0,down,-1.113,,,ECM / matrix remodeling,1152.0
GFRA1,2,0.0002026353522955,down,-1.898,,,ECM / matrix remodeling,1514.0
DSC2,2,0.0,up,2.146,,,,1181.0
SYNM,2,0.0020345879959308,down,-1.408,,,ECM / matrix remodeling,1521.0
AK7,2,0.001768791324219,down,-1.182,,,Neuronal / Ca²⁺ signaling,2043.0
PAX9,2,0.0040650322281224,up,1.022,,,,1910.0
PYDC1,2,0.0,up,1.088,,,Interferon / antiviral,1060.0
EDN2,2,0.0,down,-1.002,,,ECM / matrix remodeling,1451.0
CFD,2,0.0001505067735721,down,-1.556,,,Lipid / metabolism,1846.0
ASPA,2,0.0004225086528301,down,-1.093,,,,2280.0
ADSS1,2,0.0002973018747662,,,,,,
TNMD,2,0.0076312007323986,down,-1.471,,,ECM / matrix remodeling,705.0
DPYSL3,2,0.0,down,-1.097,,,ECM / matrix remodeling,1919.0
CNNM4,2,0.0,up,1.205,,,Neuronal / Ca²⁺ signaling,1157.0
DSG4,2,0.0020345879959308,down,-1.228,,,,810.0
SDR9C7,2,0.0,up,1.392,,,,1815.0
RGMB,2,0.0020345879959308,down,-1.01,,,ECM / matrix remodeling,2365.0
AMY2A,2,0.0,down,-1.182,,,Neuronal / Ca²⁺ signaling,2260.0
SH3GL3,2,0.0013915822726697,up,1.386,,,ECM / matrix remodeling,864.0
ANG,2,0.0020345879959308,down,-1.326,,,,1298.0
IGLON5,2,0.0,up,2.051,,,,1196.0
KCNQ3,2,0.0020345879959308,down,-1.028,,,Neuronal / Ca²⁺ signaling,1483.0
ID4,2,0.0020345879959308,down,-1.782,,,Lipid / metabolism,1420.0
SPTLC2,2,0.0020345879959308,up,1.113,,,Neuronal / Ca²⁺ signaling,2082.0
FLRT1,2,0.0101315023422624,down,-1.003,,,ECM / matrix remodeling,1505.0
MEGF10,2,0.0002895269082375,down,-1.189,,,Immune / JAK-STAT / chemokine,1030.0
UNC5C,2,0.0060913326965749,down,-1.136,,,ECM / matrix remodeling,2122.0
NLRX1,2,0.0,up,1.432,,,Interferon / antiviral,1217.0
NEUROD2,1,0.0,down,-2.663,,,Cell cycle / proliferation,928.0
KRT77,1,0.0,down,-4.177,,,,352.0
SLC1A1,1,0.0,up,1.006,,,Lipid / metabolism,2244.0
MLKL,1,0.0,up,1.11,,,Interferon / antiviral,2335.0
MEGF6,1,0.0,down,-1.16,,,ECM / matrix remodeling,1974.0
PYHIN1,1,0.0,up,1.534,,,Interferon / antiviral,1323.0
UNC13D,1,0.0,up,1.166,,,Immune / JAK-STAT / chemokine,2085.0
KRT31,1,0.0,down,-1.315,,,,1821.0
LYNX1,1,0.0,up,1.729,,,,1184.0
KRT6C,1,0.0,up,2.884,,,,873.0
AASS,1,0.0,up,1.692,,,Lipid / metabolism,1377.0
SIRPG,1,0.0,up,1.364,,,Lipid / metabolism,1617.0
RHOH,1,0.0,up,1.065,,,Immune / JAK-STAT / chemokine,528.0
CYP39A1,1,0.0,down,-1.271,,,,2008.0
STXBP6,1,0.0,down,-1.501,,,ECM / matrix remodeling,1038.0
LTB4R2,1,0.0,up,1.149,,,Immune / JAK-STAT / chemokine,1440.0
SIT1,1,0.0,up,1.42,,,Immune / JAK-STAT / chemokine,619.0
SLC9A2,1,0.0,down,-1.957,,,ECM / matrix remodeling,1229.0
SPON2,1,0.0,down,-1.365,,,Cell cycle / proliferation,2096.0
CDHR1,1,0.0,down,-1.59,,,Neuronal / Ca²⁺ signaling,1366.0
LRP1B,1,0.0,down,-1.037,,,,2192.0
POC1A,1,0.0,up,1.052,,,Cell cycle / proliferation,2002.0
SPTSSA,1,0.0,up,1.368,,,Neuronal / Ca²⁺ signaling,1648.0
TAP2,1,0.0,up,1.023,,,Interferon / antiviral,1051.0
BCL3,1,0.0,up,1.298,Unclassified protein,Discovery precedence,Interferon / antiviral,63.0
TACR2,1,0.0,down,-1.287,,,,2172.0
SPINK1,1,0.0,down,-3.964,Unclassified,Unknown,,65.0
SERPINB13,1,0.0,up,2.555,,,Lipid / metabolism,311.0
MRGPRX2,1,0.0,down,-1.348,,,,2018.0
S100A7A,1,0.0,up,9.923,Unclassified,Unknown,Lipid / metabolism,10.0
PCP4,1,0.0,down,-2.258,,,Neuronal / Ca²⁺ signaling,257.0
CAB39L,1,0.0,down,-1.122,,,Lipid / metabolism,2239.0
FA2H,1,0.0,down,-2.659,,,,389.0
WFDC12,1,0.0,up,2.304,Unclassified,Unknown,,111.0
PIEZO2,1,0.0,down,-1.536,,,Cell cycle / proliferation,1389.0
PLCH1,1,0.0,down,-1.067,,,ECM / matrix remodeling,1796.0
PLCH2,1,0.0,down,-1.144,,,ECM / matrix remodeling,305.0
MAP6,1,0.0,down,-1.536,,,Neuronal / Ca²⁺ signaling,1005.0
TRPV3,1,0.0,up,1.09,,,Neuronal / Ca²⁺ signaling,2263.0
CALB1,1,0.0,down,-1.756,,,,893.0
TDRD5,1,0.0,down,-1.51,,,Immune / JAK-STAT / chemokine,963.0
PLD4,1,0.0,down,-1.115,,,Lipid / metabolism,2109.0
RGS9,1,0.0,down,-1.092,,,Neuronal / Ca²⁺ signaling,2321.0
RGS1,1,0.0,up,2.975,,,Neuronal / Ca²⁺ signaling,294.0
PLIN4,1,0.0,down,-1.135,,,Lipid / metabolism,1994.0
SLC8A3,1,0.0,down,-1.056,,,,971.0
PEG3,1,0.0,down,-1.058,,,Neuronal / Ca²⁺ signaling,2334.0
RND1,1,0.0,up,4.564,,,,213.0
PI16,1,0.0,down,-1.555,,,Neuronal / Ca²⁺ signaling,1894.0
NRN1,1,0.0,down,-1.095,,,ECM / matrix remodeling,1647.0
CRTAM,1,0.0,up,1.234,,,Immune / JAK-STAT / chemokine,846.0
SDCBP2,1,0.0,up,1.061,,,Immune / JAK-STAT / chemokine,733.0
UPB1,1,0.0,down,-2.352,,,Neuronal / Ca²⁺ signaling,434.0
SNCG,1,0.0,down,-1.401,,,ECM / matrix remodeling,2067.0
PLAAT5,1,0.0,,,,,Immune / JAK-STAT / chemokine,
TMPRSS11E,1,0.0,down,-2.073,,,ECM / matrix remodeling,447.0
SCUBE1,1,0.0,down,-3.086,,,ECM / matrix remodeling,686.0
NXPH3,1,0.0,down,-1.28,,,,1048.0
P2RY6,1,0.0,up,1.385,,,Neuronal / Ca²⁺ signaling,2074.0
SFTPC,1,0.0,down,-1.976,,,,1032.0
MYEOV,1,0.0,down,-1.77,,,ECM / matrix remodeling,1615.0
SCNN1D,1,0.0,up,2.412,,,Neuronal / Ca²⁺ signaling,277.0
GRID1,1,0.0,down,-1.254,,,Neuronal / Ca²⁺ signaling,2214.0
ROS1,1,0.0,down,-3.095,,,Immune / JAK-STAT / chemokine,638.0
CD248,1,0.0,down,-1.34,,,ECM / matrix remodeling,2017.0
P2RY4,1,0.0,down,-2.331,,,Neuronal / Ca²⁺ signaling,541.0
SERPINB1,1,0.0,up,1.288,,,ECM / matrix remodeling,2187.0
KYNU,1,0.0,up,4.652,Enzyme,Discovery precedence,Immune / JAK-STAT / chemokine,34.0
KRT15,1,0.0,down,-1.486,,,,1512.0
JMJD7-PLA2G4B,1,0.0,up,1.504,,,,538.0
FKBPL,1,0.0,up,1.02,,,Cell cycle / proliferation,1989.0
HSPB7,1,0.0,down,-2.026,,,ECM / matrix remodeling,1227.0
DDIAS,1,0.0,up,1.277,,,Cell cycle / proliferation,1488.0
RNASE4,1,0.0,down,-1.493,,,,1490.0
SYNPO2,1,0.0,down,-1.418,,,ECM / matrix remodeling,1129.0
ANGPT4,1,0.0,down,-1.135,,,ECM / matrix remodeling,1330.0
LGALS3BP,1,0.0,up,1.621,,,ECM / matrix remodeling,281.0
DCHS2,1,0.0,down,-1.4,,,ECM / matrix remodeling,1996.0
PLAG1,1,0.0,down,-1.1,,,,1694.0
FOXL2,1,0.0,down,-1.091,,,,1223.0
CNTNAP3,1,0.0,down,-1.114,,,,2285.0
IKZF3,1,0.0,up,1.639,,,Immune / JAK-STAT / chemokine,195.0
FMO5,1,0.0,down,-1.004,,,,2262.0
INHBB,1,0.0,down,-1.095,,,,511.0
VSIG2,1,0.0,up,1.029,,,,2333.0
WFIKKN1,1,0.0,down,-1.176,,,,735.0
WFIKKN2,1,0.0,down,-3.06,Unclassified,Unknown,,121.0
CYBRD1,1,0.0,down,-1.026,,,ECM / matrix remodeling,2337.0
SOX7,1,0.0,up,1.426,,,ECM / matrix remodeling,1401.0
ANKRD2,1,0.0,down,-1.607,,,,1361.0
EPN3,1,0.0,up,1.105,,,,2206.0
DEFB4B,1,0.0,up,9.769,Unclassified,Unknown,Lipid / metabolism,9.0
DES,1,0.0,down,-2.501,,,ECM / matrix remodeling,221.0
FERMT1,1,0.0,up,1.11,,,Neuronal / Ca²⁺ signaling,2271.0
NR4A3,1,0.0,up,2.064,Transcription factor,Discovery precedence,Lipid / metabolism,144.0
ADGRD1,1,0.0,down,-1.899,,,Cell cycle / proliferation,1551.0
ADCYAP1R1,1,0.0,down,-1.543,,,Immune / JAK-STAT / chemokine,287.0
ADAMTSL3,1,0.0,down,-2.413,,,,811.0
TSPAN8,1,0.0,down,-2.931,,,,804.0
EDAR,1,0.0,down,-1.732,,,,1254.0
ZIC2,1,0.0,up,1.052,,,ECM / matrix remodeling,1067.0
ECM2,1,0.0,down,-1.105,,,ECM / matrix remodeling,2301.0
KRT81,1,0.0,down,-1.601,,,,968.0
ADAMTS10,1,0.0,down,-1.048,,,ECM / matrix remodeling,2347.0
ADRA1A,1,0.0,down,-1.984,,,Immune / JAK-STAT / chemokine,1353.0
ETV4,1,0.0,up,1.02,,,ECM / matrix remodeling,2303.0
DRGX,1,0.0,down,-1.611,,,ECM / matrix remodeling,1114.0
GPRASP1,1,0.0,down,-1.526,,,ECM / matrix remodeling,1417.0
TPPP,1,0.0,down,-2.086,,,ECM / matrix remodeling,1296.0
AGR2,1,0.0,down,-1.478,,,ECM / matrix remodeling,615.0
TNFRSF6B,1,0.0,up,1.427,,,Immune / JAK-STAT / chemokine,1712.0
OLAH,1,0.0,down,-2.195,,,Lipid / metabolism,438.0
PTGFR,1,0.0,down,-1.064,,,ECM / matrix remodeling,2294.0
RETREG1,1,0.0,,,,,ECM / matrix remodeling,
APOBEC2,1,0.0,down,-1.28,,,Lipid / metabolism,834.0
KLK8,1,0.0,up,1.418,,,ECM / matrix remodeling,1471.0
CHRM3,1,0.0,down,-1.89,,,Neuronal / Ca²⁺ signaling,1276.0
ID1,1,0.0,up,1.48,,,Lipid / metabolism,1840.0
INMT,1,0.0,down,-1.228,,,Immune / JAK-STAT / chemokine,2013.0
IGFBP6,1,0.0,down,-1.547,,,ECM / matrix remodeling,1007.0
ACADL,1,0.0,down,-2.58,,,Lipid / metabolism,931.0
IL17RE,1,0.0,down,-1.051,,,Immune / JAK-STAT / chemokine,1785.0
IL37,1,0.0,down,-3.141,Unclassified,Unknown,Immune / JAK-STAT / chemokine,53.0
IL36A,1,0.0,up,10.061,Unclassified,Unknown,Immune / JAK-STAT / chemokine,2.0
IL36G,1,0.0,up,4.835,Secreted protein,Discovery precedence,Immune / JAK-STAT / chemokine,88.0
NCOA7,1,0.0,up,1.024,,,,1424.0
CHAD,1,0.0,down,-1.633,,,ECM / matrix remodeling,1776.0
GCNT4,1,0.0,up,1.752,,,,1214.0
AWAT1,1,0.0,down,-3.892,,,Lipid / metabolism,209.0
IRX1,1,0.0,down,-1.158,,,ECM / matrix remodeling,1750.0
RASGRP1,1,0.0,up,1.324,,,Immune / JAK-STAT / chemokine,745.0
KCNA6,1,0.0,down,-2.081,,,,1343.0
KCNJ18,1,0.0,up,1.062,,,Neuronal / Ca²⁺ signaling,2356.0
KCNMB4,1,0.0,down,-1.573,,,,1294.0
KIF21A,1,0.0,down,-1.094,,,Cell cycle / proliferation,2277.0
KLK1,1,0.0,down,-1.72,,,ECM / matrix remodeling,1680.0
KLK13,1,0.0,up,3.65,Enzyme,Unknown,,85.0
HRH2,1,0.0,up,3.574,,,,411.0
HRNR,1,0.0,up,3.042,,,Lipid / metabolism,734.0
TXNIP,1,0.0,down,-1.238,,,,510.0
TMPRSS11D,1,0.0,up,6.933,Enzyme,Discovery precedence,ECM / matrix remodeling,40.0
CRABP2,1,0.0,up,2.412,,,Lipid / metabolism,832.0
COX6B2,1,0.0,down,-1.033,,,Lipid / metabolism,859.0
ACP7,1,0.0,up,3.435,Unclassified,Unknown,Neuronal / Ca²⁺ signaling,145.0
GDF15,1,0.0,down,-1.239,,,ECM / matrix remodeling,884.0
CORO2B,1,0.0,down,-1.279,,,ECM / matrix remodeling,1951.0
PAEP,1,0.0,up,1.832,,,,1221.0
GLIS1,1,0.0,down,-1.311,,,,1703.0
GLRB,1,0.0,down,-1.403,,,Neuronal / Ca²⁺ signaling,2045.0
PSAPL1,1,0.0,down,-1.925,,,Immune / JAK-STAT / chemokine,308.0
HS6ST2,1,0.0,down,-2.026,,,,1188.0
GPR1,1,0.0,up,1.498,,,Neuronal / Ca²⁺ signaling,1561.0
GRHL3,1,0.0,up,1.111,,,,2351.0
TGFBR3,1,0.0,down,-1.255,,,Immune / JAK-STAT / chemokine,1730.0
KLRF2,1,0.0,down,-2.739,,,Immune / JAK-STAT / chemokine,165.0
NETO2,1,0.0,up,1.696,,,Neuronal / Ca²⁺ signaling,1538.0
PPP1R1B,1,0.0,down,-2.686,,,Neuronal / Ca²⁺ signaling,999.0
MFHAS1,1,0.0,up,1.201,,,,2064.0
SERPINB9,1,0.0,up,1.783,,,Immune / JAK-STAT / chemokine,1485.0
SRGN,1,0.0,up,1.396,,,Immune / JAK-STAT / chemokine,770.0
A2ML1,1,0.0,up,1.712,,,,1589.0
