gene,degree,betweenness,direction,logFC,protein_class,ot_sm_bucket,community_name,evidence_rank
GNLY,13,0.0030960965973595,up,1.749,,,Immune / JAK-STAT / chemokine,479.0
TGM1,13,0.0097547304992254,up,2.348,,,,403.0
AR,12,0.0203799095550094,down,-1.276,,,ECM / matrix remodeling,847.0
CCR4,12,2.173310422403451e-06,up,1.536,,,Immune / JAK-STAT / chemokine,464.0
LCN2,12,0.0316035663089236,up,4.332,,,ECM / matrix remodeling,152.0
ALOX12B,12,0.0169342881950968,up,1.895,,,,1339.0
CDH2,12,0.0233845727661829,down,-1.627,,,ECM / matrix remodeling,657.0
PARP12,12,3.092578250924994e-05,up,1.171,,,Interferon / antiviral,484.0
CLEC7A,12,0.0059440431630764,up,3.033,,,Immune / JAK-STAT / chemokine,772.0
SOCS1,12,0.0019745157606691,up,1.179,,,Immune / JAK-STAT / chemokine,385.0
ADH1C,12,0.001405391932028,down,-1.915,,,,347.0
SPRR2A,12,0.0029960021534143,up,8.786,Unclassified,Unknown,,20.0
ADH1B,12,0.0012867284315091,down,-1.94,,,,433.0
ADH1A,12,0.0012826204448547,down,-1.79,,,,869.0
TRIM22,12,1.9912823460526225e-07,up,1.86,,,Interferon / antiviral,1170.0
ADH6,12,0.0014369131833599,down,-1.955,,,,1351.0
CCL18,12,0.0,up,2.5,,,Immune / JAK-STAT / chemokine,1025.0
H2AX,12,0.000944217296654,,,,,Cell cycle / proliferation,
IL21R,12,0.0002309532970188,up,1.747,,,Immune / JAK-STAT / chemokine,1337.0
LIF,11,0.00152523459161,down,-1.524,,,Immune / JAK-STAT / chemokine,795.0
RORA,11,0.0147820301038546,down,-1.015,Transcription factor,Discovery precedence,Lipid / metabolism,2186.0
SELE,11,0.010718666259278,up,1.668,,,Immune / JAK-STAT / chemokine,571.0
MMP1,11,0.0011570328620153,up,3.206,Enzyme,Approved drug,ECM / matrix remodeling,304.0
ITGA11,11,0.010719741596346,down,-1.475,,,ECM / matrix remodeling,1823.0
SPRR2D,11,4.719324569587296e-05,up,5.364,Unclassified,Unknown,,77.0
CD1B,11,0.0001548289996252,up,1.575,,,Immune / JAK-STAT / chemokine,1802.0
FASN,11,0.0268336396169924,down,-1.102,,,Lipid / metabolism,395.0
MMP7,11,0.0008274493452567,down,-1.374,,,ECM / matrix remodeling,837.0
GSTA3,11,0.002694597954772,down,-2.526,Enzyme,Druggable pocket,,84.0
MAPT,11,0.0170710961524895,down,-1.202,,,Neuronal / Ca²⁺ signaling,1668.0
WNT5A,11,0.0047815724587369,up,1.936,,,,252.0
EPHA2,11,0.0179217938751,up,1.043,,,ECM / matrix remodeling,2359.0
IFI16,11,0.0036508630993948,up,1.535,,,Interferon / antiviral,489.0
GSTM5,11,0.0021097974455901,down,-2.125,,,,1260.0
PRKCB,11,0.0089975897166666,down,-1.478,,,Immune / JAK-STAT / chemokine,838.0
ERBB4,11,0.0235970810471007,down,-3.708,,,ECM / matrix remodeling,542.0
SAA1,11,0.0076344777172585,up,2.164,,,Lipid / metabolism,247.0
ALDH1A2,11,0.0011467445497127,down,-1.888,,,,750.0
S100A7,11,0.0202263388040433,up,8.11,Unclassified,Discovery precedence,Lipid / metabolism,13.0
ALDH1A3,11,0.0011467445497127,up,1.958,,,,1421.0
WNT3A,11,0.0198221513635051,down,-1.055,,,,1016.0
CACNG4,10,0.0036319676251872,down,-1.822,,,Neuronal / Ca²⁺ signaling,485.0
SLAMF1,10,0.0001040644455432,up,1.959,,,Immune / JAK-STAT / chemokine,594.0
GSN,10,0.0192025308146346,down,-1.001,,,ECM / matrix remodeling,2137.0
ELANE,10,0.0105285021148764,down,-1.553,,,ECM / matrix remodeling,1704.0
ESCO2,10,1.3615049888507966e-06,up,1.247,,,Cell cycle / proliferation,2026.0
ACE2,10,0.0223253757905121,up,1.286,,,ECM / matrix remodeling,1297.0
SPRR2F,10,0.0016167985745314,up,6.69,Unclassified,Unknown,,56.0
RORC,10,0.0062101554742798,down,-2.473,Transcription factor,Phase 1,Lipid / metabolism,7.0
PRKG2,10,0.0257308892600188,down,-1.11,,,,2210.0
MUC1,10,0.0121382340100766,down,-1.821,,,,435.0
SPRR2E,10,2.8301673730518076e-05,up,4.239,Unclassified,Unknown,,58.0
GPX2,10,0.02997153032546,up,1.062,,,,2286.0
SPRR2G,10,5.187060123399181e-05,up,5.012,,,,162.0
CD7,10,0.0001516262253516,up,2.069,Unclassified,Unknown,Immune / JAK-STAT / chemokine,129.0
LDB3,10,0.0190809548606014,down,-1.39,,,,369.0
ADH7,10,0.0012857306594419,up,3.325,,,,339.0
MGST1,10,0.001940958840832,down,-1.326,,,,580.0
PLIN1,10,0.0121578173556119,down,-1.746,,,Lipid / metabolism,814.0
LCE3E,9,2.5217162294149337e-05,up,4.853,Unclassified,Unknown,,123.0
BCO1,9,0.0004253341151365,down,-1.55,,,,1035.0
FLG,9,0.0014898545842992,down,-1.266,,,,578.0
DKK1,9,0.0004149282491763,down,-1.704,,,,1180.0
GINS4,9,7.900268567567249e-05,up,1.183,,,Cell cycle / proliferation,1212.0
AOC3,9,0.0002367302492489,down,-1.039,,,Immune / JAK-STAT / chemokine,986.0
CNTNAP2,9,0.0078738401077584,up,1.758,,,,1176.0
CD83,9,0.0015929929628134,up,1.385,Unclassified,Unknown,Immune / JAK-STAT / chemokine,100.0
DKK2,9,0.0004149282491763,down,-1.436,,,,399.0
IL19,9,0.0006289909260232,up,8.112,Unclassified,Unknown,Immune / JAK-STAT / chemokine,17.0
BATF,9,0.0025024352360348,up,1.112,,,Immune / JAK-STAT / chemokine,309.0
DSG3,9,0.0142383729182239,up,1.44,,,,1924.0
UGT1A7,9,0.000193781141708,up,1.11,,,,2278.0
GPC3,9,0.004762730011519,down,-1.949,,,,1478.0
HELZ2,9,5.111550665090437e-07,up,1.783,,,Interferon / antiviral,379.0
PI3,9,0.0370898285877285,up,6.611,Unclassified,Unknown,,59.0
APOC2,9,0.0002225609601505,down,-1.433,,,Lipid / metabolism,703.0
NRXN1,9,0.0068966394526536,down,-1.849,,,,1211.0
IL12RB2,9,9.053489494490964e-05,up,1.272,Unclassified,Unknown,Immune / JAK-STAT / chemokine,2157.0
IL23A,9,1.6030277116876444e-05,up,1.633,Unclassified,Discovery precedence,Immune / JAK-STAT / chemokine,291.0
CD1A,9,9.470833168973423e-05,down,-1.028,,,Immune / JAK-STAT / chemokine,1100.0
TICRR,9,6.80042391430079e-05,up,1.502,,,Cell cycle / proliferation,1195.0
PGM2,9,0.0058859281566634,up,1.233,,,Neuronal / Ca²⁺ signaling,1957.0
LGALS9B,9,0.0040844589981483,up,3.036,,,Immune / JAK-STAT / chemokine,743.0
FZD8,9,0.0044791835215977,down,-1.29,,,,1784.0
EPCAM,9,0.0153669544429151,down,-1.374,,,,1443.0
CD226,9,7.241822529434726e-05,up,1.355,,,Immune / JAK-STAT / chemokine,1518.0
CD244,9,4.980090744893958e-05,up,1.008,,,Immune / JAK-STAT / chemokine,2148.0
WIF1,9,0.0004147432597237,down,-5.159,,,,208.0
PLPP3,9,0.0030020105086397,down,-1.207,,,Lipid / metabolism,696.0
PGR,9,0.0065073749726285,down,-1.406,,,ECM / matrix remodeling,1849.0
IRF8,8,0.0004757144582852,up,1.33,,,Immune / JAK-STAT / chemokine,822.0
CACNB4,8,0.0056501641634879,up,1.29,,,Neuronal / Ca²⁺ signaling,2075.0
PLPP4,8,0.002392506543971,down,-1.039,,,Lipid / metabolism,1556.0
CD96,8,1.853237368411868e-05,up,1.323,,,Immune / JAK-STAT / chemokine,796.0
CH25H,8,0.0046362133569935,up,1.457,,,,715.0
FPR1,8,0.0035918617854164,up,2.612,,,Immune / JAK-STAT / chemokine,358.0
ORC6,8,1.466407624523082e-05,up,1.131,,,Cell cycle / proliferation,1913.0
LGALS9C,8,2.7477120637588475e-05,up,2.792,,,Immune / JAK-STAT / chemokine,915.0
WNT6,8,3.717622684674076e-05,down,-1.575,,,,1769.0
FGF22,8,0.0030521343847861,down,-1.399,,,ECM / matrix remodeling,1084.0
