"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP049599","SRR1644029","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1644030","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1644031","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1644032","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540466: JB3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540466"
"SRP049599","SRR1643995","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540463: CO3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540463"
"SRP049599","SRR1643996","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540463: CO3; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_control|tissue;;foreskin skin|transfected with;;non-silencing siRNA control","GEO Accession;;GSM1540463"
"SRP049599","SRR1643997","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1643998","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1643999","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
"SRP049599","SRR1644002","JunB control of keratinocyte-mediated inflammation [RNA-seq]","GSM1540464: JB1; Homo sapiens; RNA-Seq","cell type;;human neonatal keratincoytes|passage;;Passage 3|source_name;;keratinocytes_JunB siRNA|tissue;;foreskin skin|transfected with;;siRNA oligonucleotides targeting JunB","GEO Accession;;GSM1540464"
