"collection","pathway","NES","ES","padj","pval","size","leadingEdge"
"GO:BP","GOBP_ACTIN_FILAMENT_POLYMERIZATION",-1.16177391405873,-0.24830469813482,0.25838610673512,0.148351648351648,143,"COBL;SCIN;ANG;TMOD1;KANK2;SPTAN1;SPTBN1;LMOD1;PFN2;GSN;KANK1;KANK4;DMTN;PAK3;DAAM2;ADD2;SLIT2;MYADM;EPS8;WASF3;ARHGAP6;VILL;ADD3;SVIL;SPTBN4;KANK3;ASB2"
"GO:BP","GOBP_AMINE_CATABOLIC_PROCESS",1.27467114975337,0.439971426233697,0.25838610673512,0.148409893992933,18,"MOXD1;SAT1;ALDH7A1;SMOX"
"GO:BP","GOBP_FACIAL_NERVE_MORPHOGENESIS",-1.3379394397553,-0.525721172115509,0.25838610673512,0.148373983739837,10,"EGR2;PLXNA3;HOXB2;PLXNA4;NRP1;ADARB1"
"GO:BP","GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",1.28622709014236,0.47295163773538,0.25838610673512,0.148351648351648,14,"PTPN2;BAK1;TMEM33;BCL2L11;BAX;BOK;SHISA5;PTPN1"
"GO:BP","GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING",-1.16213657462516,-0.248382209190442,0.25838610673512,0.148351648351648,143,"F3;CLDN1;MYLK;DSG2;RTN4RL1;TSPAN8;F2R;KANK1;CAV1;DMTN;APOE;PTN;PTK2;ADRA2A;NEO1;VEGFB;NTRK3;ENPP4;FERMT2;PTPRS;PDGFA;PDGFB;PDGFRA;CLDN3;WFDC1;PRKG1;F7;PTPRF;FIGNL2;TMEM97"
"GO:BP","GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION",1.28617641429331,0.45718040509408,0.258549599805967,0.148820326678766,16,"ARG1;RSAD2;SLAMF1;IL1B;TBX21;IL6;DENND1B"
"GO:BP","GOBP_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS",-1.33562364767894,-0.493654661598533,0.258549599805967,0.148760330578512,12,"SNCA;ATP2B4;RYR2;KCNQ1;ADIPOQ;SRD5A1"
"GO:BP","GOBP_DICARBOXYLIC_ACID_TRANSPORT",-1.19297887475109,-0.276886425246168,0.258549599805967,0.148614609571788,90,"APBA1;ATP1A2;SLC46A1;SLC13A3;SLC26A5;TTYH1;SLC17A7;SNCA;KCNK2;NPY5R;SLC26A3;SLC1A6;FOLR1;ABAT;SLC25A21;SLC25A18;P2RX7;ABCC8;SLC1A7;LRRC8C;ARL6IP5;NTRK2;SLC26A2;KCNJ8;SLC12A2;SLC26A7;SLC1A2;ITGB1;RAB3GAP1;PIANP"
"GO:BP","GOBP_REGULATION_OF_MRNA_3_END_PROCESSING",1.27971507036247,0.454883675187571,0.258549599805967,0.148820326678766,16,"CCNB1;CSTF2;NCBP1;CLP1;CSTF3;CSTF1;NCBP2;CDK9"
"GO:BP","GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE",-1.3039827585023,-0.445950509331498,0.258549599805967,0.148558758314856,16,"ATP1A2;NLGN3;MECP2;PBX3;TSHZ3;ADORA1;FTO"
"GO:BP","GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION",1.28458030185999,0.45661305576258,0.258549599805967,0.148820326678766,16,"BYSL;TFAP2C;JUNB;TEAD4;CTR9;CNOT1;EOMES"
"GO:BP","GOBP_HOMOTYPIC_CELL_CELL_ADHESION",1.21105580750756,0.294327352986904,0.25865916733266,0.148936170212766,99,"PRKCQ;DSC2;SLC7A11;METAP1;LYN;SYK;RAP2B;TJP2;MFSD2B;PLEK;PPIA;MIP;CDHR2;IL6;PLAUR;PDPN;TMX1;VPS33B;CCL5;COMP;F11R;PDIA3;JUP"
"GO:BP","GOBP_MONOSACCHARIDE_TRANSMEMBRANE_TRANSPORT",-1.16551373416068,-0.266871752392655,0.259051026255905,0.149214659685864,103,"SLC2A11;KLF15;SORBS1;PRKCB;SLC26A5;INSR;PRKAG2;PIK3R1;PID1;FFAR4;SLC2A4;SGCB;IRS2;IRS1;SLC5A9;CREBL2;SLC45A1;CLIP3;PTPRM;MEF2A;GPC3"
"GO:BP","GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH",1.26929794325116,0.375061669170689,0.260019889251907,0.149825783972125,36,"BIRC3;CASP8;ZBP1;LTB;RIPK3;CYLD;AIFM1;LTBR;LTA;CFLAR;PELI1;BOK;PARP1;FADD"
"GO:BP","GOBP_RESPONSE_TO_COLD",-1.23394989380021,-0.335911138887979,0.260619072185404,0.150224215246637,40,"ADRB2;THRA;HSPA2;CIRBP;FOXO1;ADRB1;PCSK1N;SLC27A1;CIDEA;NFE2L1;JUND;SLC25A27;SCN11A;PLIN1;EIF2AK3;EIF2AK4"
"GO:BP","GOBP_HYPERSENSITIVITY",1.282265818233,0.429523894356201,0.261367971169435,0.150709219858156,20,"CCR7;FCGR3A;FCGR1A;EXT1;FUT7;FCGR3B"
"GO:BP","GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION",-1.28325680244465,-0.433683064872732,0.262198359738127,0.151241534988713,17,"PRLR;PTCH1;ERBB4;ZNF703;IRF6;SMO;LBH"
"GO:BP","GOBP_FOREBRAIN_GENERATION_OF_NEURONS",-1.19675608087311,-0.290757509205659,0.262319204270658,0.15136476426799,71,"ID4;CNTN2;OPHN1;NDNF;ERBB4;GATA2;CAPS2;FGFR1;SEMA3E;SLIT2;DCLK2;HES1;LYPD6;PLXNA3;SIN3A;CHD5;RAPGEF2;GLI3"
"GO:BP","GOBP_REGULATION_OF_TROPHOBLAST_CELL_MIGRATION",1.29311285307082,0.465419983280795,0.262676533530364,0.151624548736462,15,"C1QBP;FBN2;ARHGDIB;CALR;GJA1;APELA;AGO2;VEGFA"
"GO:BP","GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGY",1.20305859541733,0.296479245051232,0.262913853222778,0.151815181518152,93,"STAT3;SLC7A5;TIGAR;HMOX1;MCL1;EIF4E;EIF4G2;PTPN22;QSOX1;EIF4G1;RUBCN;LZTS1;TREM2;UBQLN4;CTSA;PHF23;LYPLA1;IL10;RRAGC;FOXK2;POLDIP2;RBX1;NPC1;IL10RA;MTOR;EIF4G3;TRIM27;STK38L;RASIP1;BECN1"
"GO:BP","GOBP_REGULATION_OF_ERAD_PATHWAY",-1.27210461952891,-0.390701741740829,0.26301532033984,0.151927437641723,25,"SVIP;CAV1;USP13;SIK2"
"GO:BP","GOBP_ADULT_HEART_DEVELOPMENT",-1.3325581587026,-0.523606686737136,0.263714669444612,0.152439024390244,10,"ADRA1A;SCUBE1;MYH10;MEF2D;TCAP;HAND2;APLNR"
