"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"ART3",-1.25137777053525,-1.51126198072848,-8.31703948169716,2.11149568128097e-14,7.57396403487272e-14,1.00983821297932e-14,22.0716333332064
"RP11-583F24.7",-1.1239871042502,-0.727330993542541,-8.31105325047807,2.19002913890457e-14,7.84763107655971e-14,1.0463262970336e-14,21.9386765767769
"RP4-737E23.2",-1.05490348161531,2.23750183776124,-8.31069107978799,2.19487231502835e-14,7.86383700599115e-14,1.04848703700297e-14,21.5284173056273
"NKAIN2",-1.18235392877117,-2.106995900324,-8.30933992231831,2.21303476364132e-14,7.92775181577249e-14,1.05700881199362e-14,22.0853985153119
"PGR",-1.08507442711903,1.59062681308589,-8.30005496334855,2.34194023661976e-14,8.37485203729544e-14,1.11662077828321e-14,21.5471320274454
"CHRM3",-1.4920697749854,1.40687539275175,-8.2990354252515,2.35654072118876e-14,8.42460731807578e-14,1.12325466030301e-14,21.5702067373897
"DYNLRB2",-1.0077186780882,-1.29725253006417,-8.29763851447533,2.37669210956587e-14,8.49293474117593e-14,1.13236476995276e-14,21.9298354766828
"FAM3D",1.37621780401584,1.65849900162815,8.28561847711341,2.55730266365677e-14,9.11840670652321e-14,1.21575907824981e-14,21.4730892395693
"FBN3",-1.66813813719001,-1.99818993155378,-8.27872227525034,2.66700037307621e-14,9.50264165467943e-14,1.26698920445898e-14,21.8941287097314
"TRPC2",-1.37920219329248,-2.47662903584251,-8.27162741190163,2.78472797313978e-14,9.91059311160367e-14,1.32138145775539e-14,21.8916822809083
"DDN",1.43736010146181,-1.9889460021613,8.27129565671376,2.79035726777617e-14,9.92774631041686e-14,1.32366849735006e-14,21.8629552352727
"FOXD3",-1.1187748499034,-1.08915707024228,-8.26694662027273,2.86520457209201e-14,1.01881324651019e-13,1.35838583795546e-14,21.7208169963799
"DDIT4L",-1.01385060615175,1.01627397816169,-8.26134048914323,2.96463035571064e-14,1.05294603771895e-13,1.40389516004828e-14,21.3907180988705
"FAM189A1",-1.20457750218204,-1.44069767194834,-8.25536434078186,3.07438729516601e-14,1.09098049154849e-13,1.45460657709493e-14,21.6937655824867
"OLIG1",-1.91430443558266,-2.69072014783421,-8.25507570298595,3.079789176606e-14,1.09257936473195e-13,1.45673835806316e-14,21.8100974039535
"RP11-244F12.3",-1.00353650726891,0.9425304621868,-8.23982698119154,3.37895958010088e-14,1.19577435551456e-13,1.59432845566663e-14,21.2715220308047
"CDHR4",-1.30456564946067,-2.11812722552984,-8.23946145920002,3.38647375179742e-14,1.19826064893374e-13,1.59764343589602e-14,21.6689157018351
"XXyac-YRM2039.3",-1.11691127761488,-2.28386450259405,-8.23923659349753,3.39110462847967e-14,1.1997261550173e-13,1.59959739823029e-14,21.6818895504604
"KCNJ13",-1.10445770057036,-0.386025932523793,-8.23653473427864,3.44723998581834e-14,1.21905856937936e-13,1.625373346838e-14,21.4444261521325
"RP11-394O4.6",-1.29202222389702,-1.62036915890101,-8.23135173668025,3.55751618740749e-14,1.25660652426168e-13,1.67543611381816e-14,21.5705885762242
"PPP1R1C",-1.09660115572286,-1.7778288944135,-8.2296014520855,3.59554052398615e-14,1.26930653385625e-13,1.69236906324168e-14,21.5761873745512
"PRR36",-1.03376642816652,-0.226548680055044,-8.22933167997364,3.6014369612032e-14,1.27120514871769e-13,1.6949004904177e-14,21.3780408827281
"ECT2L",-1.05946582132766,-1.36767089932576,-8.22063354027255,3.79677802006712e-14,1.33899886809786e-13,1.7852899986262e-14,21.4771427466131
"LINC01956",-1.37948210274741,-2.22115243419172,-8.21542199491737,3.91881265221964e-14,1.38084523392678e-13,1.84108384593493e-14,21.5351601994529
