statistic,source,condition,score,p_value,padj,rank,axis
ulm,NUPR1,PPvsNN,1.6366697625182,0.101712320539753,0.295776453923929,166,FALSE
ulm,EGR1,PPvsNN,1.63420452593917,0.102228747052943,0.295776453923929,167,FALSE
ulm,PPARGC1A,PPvsNN,1.63040103194235,0.103029607505108,0.296919971235193,168,FALSE
ulm,SALL3,PPvsNN,1.62406206787432,0.104375413111796,0.297628898118657,169,FALSE
ulm,ZFPM1,PPvsNN,1.61718160540131,0.105851946051222,0.298995170360961,170,FALSE
ulm,TWIST2,PPvsNN,1.61556864380172,0.106200470346789,0.298995170360961,171,FALSE
ulm,MBD1,PPvsNN,1.60067753550909,0.109461238816319,0.301340743889996,172,FALSE
ulm,E2F5,PPvsNN,1.59861924574746,0.10991811230474,0.301340743889996,173,FALSE
ulm,HDAC5,PPvsNN,1.59678313867746,0.110326939019835,0.301340743889996,174,FALSE
ulm,ARID3B,PPvsNN,1.58696128101822,0.112534305401285,0.305391867975824,175,FALSE
ulm,POU2F2,PPvsNN,1.56996049936738,0.116437201351287,0.31220524318367,176,FALSE
ulm,NR2C2,PPvsNN,1.56380125690159,0.117877150921932,0.314912680565162,177,FALSE
ulm,NFE2,PPvsNN,1.55366101779174,0.120278199183139,0.318998702181368,178,FALSE
ulm,TFAP2D,PPvsNN,1.54953018213938,0.121267224571177,0.32046068009423,179,FALSE
ulm,TET1,PPvsNN,1.5392380276948,0.123759097724417,0.325869278900262,180,FALSE
ulm,MAFG,PPvsNN,1.5236481155704,0.127609530060947,0.333607771445048,181,FALSE
ulm,PHF20,PPvsNN,1.51872465259852,0.128844708343587,0.335486673700842,182,FALSE
ulm,NOTO,PPvsNN,1.51444131432056,0.129926833867727,0.335486673700842,183,FALSE
ulm,RARB,PPvsNN,1.51351611545636,0.130161496353879,0.335486673700842,184,FALSE
ulm,BHLHE40,PPvsNN,1.49290411234378,0.135475151709801,0.346740598082429,185,FALSE
ulm,POU4F1,PPvsNN,1.46846107709115,0.141991846296575,0.360621561861352,186,FALSE
ulm,ZNF335,PPvsNN,1.46704533404555,0.142376545598266,0.360621561861352,187,FALSE
ulm,RBPJ,PPvsNN,1.46502823758213,0.142926032178352,0.360765019153634,188,FALSE
ulm,HES6,PPvsNN,1.45874775603019,0.144647352644814,0.362609116904121,189,FALSE
ulm,ZXDC,PPvsNN,1.44224010989209,0.149247418260887,0.370335966667692,190,FALSE
ulm,POU5F1,PPvsNN,1.43668861209367,0.15081924786483,0.371725911825292,191,FALSE
ulm,NEUROD6,PPvsNN,1.43457271582886,0.151421644445065,0.371725911825292,192,FALSE
ulm,XBP1,PPvsNN,1.4313359923391,0.1523466851743,0.371725911825292,193,FALSE
ulm,ETV4,PPvsNN,1.38601588701643,0.165754653441791,0.401762934832422,194,FALSE
ulm,FOSB,PPvsNN,1.37968015283962,0.167697724314414,0.403106247253073,195,FALSE
ulm,SP3,PPvsNN,1.37171828135792,0.170163702733879,0.403106247253073,196,FALSE
ulm,KCNIP3,PPvsNN,1.36662574544276,0.171755170834263,0.405563822744131,197,FALSE
