"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"PCNX1",-0.0449720108796098,5.37995525234161,-0.948748957192976,0.344013201544285,0.38591153933127,0.051453666462114,-7.703716089596
"SNW1",-0.0334071816215601,5.56614644165607,-0.948487628385032,0.344145797142982,0.386042628387591,0.0514711445934818,-7.71142211506107
"SNAP47",0.0465587310006569,4.71180277981167,0.947881023573473,0.344453709072244,0.386370356067316,0.0515148405937418,-7.66416797103952
"LIPK",-0.0838020445731368,3.07956128839088,-0.947830561585329,0.344479331504933,0.386381426886455,0.0515163166683792,-7.49287258085646
"SELENOS",0.033775296146386,5.12071762687434,0.9476326160215,0.344579851609189,0.386476500995482,0.0515289929192721,-7.69171294682488
"RBM42",0.0746186062441994,5.40571340002737,0.94714875871122,0.344825641960575,0.38673449227293,0.0515633909503933,-7.70616280572702
"RP11-219A15.1",-0.183407741187202,1.6431050310146,-0.947043684038195,0.344879032803532,0.386776686781813,0.0515690167531106,-7.30014087453876
"MAK",-0.0997095544618448,-0.849286722302148,-0.946984990981873,0.344908858401096,0.386792450569773,0.0515711185422648,-6.86068660258172
"RP11-889L3.4",0.119257291997996,-1.86641899628593,0.946794516672965,0.345005661687121,0.386883320525841,0.0515832342525622,-6.67233419186073
"ARHGEF38",-0.0535419116405283,1.61849764762012,-0.945943370843462,0.345438446391374,0.387350928640743,0.0516455805405765,-7.29681525434668
"INPP5F",-0.0410650005347077,4.21465342589013,-0.945892446299837,0.345464351207498,0.387362267721944,0.0516470923826506,-7.62260133837313
"RP11-667M19.5",0.108381408575718,-2.21745642826215,0.94542719151012,0.345701079569339,0.387609987185808,0.0516801208707128,-6.61253519007564
"STARD8",-0.0671052801395117,2.75460067734192,-0.945392450216754,0.345718760622992,0.387612093091409,0.0516804016515482,-7.45401016599199
"MED7",-0.047108608104786,2.70697845530442,-0.944903413783429,0.345967709946481,0.38787347973157,0.0517152523870918,-7.44818161252095
"PEMT",-0.0674690134130521,3.93204510366482,-0.944053989887295,0.346400392091488,0.388340820751407,0.0517775630632649,-7.59567691566333
"ERCC3",-0.026209767921735,5.15034447985446,-0.943812331642864,0.3465235521699,0.388461137459932,0.0517936049152423,-7.69708090499217
"RP11-456K23.1",0.0947203773709794,-0.0116012593197713,0.943716311406293,0.346572496271643,0.388498249099715,0.0517985530179566,-7.02382665905657
"AC021188.4",-0.153444225012818,-2.32524665519556,-0.943670675447107,0.346595759705523,0.38850657133978,0.0517996626239695,-6.5980540369738
"RP11-364L4.1",-0.0816945799443267,5.14194079917572,-0.943442383260014,0.346712149218117,0.388619275054699,0.0518146894339129,-7.69701980829081
"GRB10",0.0458880547066629,4.0012988790146,0.9433024219891,0.346783517652243,0.388681507995531,0.0518229869649639,-7.60311152045049
"RP11-989E6.13",0.0804085479940537,1.09844150403423,0.941689211222621,0.347606799591627,0.389586455580691,0.0519436438162548,-7.21984004090653
"LPAL2",-0.113000363493428,-0.668868412239628,-0.941542495508186,0.347681736255676,0.389652637616706,0.0519524678809945,-6.90047655579304
"HSD17B7",0.0543039476833043,2.52503424363939,0.941306687364391,0.347802199561682,0.38976983373002,0.0519680936633579,-7.42699410637513
"AC005785.2",-0.0775306307268095,2.07966827469193,-0.941255490631064,0.347828357103807,0.38978133877203,0.0519696276330216,-7.36745103067059
"ARMC4",0.16862239045408,-2.45071631835033,0.941219495575857,0.347846748527887,0.389784140339531,0.0519700011666041,-6.57568391097085
