gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
DPH5,4,0.112,0.06,1.88,0.0597845293130219,0.106558270701674,0,0,0.33,up
PRELID3BP10,2,-0.479,0.255,-1.88,0.0598054960449476,0.106588295872831,58.9,0.0789,2.43,down
AGPAT4,4,-0.271,0.144,-1.88,0.0598143851382198,0.106596793027969,58.7,0.0461,7.27,down
RP11-119J18.1,3,0.95,0.505,1.88,0.0598481048462192,0.106647171173917,88.9,0.6338,17.97,up
AC012671.2,2,0.46,0.244,1.88,0.0598509004635558,0.106647171173917,0,0,0.59,up
RP4-764D2.1,2,-0.223,0.119,-1.88,0.0599453538870918,0.106808117452173,0,0,0.68,down
EMC6,4,-0.24,0.128,-1.88,0.0599748250143446,0.106853266802439,77.7,0.0361,13.48,down
TMEM158,4,0.425,0.226,1.88,0.0599801858384792,0.106855457124013,68.6,0.1251,9.56,up
MTA1,4,0.127,0.067,1.88,0.0599979714377519,0.106879780512846,41.4,0.0064,5.12,up
RP11-440I14.2,3,0.399,0.212,1.88,0.0600288050523612,0.106927342553324,0,0,1.48,up
IFT172,4,0.113,0.06,1.88,0.0600449321188119,0.106948703554917,13.1,0.0022,3.45,up
RP11-211G3.3,4,0.322,0.172,1.88,0.0600791141038621,0.107002217820017,59.7,0.0573,7.45,up
RP11-798G7.6,3,0.602,0.32,1.88,0.0600952353479508,0.107023560355257,67.3,0.205,6.12,up
NME2P1,4,-0.256,0.136,-1.88,0.060106001513351,0.107028598583323,79.8,0.0475,14.84,down
SUPT3H,4,0.174,0.092,1.88,0.0601101599165794,0.107028598583323,0,0,1.71,up
C11orf58,4,-0.038,0.02,-1.88,0.0601104787744104,0.107028598583323,0,0,2.72,down
AKAP13,4,0.311,0.166,1.88,0.0601180612175682,0.107034730868809,92.8,0.0823,41.73,up
IRF5,4,0.244,0.13,1.88,0.0601404745854651,0.107067265602868,49,0.0267,5.89,up
SNORA73A,3,-1.178,0.627,-1.88,0.0601642874164766,0.107102287131926,90.6,1.0469,21.2,down
CLEC16A,4,-0.197,0.105,-1.88,0.0601773069563288,0.107118091336441,81.2,0.0294,15.95,down
AC007362.3,4,-0.717,0.382,-1.88,0.0602078608274558,0.107165103051498,79.6,0.4266,14.7,down
DNAH14,4,0.242,0.129,1.88,0.0602420452993556,0.107218570026324,0,0,1.91,up
GRHPR,4,0.185,0.098,1.88,0.0602484113731596,0.107222521967619,85.9,0.0264,21.23,up
NUDT16P1,4,0.382,0.203,1.88,0.0602934520722762,0.107288961777952,49.2,0.0767,5.9,up
GLIS3,4,0.247,0.131,1.88,0.0602940403434324,0.107288961777952,0,0,1.56,up
TMEM246,4,0.258,0.137,1.88,0.0603104854104724,0.107310841679723,87.7,0.055,24.36,up
IDH3B,4,-0.278,0.148,-1.88,0.0603772170552948,0.107422187653446,92.5,0.0701,40.01,down
BMP7,4,0.281,0.15,1.88,0.0603877798449707,0.107433590446439,68.5,0.0465,9.52,up
MRM1,3,-0.216,0.115,-1.88,0.0604288461385806,0.10749925555597,0,0,0.09,down
TBC1D3L,4,-0.295,0.157,-1.88,0.0604972139382745,0.10761347601785,3.4,0.004,3.11,down
PAICSP3,2,-0.534,0.285,-1.88,0.0605692794437704,0.10773425785941,0,0,0.15,down
DENND6A-AS1,4,-0.176,0.094,-1.88,0.0605738658114367,0.107735006556663,0,0,2.2,down
PVT1_1,2,-1.177,0.627,-1.88,0.0606073090603631,0.107787075674705,69,0.5539,3.23,down
INTS12,4,-0.056,0.03,-1.88,0.0606177436363362,0.107793219304358,0,0,0.17,down
UNG,4,0.125,0.066,1.88,0.0606214309947448,0.107793219304358,49.8,0.0077,5.98,up
XPO1,4,-0.187,0.1,-1.88,0.0606232666254712,0.107793219304358,83.4,0.0235,18.04,down
NBPF10,4,0.091,0.049,1.88,0.0607333929082265,0.107981609553748,0,0,2.97,up
RUNX2,4,-0.176,0.094,-1.87,0.0608284558209744,0.108143193659175,0,0,2.84,down
VPS4A,4,0.103,0.055,1.87,0.0608993933586959,0.108261867470569,64.5,0.0056,8.45,up
HCRTR1,3,0.271,0.144,1.87,0.0609375009379957,0.10832216661583,47.5,0.0299,3.81,up
SBF1,4,-0.189,0.101,-1.87,0.0610088980172536,0.108441628638461,77.4,0.0225,13.3,down
SDR42E1,4,-0.344,0.183,-1.87,0.0610572718950536,0.108520153950912,86.7,0.0975,22.54,down
