pathway,collection,gsea_nes,gsea_padj,gsea_size,ora_padj,ora_fold,ora_k,ora_setsize,gsea_sig,ora_sig
GOBP_MITOCHONDRIAL_TRNA_MODIFICATION,GO:BP,1.70843201423639,0.0587912905557027,13,,,,,FALSE,FALSE
GOBP_MITOCHONDRIAL_TRNA_PROCESSING,GO:BP,1.77142382574004,0.0393983140705126,16,,,,,TRUE,FALSE
GOBP_MITOCHONDRION_DISTRIBUTION,GO:BP,0.661350382357104,0.936385294631929,16,1,0.392231574158326,1,16,FALSE,FALSE
GOBP_MITOCHONDRION_LOCALIZATION,GO:BP,-1.19480419288458,0.265103962107511,53,1,0.82886672274967,7,53,FALSE,FALSE
GOBP_MITOCHONDRION_ORGANIZATION,GO:BP,1.58082603634234,0.000619626134397729,384,1,0.441260520928117,27,384,TRUE,FALSE
GOBP_MITOPHAGY,GO:BP,1.28621499514016,0.160932181959919,90,1,0.418380345768881,6,90,FALSE,FALSE
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,GO:BP,2.36206906116282,7.62329148500164e-10,139,0.0762698032840671,1.53506457800093,34,139,TRUE,FALSE
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,GO:BP,2.33892946503449,5.62646896937325e-20,432,0.627782812120181,1.08953215043979,75,432,TRUE,FALSE
GOBP_MITOTIC_CHROMOSOME_CONDENSATION,GO:BP,2.16960503356294,0.000706726627750559,17,0.703534865988356,1.4766365144784,4,17,TRUE,FALSE
GOBP_MITOTIC_CYTOKINESIS,GO:BP,1.7595726991448,0.00386889197089632,99,0.937040972683617,1.01425538368214,16,99,TRUE,FALSE
GOBP_MITOTIC_CYTOKINETIC_PROCESS,GO:BP,1.74879173049376,0.0150213880169498,38,0.978587630542299,0.990900818926297,6,38,TRUE,FALSE
GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING,GO:BP,1.68974049454936,0.0117034851948564,73,0.920870789027557,1.03162277038902,12,73,TRUE,FALSE
GOBP_MITOTIC_DNA_REPLICATION,GO:BP,1.94180500634418,0.0102872859465368,17,0.24615437055853,2.2149547717176,6,17,TRUE,FALSE
GOBP_MITOTIC_DNA_REPLICATION_CHECKPOINT_SIGNALING,GO:BP,2.02869880264664,0.0017356525966621,12,0.430749153033336,2.0919017288444,4,12,TRUE,FALSE
GOBP_MITOTIC_G1_S_TRANSITION_CHECKPOINT_SIGNALING,GO:BP,0.935795495645277,0.64990303170946,17,1,0.738318257239201,2,17,FALSE,FALSE
