gene,cls,trend_slope,trend_FDR,spearman_rho,mu_NN,mu_PN,mu_PP,pn_frac
MPV17L,late_PP,0.628872622985184,2.11661733245168e-08,0.538,0.94887666455204,0.994750839197876,2.261202209084,0.035
RFESD,late_PP,-0.628870188026554,3.05383221349863e-17,-0.644,2.52025129306874,2.46426041630881,1.2088779717861,0.043
FAM107A,late_PP,-0.628590684839946,1.60570539950928e-08,-0.525,2.34457243495124,2.17153582864432,1.04474210507582,0.133
PRSS21,late_PP,0.628171706782173,1.78433447730156e-05,0.451,-2.17001041513305,-2.10793443382859,-0.860669135452558,0.047
TLE2,late_PP,-0.627691593126201,4.58908719260818e-17,-0.71,2.61198749068214,2.46315757845189,1.31177328714752,0.114
GTSE1,late_PP,0.6275860799583,3.05778772543307e-11,0.614,1.14858513851437,1.21988332054824,2.45583695600365,0.055
C2CD2,late_PP,-0.627380498161122,4.60160058374209e-17,-0.66,6.36234447392992,6.32418865923863,5.05242027908589,0.029
GAPDHP38,late_PP,0.627233220676799,3.31119920144562e-09,0.559,-0.911585040788485,-0.766857197025329,0.38805354056743,0.111
RP11-732A19.5,late_PP,-0.627198706640675,4.71539218263904e-08,-0.543,-0.225842568086246,-0.395539815433941,-1.52307125529586,0.131
CA13,late_PP,-0.626316751276146,1.71260721170225e-18,-0.707,4.85516835573295,4.73840564546658,3.55483041799597,0.09
MIR3609,late_PP,-0.625975608316199,3.26794272505662e-13,-0.628,1.69606501049066,1.57649490165792,0.396704125043925,0.092
SEC14L5,late_PP,-0.62590184181166,5.76063496993405e-11,-0.564,2.07106167644751,2.03428713680044,0.764103911137488,0.028
NUP210,late_PP,0.625895486009506,4.40098137479922e-15,0.64,3.48491912300496,3.52661465543089,4.79140287847319,0.032
GLDN,late_PP,-0.624862992561447,3.27697171093912e-12,-0.609,4.46427607199841,4.35277663623566,3.16648900492835,0.086
LPAR1,late_PP,-0.624485824115304,1.62797520437353e-12,-0.643,4.74309902319281,4.64517106546308,3.44483104211751,0.075
SLC45A4,late_PP,-0.624241379753533,4.42754446512692e-12,-0.554,4.61334108938167,4.55829518857837,3.31157026492434,0.042
SLC1A5,late_PP,0.624148088359271,1.83556265348685e-16,0.684,3.89451941557848,4.07875424563089,5.18400025933684,0.143
LPCAT1,late_PP,0.623433150546472,1.14625741284328e-16,0.68,3.04586151695949,3.11350135895833,4.34476117218137,0.052
FUT1,late_PP,0.622865726425562,2.57946837041455e-18,0.689,2.96199832171897,3.07056578069909,4.25587836410209,0.084
RP11-996F15.2,late_PP,-0.622539750476785,1.08419336548139e-07,-0.521,1.92615300148531,1.7959304488691,0.634982778124542,0.101
SLC26A7,late_PP,-0.62242014457765,1.35731816658734e-05,-0.441,-0.657428278709213,-0.765324753014903,-1.95043825960287,0.083
CATSPERB,late_PP,0.621863383852015,3.58322363016831e-12,0.573,0.89450787503688,0.896524570746947,2.19626467249068,0.002
HIF1A-AS1,late_PP,0.621540522588952,7.40358611008093e-17,0.686,1.25660712509958,1.44726269215562,2.54002760786205,0.149
PDLIM3,late_PP,-0.621420564276741,4.53114700779198e-09,-0.546,2.66560666358616,2.64533745500221,1.36648576178821,0.016
SRGAP2C,late_PP,-0.619957117884265,4.79639036342547e-18,-0.674,6.11424266660744,6.09612056358604,4.81798465344191,0.014
RP11-31F15.2,late_PP,-0.617130632787165,3.78716588036857e-06,-0.461,-0.719188860503489,-0.884874606272704,-1.9957143838777,0.13
ARHGAP20,late_PP,-0.616202323478941,1.87072701101914e-06,-0.495,1.30087929378845,1.19489132655006,0.0207083929522918,0.083
AMY1A,late_PP,-0.6161047485114,1.16515609422769e-08,-0.588,-0.925610845580288,-1.04322450577719,-2.20448906446332,0.092
FGF7,late_PP,-0.616101712593238,2.01828375634773e-07,-0.504,2.71652870256521,2.62837719855795,1.43489859349586,0.069
KLF9,late_PP,-0.616019627125491,1.1048068741967e-13,-0.643,5.53317274388693,5.41238911850416,4.25476950889028,0.094
EME1,late_PP,0.615951885192307,2.83848480347088e-19,0.703,2.27656895146765,2.37100750348884,3.55729678563736,0.074
C11orf63,late_PP,-0.615747506579618,3.53491171884456e-17,-0.716,2.38425944091971,2.19768428651945,1.11258532405437,0.147
SARM1,late_PP,-0.615503257431559,9.9627727936339e-20,-0.709,3.96078694893661,3.88347222927307,2.67939523809659,0.06
ATL1,late_PP,-0.615134178848249,1.38066715139431e-20,-0.716,4.75932515124366,4.66066575552468,3.48070443867722,0.077
RP11-61N20.3,late_PP,0.614981538085606,4.13181364651798e-10,0.689,0.497496340289253,0.500038120991269,1.7847960095581,0.002
C12orf40,late_PP,-0.614341415907223,8.22285617132544e-11,-0.602,-0.977804816685153,-1.09021819913068,-2.25347813706917,0.088
RP1-7G5.5,late_PP,0.613918707666611,1.81309380616157e-08,0.561,-1.34824543574517,-1.25690422400857,-0.0714843297388954,0.072
MMP28,late_PP,-0.613912144446674,2.03950836338637e-17,-0.686,5.24364822344612,5.14963715614435,3.96715081013213,0.074
ZNF256,late_PP,-0.613595863853434,8.09679582397675e-18,-0.691,3.68062104072239,3.59361451047867,2.40413003421018,0.068
PTPN7,late_PP,0.613285956875744,4.6876887782907e-11,0.615,0.271566301575121,0.368955438366749,1.54643646131229,0.076
COL28A1,late_PP,-0.613044779939463,2.7331003115754e-10,-0.596,0.886150083924387,0.722473189796913,-0.382009284959129,0.129
FGF13,late_PP,-0.612539634701084,1.31174353976057e-05,-0.436,-0.657353228111669,-0.786157275817669,-1.92771980974985,0.101
ZNF662,late_PP,0.611756132094052,3.82346528885519e-23,0.757,4.79393117624012,4.97754346326347,6.05752625532735,0.145
RP11-385D13.1,late_PP,0.611519124460196,1.41719003294735e-21,0.75,4.83786371535121,5.01328284033513,6.10172963412549,0.139
CARD14,late_PP,0.611483200209877,1.06711310647018e-21,0.726,4.41998199219764,4.58707924560857,5.68455179262977,0.132
DMD,late_PP,-0.611378368776352,5.08221416809738e-18,-0.689,5.61679435729638,5.50328324069193,4.34742730140581,0.089
C17orf50,late_PP,-0.611034219994505,7.0952576618405e-06,-0.472,-1.38677941072984,-1.54676284440513,-2.65107521282224,0.127
SLC25A10,late_PP,0.610826775536497,2.07989532946578e-17,0.697,3.17440091971782,3.32747893831293,4.43890889671806,0.121
LRP2BP,late_PP,-0.610388345455627,8.64070353144981e-13,-0.62,2.20524396319068,2.04911020500851,0.941939970419568,0.124
AXL,late_PP,-0.610054021822687,9.2373396903312e-14,-0.68,5.1324506953887,4.95529746887494,3.87181449129484,0.141
SHROOM2,late_PP,0.609432723675308,1.42228661777693e-17,0.652,3.44520553587032,3.49704999399444,4.71627238117475,0.041
RP13-128O4.3,late_PP,0.609042673466718,2.84167385260585e-08,0.554,-1.78520781516225,-1.6327092771406,-0.524380818932642,0.121
ZNF284,late_PP,-0.609014695760826,9.98464817834163e-19,-0.687,2.99310845226645,2.94084592528067,1.72295593814796,0.041
GPR146,late_PP,-0.608532191913901,1.03891047759011e-13,-0.636,1.56306390513297,1.50946446313594,0.294046732651365,0.042
SPRY4,late_PP,0.608242458642872,2.14450600463995e-06,0.556,0.137374298761402,0.189914881087901,1.40588401029313,0.041
HIST1H2BH,late_PP,0.608153730779839,9.42090412856859e-13,0.603,4.22471010148071,4.37393468209485,5.48398249734855,0.119
FBN1,late_PP,-0.608138099868141,2.33504391845984e-07,-0.474,7.84613795009141,7.69059881230653,6.58748944807965,0.124
TCAF2P1,late_PP,0.608113009222828,1.2858732127041e-13,0.636,1.03502021564787,1.05625788909497,2.30618948674936,0.017
ZNF559,late_PP,-0.608089570101641,4.75886013697325e-16,-0.662,3.54060968464584,3.44590957001463,2.27636703786245,0.075
GOT2,late_PP,0.607610638998874,3.52583664340671e-23,0.737,5.38573878533229,5.52107533669563,6.64517435031394,0.107
RP11-424C20.2,late_PP,0.606969823171035,3.98778414988859e-14,0.634,1.36419451744072,1.42041159206713,2.62969562082407,0.044
RP11-875O11.1,late_PP,-0.606194415777963,3.32261413066002e-14,-0.647,1.54526005142808,1.42675942210477,0.287213341112532,0.094
CTSF,late_PP,-0.606160367262771,2.13152337824778e-21,-0.736,4.89413194249787,4.72709986396597,3.64070002976243,0.133
ZNF607,late_PP,-0.6059879534214,1.19610898450432e-16,-0.683,3.60204157342994,3.49482091516616,2.34337108624991,0.085
TIMELESS,late_PP,0.605907330007579,2.38550230450092e-19,0.716,3.42567239661147,3.5440926391638,4.68312558423166,0.094
KCNJ12,late_PP,-0.605499913889388,1.62797520437353e-12,-0.623,3.6526382686685,3.52160595010967,2.39721879777626,0.104
CTB-92J24.3,late_PP,-0.605166036241023,7.73777361186557e-11,-0.605,0.84729168894668,0.668734864824208,-0.402979526140084,0.143
ZNF652,late_PP,-0.605021681222351,2.83368965601058e-16,-0.669,6.86854042589853,6.78976898140499,5.60922953088906,0.063
CDCA5,late_PP,0.604719176757552,1.14111352081869e-14,0.646,2.05462015874133,2.09229383348274,3.31714529642576,0.03
HIST1H2BM,late_PP,0.604638669701547,3.83950436422704e-10,0.641,2.58824541900347,2.73854680177162,3.84005780260629,0.12
OSER1-AS1,late_PP,-0.603917926283278,1.02517814845817e-17,-0.714,1.92850483954648,1.76455890243163,0.679478821558471,0.131
CPEB1,late_PP,-0.603563278793088,2.84385081556814e-11,-0.611,1.14230870749209,1.02046987251866,-0.109916879161811,0.097
WNT3A,late_PP,-0.603400965538665,4.68945829423624e-13,-0.622,1.6662791924088,1.60731639803567,0.408506974849263,0.047
ATG9B,late_PP,0.603026627946557,2.60176245016928e-11,0.606,3.28568635430726,3.4467893222718,4.53311249098925,0.129
H2AFX,late_PP,0.602998965852372,1.10363642883094e-16,0.705,3.49095704184391,3.64130846487004,4.73933182395195,0.12
LINC00365,late_PP,-0.60288515428839,2.25697373150213e-06,-0.429,-1.27068831300899,-1.42224526260645,-2.51871195558943,0.121
USP54,late_PP,-0.602533822750976,3.45811670469955e-23,-0.744,6.00735349519929,5.85054742301894,4.76055683005307,0.126
