gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
ATP13A5,2,-1.827,0.096,-19.07,4.56589455828144e-81,1.2877472977688e-78,0,0,0.52,down
ADGRF2,3,-1.288,0.068,-19.06,5.01362000509072e-81,1.39718846070439e-78,0,0,1.06,down
MEFV,2,2.321,0.122,19.02,1.11289397812442e-80,3.06491001575465e-78,0,0,0.47,up
TNIP3,2,7.022,0.37,18.96,3.71937196832033e-80,1.01240440007454e-77,0,0,0.55,up
DGAT2,3,-1.126,0.06,-18.89,1.4426232177604e-79,3.88165136833945e-77,0,0,0.14,down
CD83,3,1.385,0.073,18.86,2.6595514683677e-79,7.07470912761585e-77,9.6,0.0023,2.21,up
GREM2,2,-2.004,0.106,-18.83,4.42598619667491e-79,1.16413383008947e-76,0,0,0.72,down
CXCL13,2,5.544,0.296,18.76,1.64827647205934e-78,4.28716710382635e-76,0,0,0.2,up
IFIH1,3,1.522,0.081,18.72,3.41772205420935e-78,8.79180830406447e-76,12.6,0.0031,2.29,up
ILDR1,2,-1.32,0.071,-18.72,3.65381278466424e-78,9.29696776915275e-76,0,0,0.36,down
TGM3,3,2.454,0.132,18.6,3.07858777890918e-77,7.74910336736399e-75,39.3,0.0198,3.3,up
PBXIP1,3,-0.634,0.034,-18.57,5.89671755643959e-77,1.46847086466696e-74,0,0,1.14,down
WFIKKN2,2,-3.06,0.165,-18.53,1.2785455448153e-76,3.15047080616646e-74,0,0,0,down
STAT2,3,0.878,0.047,18.5,1.93797958989681e-76,4.725642106239e-74,0,0,1.1,up
BIRC3,3,1.379,0.075,18.45,4.76018956118716e-76,1.1487760560601e-73,0,0,0.98,up
MMP12,2,5.339,0.29,18.43,6.9185337203641e-76,1.65261179448983e-73,0,0,0.58,up
DBX2,2,-3.508,0.19,-18.43,8.254960460162e-76,1.95192292335285e-73,0,0,0.34,down
FAAH2,3,0.814,0.044,18.42,9.86263555726096e-76,2.30874435759922e-73,0,0,1.58,up
SLC26A5,2,-2.52,0.138,-18.19,5.72662735138251e-74,1.32727346206449e-71,0,0,0.42,down
KANK1,3,-0.537,0.03,-18.05,8.35640500125479e-73,1.91779494778797e-70,0,0,0.52,down
RP11-680F20.6,2,-2.108,0.117,-18,2.10670801287729e-72,4.78795416247033e-70,0,0,0.34,down
MTHFR,3,0.627,0.035,17.98,2.72653695887024e-72,6.13706766059552e-70,0,0,1.53,up
LINC00327,2,-1.252,0.07,-17.94,5.30007927616467e-72,1.1816148169118e-69,0,0,0.01,down
SRSF2,3,0.514,0.029,17.8,6.49753805012778e-71,1.43491385108907e-68,0,0,1.98,up
TINCR,3,-0.842,0.047,-17.75,1.6039345333708e-70,3.50901901791374e-68,0,0,1.39,down
ADCYAP1R1,2,-1.543,0.088,-17.52,9.35303318000923e-69,2.027269941767e-66,0,0,0.02,down
UPK1B,3,-3.012,0.172,-17.52,1.06811630764321e-68,2.29390226106605e-66,0,0,0.99,down
PARP14,3,1.646,0.094,17.48,2.07828050189514e-68,4.42276984262394e-66,33.7,0.0092,3.02,up
CROT,3,0.772,0.044,17.39,1.06391496451167e-67,2.2437103967796e-65,0,0,0.76,up
IL19,2,8.112,0.467,17.38,1.13776572104867e-67,2.3780319432168e-65,0,0,0.05,up
GDPD3,3,2.442,0.141,17.38,1.20667279098128e-67,2.4997348109806e-65,44.8,0.0252,3.63,up
RP11-679B19.1,2,-1.885,0.109,-17.32,3.27555554624703e-67,6.72609471772779e-65,0,0,0.48,down
KLRF2,2,-2.739,0.158,-17.31,4.02041458288639e-67,8.1838160844163e-65,0,0,0.13,down
LINC01254,2,-2.35,0.136,-17.29,5.29522887119363e-67,1.06858631591182e-64,38.7,0.0153,1.63,down
RHOC,3,-0.725,0.042,-17.29,6.08193639923767e-67,1.21685512110901e-64,0,0,1.23,down
ELMOD1,3,-1.518,0.088,-17.27,8.48828884697117e-67,1.68391825100634e-64,0,0,0.46,down
PCDHB9,2,-1.209,0.07,-17.24,1.25277461936605e-66,2.46438664409578e-64,1.4,2e-04,1.01,down
RP11-392E22.10,2,-2.921,0.17,-17.16,4.95561390885373e-66,9.66716383269642e-64,0,0,0.89,down
DIRAS2,2,-2.94,0.171,-17.15,5.93845153519497e-66,1.14886952055685e-63,2.2,0.0021,1.02,down
FOXC1,3,-1.399,0.082,-17.12,1.12554462489218e-65,2.15966181345091e-63,0,0,0.84,down
GK-AS1,2,1.567,0.092,17.06,2.73239078467661e-65,5.20020616898331e-63,0,0,0.05,up
