gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
SPTAN1,3,-0.758,0.218,-3.48,0.000498260534113769,0.00166245451012959,95.9,0.1291,49.23,down
RP11-216L13.18,3,0.293,0.084,3.48,0.0004993149862737,0.00166573528768434,78.5,0.0145,9.31,up
RP11-630A13.4,2,-0.295,0.085,-3.48,0.000499418949092118,0.00166584471064369,0,0,0.9,down
BRICD5,3,0.243,0.07,3.48,0.000499842107200767,0.00166701864759407,0,0,0.32,up
GON7,3,0.328,0.094,3.48,0.000500603105725478,0.00166931881793842,76.3,0.0195,8.45,up
KCTD13,3,-0.169,0.049,-3.48,0.000502180978305129,0.00167434190587449,0,0,0.53,down
FADD,3,0.229,0.066,3.48,0.000502426350745208,0.00167492145323193,57,0.0069,4.65,up
TRABD,3,0.601,0.173,3.48,0.000504114145764077,0.00168030870542379,85.1,0.0702,13.44,up
LRMP,2,-0.728,0.209,-3.48,0.000506471403077836,0.00168792555162999,72.9,0.0665,3.68,down
LGALS7,3,0.264,0.076,3.48,0.000507152967431701,0.00168995641489091,0,0,1.62,up
ZBTB45P1,3,0.261,0.075,3.48,0.000507515626545283,0.00169092418186714,0,0,0.61,up
AC099668.5,3,-0.447,0.129,-3.48,0.00050766484862928,0.00169112644734215,0,0,0.53,down
ARHGEF6,3,-0.456,0.131,-3.48,0.00050772081985222,0.00169112644734215,68.9,0.0285,6.43,down
ZNF717,3,-0.958,0.276,-3.48,0.000508317250839771,0.00169287217597214,93.8,0.2071,32.51,down
CAST,3,-0.191,0.055,-3.48,0.000508598397489822,0.00169348365606551,57.5,0.0047,4.71,down
RIMS3,3,0.879,0.253,3.48,0.000508706162460952,0.00169348365606551,90.5,0.134,20.97,up
CC2D1A,3,0.302,0.087,3.48,0.000508717889249975,0.00169348365606551,64.1,0.0133,5.58,up
AF131215.8,2,0.55,0.158,3.48,0.000508967363296875,0.00169407322727379,22.2,0.0135,1.29,up
CNNM2,3,0.236,0.068,3.48,0.000509217899537367,0.00169466616580469,78.8,0.0089,9.45,up
TNFRSF10A,3,0.687,0.198,3.48,0.000509661992156801,0.00169590299565011,88.8,0.0851,17.9,up
RP1-50O24.6,3,-0.268,0.077,-3.47,0.000512297798895196,0.00170443137781945,0,0,0.46,down
C1QC,2,0.69,0.199,3.47,0.000513188252111113,0.00170715131358094,72.5,0.0583,3.63,up
FTLP3,3,-0.197,0.057,-3.47,0.000513872263538703,0.00170918383307438,0,0,1.02,down
MEIS1,3,-0.581,0.167,-3.47,0.000513960416734861,0.00170923418033049,88.6,0.0656,17.52,down
ADGRG2,3,-1.269,0.365,-3.47,0.000514287179828997,0.00171007792508764,84.3,0.3139,12.71,down
SDPR,3,-0.774,0.223,-3.47,0.000514519123753047,0.0017106061877482,82,0.1023,11.1,down
PDP1,3,0.234,0.067,3.47,0.000514969323593937,0.00171179609111426,41.6,0.0056,3.43,up
E2F2,3,0.893,0.257,3.47,0.000515023276078335,0.00171179609111426,93.2,0.1443,29.58,up
FAM92A1P1,3,-0.424,0.122,-3.47,0.000515765445875464,0.00171401949496007,27,0.0154,2.74,down
RAD9A,3,0.363,0.104,3.47,0.000515944525442323,0.0017143712414591,81.2,0.0259,10.64,up
RP11-111H13.1,3,0.282,0.081,3.47,0.000516239802607437,0.00171510893261957,76.7,0.0138,8.58,up
KEAP1,3,0.229,0.066,3.47,0.000517632472498504,0.00171949177646055,57,0.0071,4.65,up
NDRG4,3,1.278,0.368,3.47,0.000518740693672291,0.00172292861778869,93.5,0.3053,30.84,up
RAG2,3,-0.292,0.084,-3.47,0.000520909071227676,0.00172988515369111,0,0,0.05,down
NOL10,3,0.374,0.108,3.47,0.000521164718907079,0.00173048863899231,88.5,0.0277,17.43,up
KRT18P4,3,-0.885,0.255,-3.47,0.000521400351637982,0.00173102550439562,47.8,0.0922,3.83,down
SNTB1,3,-2.368,0.683,-3.47,0.000522355017768492,0.00173394903728625,96.3,1.1114,53.61,down
CTB-50L17.5,3,0.226,0.065,3.47,0.00052279046895335,0.0017351484599077,0,0,0.28,up
DDIT3,3,-0.356,0.103,-3.47,0.000524091222557007,0.0017392190854603,77.7,0.021,8.97,down
MRPL15,3,0.463,0.133,3.47,0.000524188834616044,0.0017392964464248,89.6,0.0461,19.21,up
SNORA40,3,0.896,0.258,3.47,0.00052469284129977,0.00174072204109783,85.7,0.1614,13.94,up
RP11-362K14.6,3,-0.486,0.14,-3.47,0.000524832442482742,0.00174093845062754,46.2,0.0268,3.72,down
UBE2I,3,0.103,0.03,3.47,0.000524927232803475,0.00174100617635258,31.4,9e-04,2.91,up
SH3GLB1,3,-0.238,0.069,-3.47,0.000525136975672867,0.00174145508762235,68.3,0.0086,6.3,down
WNT6,2,-1.575,0.454,-3.47,0.000525237755562168,0.00174154258073014,88.6,0.3672,8.76,down
LACE1,3,0.342,0.099,3.47,0.000525645856921133,0.00174264889741776,71.4,0.019,6.98,up
IGBP1P1,3,-0.38,0.109,-3.47,0.000526199266138507,0.00174423656485929,39.9,0.0161,3.33,down
C6orf201,3,-0.411,0.119,-3.47,0.00052731355224605,0.00174768270487439,79.9,0.0284,9.93,down
CTB-31O20.2,3,-0.395,0.114,-3.47,0.000527592053855372,0.00174835820904592,48.8,0.0181,3.91,down
ANGPTL7,2,-1.32,0.381,-3.47,0.000527853443261056,0.00174897682283058,64.9,0.1997,2.85,down
WDR48,3,-0.156,0.045,-3.47,0.000528677025257959,0.00175145775322156,51.1,0.0029,4.09,down
TXLNA,3,0.071,0.021,3.47,0.00052926128199817,0.00175314523139878,0,0,1.52,up
HSPA8P1,3,0.698,0.202,3.47,0.00052953710193049,0.0017538106987961,79.9,0.09,9.97,up
CCL4,2,3.466,1,3.46,0.000530395942501911,0.00175640665129824,94.8,1.899,19.08,up
CAMKK2,3,-0.232,0.067,-3.46,0.000532099538022323,0.0017616590596223,78.9,0.0095,9.46,down
VPS41,3,-0.302,0.087,-3.46,0.000532132564850668,0.0017616590596223,86.9,0.0184,15.28,down
ZNF836,3,-0.492,0.142,-3.46,0.000532482882207276,0.00176256954038322,86,0.0435,14.26,down
TAL1,2,-0.477,0.138,-3.46,0.000533987808865348,0.00176730109115353,55,0.0234,2.22,down
GPM6A,2,-1.975,0.57,-3.46,0.000535325606307877,0.00177147824682797,90.1,0.5899,10.12,down
AES,3,-0.353,0.102,-3.46,0.000535539243195127,0.0017719347199936,87,0.0251,15.33,down
SLC7A6,3,-0.359,0.104,-3.46,0.000537519978137127,0.00177823702207632,80,0.0203,10,down
VPS9D1,3,0.625,0.181,3.46,0.000537831667996939,0.00177901674666389,86.3,0.0795,14.65,up
TMEM43,3,-0.687,0.199,-3.46,0.00053799086968914,0.00177929192830645,96.6,0.1124,59.41,down
NOS1,3,-0.739,0.214,-3.46,0.0005381031715744,0.00177941194284293,65.8,0.0813,5.85,down
RTCA,3,0.282,0.081,3.46,0.00053832798921679,0.00177990394061806,78.9,0.0133,9.48,up
TMEM39B,3,0.233,0.067,3.46,0.000539725829528516,0.0017842736821682,50.8,0.0068,4.06,up
CACNA2D4,2,-0.184,0.053,-3.46,0.000540296573931135,0.00178590828849957,0,0,0.09,down
AC005614.5,3,0.484,0.14,3.46,0.000541142216117128,0.00178840187025322,83.4,0.0451,12.07,up
TBC1D23,3,0.227,0.066,3.46,0.000541203761325722,0.00178840187025322,50.7,0.0061,4.06,up
MECP2,3,-0.415,0.12,-3.46,0.000541336599642579,0.00178858835018111,89.6,0.037,19.22,down
F11R,3,0.196,0.057,3.46,0.000541657037462277,0.00178939452299668,67.8,0.0057,6.21,up
RP11-23J9.4,3,-0.82,0.237,-3.46,0.000542584760539686,0.0017922063862669,79.3,0.1127,9.65,down
CTD-3222D19.9,2,-0.753,0.218,-3.46,0.000543776558326478,0.00179588959563551,55.4,0.0537,2.24,down
RP11-996F15.6,3,-0.274,0.079,-3.46,0.000544006406822674,0.00179639525706192,0,0,0.08,down
ABCC4,3,-0.278,0.081,-3.46,0.000544182976375236,0.00179672486515767,51.5,0.0092,4.12,down
NPM1P24,3,0.554,0.16,3.46,0.000545199255828342,0.00179982645320627,65.8,0.0479,5.84,up
RNF122,3,0.2,0.058,3.46,0.000545298467601429,0.0017999001449636,4.4,6e-04,2.09,up
EEF1A1P24,3,-0.402,0.116,-3.46,0.000546007563189066,0.00180198661309641,39.9,0.0163,3.33,down
AHDC1,3,-0.61,0.177,-3.46,0.000546112784166283,0.00180207980892987,82.6,0.0728,11.48,down
AC079630.4,2,-0.393,0.114,-3.46,0.000546776048166035,0.00180401416652836,0,0,0.28,down
HCAR2,3,0.695,0.201,3.46,0.000547123628488229,0.0018049065697972,90.2,0.0801,20.42,up
FTOP1,2,-1.237,0.358,-3.46,0.000548084867726969,0.00180782283621539,88.6,0.2275,8.79,down
HDAC11,3,-0.417,0.121,-3.46,0.00054901221281676,0.00181062649898951,77.8,0.0305,9.01,down
RASSF9,3,-0.873,0.253,-3.46,0.000549930420229516,0.00181317226367147,92.5,0.1733,26.5,down
SH3BP2,3,-0.479,0.139,-3.46,0.000549939043618585,0.00181317226367147,75.5,0.0352,8.17,down
FAT1,3,0.626,0.181,3.45,0.000552138526222589,0.00182016768910641,86.5,0.0666,14.8,up
RP11-791G15.2,3,0.713,0.206,3.45,0.000554108136250245,0.00182640345838947,76.5,0.084,8.5,up
TMEM63C,3,-0.936,0.271,-3.45,0.000554627511464079,0.00182785800589366,89.5,0.1817,19.12,down
LMO7-AS1,3,0.602,0.174,3.45,0.000554984011029911,0.00182877543837263,89.1,0.0747,18.4,up
DCHS1,3,-1.018,0.295,-3.45,0.000555856023468879,0.00183139108421998,84.4,0.1673,12.81,down
NREP,3,0.175,0.051,3.45,0.000556122285570281,0.00183188191866328,0,0,1.58,up
LRRC57,3,-0.167,0.048,-3.45,0.000556161510356698,0.00183188191866328,61.1,0.0038,5.15,down
RPL31,3,-0.208,0.06,-3.45,0.000557121402457256,0.00183476755673225,46.5,0.0049,3.74,down
RP11-9L18.2,3,0.353,0.102,3.45,0.000557194350925266,0.00183476755673225,74.6,0.0218,7.88,up
ITGA6,3,0.326,0.095,3.45,0.000557621562679961,0.00183591605636782,59.1,0.0137,4.89,up
FAM160B2,3,0.183,0.053,3.45,0.000557951393463151,0.00183674366046673,28.3,0.0025,2.79,up
USP12PX,3,-0.441,0.128,-3.45,0.00055810505001897,0.00183699115802785,65,0.0301,5.72,down
P2RX6,3,-0.668,0.194,-3.45,0.000558471690368906,0.00183793951916853,53.9,0.0611,4.34,down
NTNG2,2,-1.183,0.343,-3.45,0.00055885947491275,0.00183895718979935,79,0.1912,4.76,down
MRPL30,3,0.196,0.057,3.45,0.000559445314319016,0.00184062619295767,57.4,0.0052,4.69,up
YWHAE,3,0.278,0.08,3.45,0.000559895908996815,0.00184184925783746,83.6,0.0148,12.21,up
MPZ,3,-1.348,0.391,-3.45,0.000559974418729086,0.00184184925783746,72.5,0.2828,7.28,down
DUSP14,3,0.733,0.212,3.45,0.000560435726196095,0.00184310760249008,91.3,0.1158,22.92,up
RP11-204M4.4,3,-0.319,0.092,-3.45,0.000562268850973441,0.00184887646192405,0,0,1.37,down
TNFRSF10B,3,0.691,0.2,3.45,0.000563300317372851,0.00185183815126718,90.1,0.0829,20.14,up
RBM8A,3,0.126,0.037,3.45,0.000563327757493853,0.00185183815126718,50,0.002,4,up
ILK,3,-0.291,0.084,-3.45,0.000563688746921263,0.00185276465552932,78.4,0.0152,9.25,down
COASY,3,0.367,0.106,3.45,0.00056389987847705,0.00185319840731002,84.2,0.027,12.67,up
RP11-250B2.6,3,-0.483,0.14,-3.45,0.000566916802063061,0.00186285168718335,19.9,0.0152,2.5,down
RPS23,3,-0.115,0.034,-3.45,0.000567426592298832,0.00186426513671907,0,0,0.19,down
RP4-635E18.6,3,0.218,0.063,3.45,0.000568990028305378,0.00186913942921704,0,0,1.07,up
RP11-274B21.14,3,-0.254,0.074,-3.45,0.000569399494670009,0.00187022208092188,0,0,1.64,down
PSORS1C2,3,0.68,0.197,3.45,0.000569787410249393,0.00187107996948115,70.7,0.0652,6.84,up
AC006262.6,3,-0.858,0.249,-3.45,0.000569820543484604,0.00187107996948115,78.4,0.1381,9.25,down
C18orf8,3,0.181,0.053,3.45,0.00057104860971281,0.00187484949575977,66.2,0.0047,5.92,up
ZC3H12D,2,0.839,0.244,3.44,0.000571968769886208,0.00187760719874719,90.1,0.107,10.08,up
TMEM178B,3,-1.205,0.35,-3.44,0.000572687645985423,0.00187970346394739,77.5,0.235,8.89,down
CTA-228A9.3,2,-0.506,0.147,-3.44,0.000572790876926652,0.0018797787239557,0,0,0.44,down
TSPAN2,3,-0.853,0.248,-3.44,0.000573153948383932,0.00188070658504618,75.5,0.1111,8.17,down
TM2D3,3,-0.275,0.08,-3.44,0.000573512557391868,0.00188161954533794,82.3,0.0145,11.27,down
KLHL9,3,-0.266,0.077,-3.44,0.000576439868819859,0.00189095864478757,71.1,0.0119,6.92,down
RP11-25K21.6,2,0.311,0.09,3.44,0.000576616336299961,0.00189127249775056,0,0,0.05,up
ASPN,2,-0.761,0.221,-3.44,0.000576755770155577,0.0018914648113718,77.5,0.0768,4.45,down
YTHDF1,3,0.179,0.052,3.44,0.000577118621321594,0.00189215444452117,73.8,0.0054,7.64,up
ARHGAP11A,3,0.823,0.239,3.44,0.000577127717283145,0.00189215444452117,92,0.1296,25.09,up
MBP,3,-0.26,0.076,-3.44,0.000577566592232268,0.00189332815537952,77.9,0.0117,9.06,down
ADRA2C,2,-1.131,0.329,-3.44,0.00057811660143149,0.00189470888338509,78,0.1733,4.54,down
PARPBP,3,0.885,0.257,3.44,0.000578149666966537,0.00189470888338509,91.2,0.1593,22.71,up
CTD-2666L21.3,3,0.272,0.079,3.44,0.000580409666121509,0.00190184908653953,0,0,0.12,up
CLDN17,3,4.039,1.174,3.44,0.000582389679178392,0.00190798012517595,80.8,3.0886,10.44,up
FAM134B,3,-1.351,0.393,-3.44,0.000582443759857632,0.00190798012517595,94.8,0.3963,38.8,down
MROH7-TTC4,3,0.09,0.026,3.44,0.000582964449495657,0.0019092514969768,0,0,0.85,up
TMPRSS2,2,-1.971,0.573,-3.44,0.00058299498912342,0.0019092514969768,74.8,0.5145,3.97,down
RP11-96D1.7,3,-0.17,0.049,-3.44,0.000583595276398425,0.0019109500384964,0,0,0.27,down
ZNF585B,3,-0.962,0.28,-3.44,0.000586271326039673,0.00191944412185493,94.9,0.2143,39.05,down
CES2,3,0.221,0.064,3.44,0.000586432274615054,0.00191970257536901,66.1,0.0067,5.9,up
NBN,3,0.136,0.04,3.44,0.000586895914110756,0.00192095168532141,3.8,2e-04,2.08,up
AC000041.8,3,0.558,0.162,3.44,0.000586986095484364,0.00192097625967832,74.8,0.0547,7.95,up
RP11-589M4.1,3,0.448,0.13,3.44,0.000587067545035616,0.00192097625967832,81.9,0.0349,11.07,up
ARPC5L,3,0.554,0.161,3.44,0.000587188009458396,0.00192110190264313,93.6,0.0681,31.05,up
NFASC,3,0.417,0.121,3.44,0.000587727066659875,0.00192259682831764,68.9,0.0246,6.44,up
LINC01671,2,1.479,0.43,3.44,0.000589068272578831,0.00192671499130891,78.3,0.2969,4.61,up
SASS6,3,0.542,0.158,3.44,0.000590368245531982,0.00193069715837639,80.5,0.0516,10.24,up
H1FX,3,-0.215,0.063,-3.44,0.000590606769570108,0.0019312074128882,1.1,2e-04,2.02,down
ZNF649-AS1,3,-0.483,0.141,-3.44,0.000590773503571801,0.00193148281356317,75.6,0.0402,8.19,down
CREBRF,3,-0.741,0.216,-3.44,0.000591077660879066,0.00193220736817736,89.1,0.097,18.36,down
RP11-240G22.5,3,-0.293,0.085,-3.44,0.000591290587427208,0.0019326335326841,0,0,1.4,down
FAF1,3,-0.096,0.028,-3.44,0.000591923846445714,0.0019344332432567,21.3,5e-04,2.54,down
CANT1,3,0.128,0.037,3.44,0.000592291722825945,0.0019353652902893,14.1,7e-04,2.33,up
EIF4A1,3,0.674,0.196,3.44,0.000592474207621037,0.0019356913783951,95.9,0.1085,48.62,up
BNIP3P5,2,-0.799,0.233,-3.43,0.000594155851163526,0.00194091464134622,0,0,0.14,down
AIG1,3,0.241,0.07,3.43,0.000595612479955283,0.00194540149899166,73.7,0.0094,7.62,up
RP11-426A6.5,3,0.34,0.099,3.43,0.000596258374829835,0.0019472394386707,59.2,0.0158,4.9,up
RP1-118J21.5,3,-0.676,0.197,-3.43,0.000596693698053263,0.00194838928410222,78.1,0.0737,9.14,down
FHL2,3,-0.154,0.045,-3.43,0.000596831562263273,0.00194856764867796,0,0,1.48,down
DNASE1L3,3,2.1,0.612,3.43,0.00059741289066143,0.00195019360723657,96.4,0.8181,55.55,up
EEF1B2,3,0.219,0.064,3.43,0.000600451779358462,0.00195984044938681,59.5,0.007,4.94,up
EIF3EP1,3,-0.186,0.054,-3.43,0.000600694804776464,0.00196036033528681,45.7,0.004,3.69,down
RPS3AP47,3,-0.319,0.093,-3.43,0.000601673093157339,0.00196327926369113,52.8,0.0137,4.24,down
CDH12P1,2,-0.851,0.248,-3.43,0.000602502454081231,0.0019656596339498,73.1,0.0907,3.71,down
TTC13,3,0.477,0.139,3.43,0.00060257052984851,0.0019656596339498,91.1,0.0503,22.56,up
TCTN2,3,-0.479,0.14,-3.43,0.00060290339604248,0.00196647145018231,85.6,0.0447,13.85,down
MTERF4,3,-0.095,0.028,-3.43,0.000604267508823454,0.00197064615687493,0,0,0.87,down
IL17RD,3,-0.572,0.167,-3.43,0.000604844552072564,0.00197225325525375,86.5,0.0647,14.79,down
TBC1D3F,2,0.528,0.154,3.43,0.000604948566303471,0.00197231768643426,0,0,0.89,up
GADD45A,3,0.34,0.099,3.43,0.000605389897663663,0.00197348170371935,67.1,0.0165,6.08,up
METRNL,3,0.176,0.051,3.43,0.000605813784072311,0.00197458853680712,0,0,0.99,up
FBXW10,3,1.386,0.404,3.43,0.000606096675047657,0.0019752355653892,87.8,0.4208,16.34,up
SLX1B-SULT1A4,3,0.355,0.103,3.43,0.000606584969816415,0.00197655172027178,68.8,0.021,6.4,up
LHX4,3,-0.558,0.163,-3.43,0.000608061633790667,0.00198108765280525,59.2,0.0433,4.9,down
CTD-2547G23.4,3,-0.299,0.087,-3.43,0.000609295558483498,0.00198476619271694,0,0,1.62,down
DMXL2,3,0.357,0.104,3.43,0.000609360272846198,0.00198476619271694,58.4,0.0174,4.81,up
RAB4B,3,0.153,0.045,3.43,0.000609692591010715,0.0019855723237298,0,0,1.76,up
ORAOV1,3,-0.731,0.213,-3.43,0.000609924589220766,0.0019860515661523,96.5,0.1286,56.56,down
ZNF618,3,-0.391,0.114,-3.43,0.000610293572042039,0.00198697666591545,60.4,0.0213,5.06,down
RHCG,3,4.42,1.29,3.43,0.00061243526073681,0.00199367223176025,92.5,4.3112,26.78,up
IQCH-AS1,3,-0.157,0.046,-3.43,0.000612556868864639,0.00199368427864504,8,8e-04,2.17,down
TIMM23,3,0.386,0.113,3.43,0.000612609296266127,0.00199368427864504,87.2,0.0301,15.68,up
RP11-304F15.5,3,0.576,0.168,3.43,0.000614069022287962,0.00199815703958005,73,0.0565,7.41,up
TRIM27,3,0.299,0.087,3.43,0.000614491667889266,0.00199925440634049,70.6,0.0142,6.8,up
FAM173B,3,0.157,0.046,3.43,0.000614782093890926,0.00199976219565642,0,0,0.24,up
PDE4A,3,-0.475,0.139,-3.42,0.000614818596357778,0.00199976219565642,61.4,0.0303,5.18,down
KRT18P7,2,-0.64,0.187,-3.42,0.000615940732179584,0.00200313373153541,0,0,0.21,down
GSTZ1,3,0.139,0.041,3.42,0.000616170918660249,0.00200360397762436,0,0,0.62,up
TTC23,3,-0.3,0.088,-3.42,0.000617679720445192,0.00200809845820631,82.1,0.0173,11.17,down
ZFP64,3,-0.349,0.102,-3.42,0.000617724678437508,0.00200809845820631,82.3,0.0219,11.28,down
ARAF,3,0.114,0.033,3.42,0.000618264997799873,0.00200957585858056,0,0,1.79,up
AQP7,2,-2.351,0.687,-3.42,0.000618744153242077,0.00201083530582271,82.6,0.7958,5.75,down
CTC-429P9.3,3,-0.553,0.162,-3.42,0.000618824278830656,0.00201083530582271,82,0.0577,11.14,down
TCFL5,3,-0.226,0.066,-3.42,0.000619753102349188,0.00201357395876365,73.7,0.0089,7.59,down
P2RX7,3,-0.609,0.178,-3.42,0.000620231955445898,0.00201485010339065,88.4,0.0671,17.27,down
RNFT2,3,-0.269,0.079,-3.42,0.00062069821053989,0.00201608497440381,0,0,0.94,down
ZEB2-AS1,3,-0.749,0.219,-3.42,0.000621973482793047,0.00201994690048591,66.1,0.0782,5.9,down
ZNF181,3,-0.404,0.118,-3.42,0.000623004369554012,0.00202301418877651,80.5,0.0298,10.26,down
MNDA,2,0.472,0.138,3.42,0.000623729922561682,0.00202508928671934,66,0.026,2.94,up
KIAA0040,3,-0.547,0.16,-3.42,0.000624368125416855,0.00202688024516477,86.8,0.0527,15.19,down
SHKBP1,3,0.295,0.086,3.42,0.000625501330112476,0.0020302774038551,66.3,0.014,5.93,up
CTF1,2,-0.579,0.169,-3.42,0.000625703115818893,0.00203065080246838,34,0.0298,1.52,down
RP11-15B17.1,3,0.685,0.2,3.42,0.000626410948868521,0.00203266619102623,86.4,0.0865,14.74,up
TCEAL4,3,-0.471,0.138,-3.42,0.000626552538224115,0.00203284384855001,90,0.0503,20.03,down
SAMD15,3,1.068,0.312,3.42,0.000627751538069471,0.00203645173983762,90,0.2393,19.94,up
SERP2,3,-0.923,0.27,-3.42,0.0006280057680347,0.00203699418372236,81.7,0.1734,10.95,down
RPL12P4,3,-0.143,0.042,-3.42,0.000629726304920618,0.00204229191907547,0,0,0.1,down
CTA-384D8.35,3,3.281,0.961,3.42,0.000635992046243676,0.00206232688883754,87.6,2.2682,16.12,up
CTD-2619J13.19,3,-0.349,0.102,-3.42,0.00063620941796554,0.00206274602010462,0,0,1.1,down
ABCB5,2,-1.774,0.52,-3.41,0.000639753591477262,0.00207393296590519,75.5,0.4201,4.09,down
LSM4,3,0.352,0.103,3.41,0.000639836980638528,0.00207393296590519,77.5,0.0205,8.9,up
ATG4D,3,0.202,0.059,3.41,0.000641789948766357,0.00207997520568623,29.2,0.0032,2.82,up
WNT2,2,-4.903,1.437,-3.41,0.000642754980740168,0.00208281441641011,96.5,3.9871,28.78,down
TUBA1C,3,0.821,0.241,3.41,0.000643209581634916,0.00208399904449713,94.5,0.158,36.23,up
TNFRSF25,3,-0.332,0.097,-3.41,0.000643526835904446,0.0020845402696153,0,0,0.78,down
OLFML1,2,-1.432,0.42,-3.41,0.000643554723760509,0.0020845402696153,94.5,0.3331,18.24,down
FBXW11P1,2,0.311,0.091,3.41,0.000643924017534588,0.00208544788689363,0,0,0.3,up
RP1-20N18.10,3,1.68,0.492,3.41,0.000645597196201462,0.00209057750254254,83.7,0.4838,12.28,up
HEBP2,3,-0.136,0.04,-3.41,0.000646427583323178,0.00209297694301691,30.3,0.0015,2.87,down
KIF1BP,3,-0.143,0.042,-3.41,0.000647509072973277,0.00209618861695913,11.9,8e-04,2.27,down
UBR4,3,-0.358,0.105,-3.41,0.000648099926059136,0.0020978112789157,80.3,0.0225,10.17,down
MAP9,3,-0.282,0.083,-3.41,0.000648322498140926,0.00209824158149882,0,0,1.1,down
CACNA1I,2,0.545,0.16,3.41,0.000648428503597398,0.00209829455912517,0,0,0.35,up
IL22RA2,2,0.774,0.227,3.41,0.000649539184905522,0.00210158998162859,48.6,0.0547,1.95,up
WRAP53,3,0.444,0.13,3.41,0.000649626430307337,0.00210158998162859,81.6,0.034,10.86,up
SARS2,3,0.489,0.143,3.41,0.000649987639886408,0.00210246796491653,90.6,0.0546,21.21,up
GULP1,3,-0.198,0.058,-3.41,0.000650432669253119,0.00210361679394118,7.1,9e-04,2.15,down
WDR75,3,0.298,0.087,3.41,0.000650651418424673,0.00210403357561862,71.6,0.014,7.03,up
RIC8B,3,-0.225,0.066,-3.41,0.00065114507265903,0.00210533908920929,40.1,0.0052,3.34,down
RMDN3,3,-0.323,0.095,-3.41,0.000651304749630991,0.00210556454690124,85.2,0.0216,13.48,down
SUSD4,3,1.24,0.364,3.41,0.000652310398315588,0.00210852445652715,88.7,0.2894,17.77,up
ZNF862,3,-0.594,0.174,-3.41,0.000652648261117963,0.00210927743930336,89.3,0.0717,18.74,down
SPEG,3,-0.911,0.267,-3.41,0.000652723558046629,0.00210927743930336,81.1,0.162,10.58,down
SNORD35B,2,0.517,0.152,3.41,0.000653419389440772,0.00211123457383286,0,0,0.12,up
ATG12,3,-0.145,0.042,-3.41,0.000655427909721424,0.0021174319539979,35.5,0.0019,3.1,down
LYPLA1P3,3,0.376,0.11,3.41,0.000655913754879487,0.00211870913315495,77.3,0.0272,8.82,up
RP11-390P24.1,3,-0.506,0.148,-3.41,0.00065713935552904,0.00212208696751058,52.4,0.0343,4.2,down
RBMX,3,0.09,0.026,3.41,0.000657140776089717,0.00212208696751058,0,0,0.32,up
ADAMTSL5,3,-0.811,0.238,-3.41,0.000657691934481735,0.0021235738612804,76.5,0.1238,8.53,down
CD24,3,1.786,0.524,3.41,0.000657839280276764,0.00212375668349176,97.5,0.7728,78.83,up
CENPH,3,0.424,0.124,3.41,0.000659618461529021,0.00212920691753073,73.1,0.0295,7.43,up
TEF,3,-0.634,0.186,-3.41,0.000660159127416897,0.00213065835015885,72.7,0.0636,7.33,down
BCL2L12,3,0.594,0.174,3.4,0.000662108942939306,0.00213665677491952,87.6,0.0661,16.14,up
AC037445.1,2,-0.389,0.114,-3.4,0.000662939799254392,0.00213904310968244,0,0,0.02,down
DIRAS3,2,-1.256,0.369,-3.4,0.000664771659634436,0.00214465818362493,80.8,0.2256,5.21,down
LRRD1,3,0.385,0.113,3.4,0.000664976020419313,0.00214486029496426,56.3,0.0193,4.58,up
ADAM9,3,0.421,0.124,3.4,0.000665017558240445,0.00214486029496426,83.4,0.0309,12.06,up
AF001548.5,3,-1.195,0.351,-3.4,0.000668525458467038,0.00215587718105178,84.8,0.2495,13.19,down
RAB8A,3,0.277,0.081,3.4,0.000669411382666763,0.00215843678468957,87.2,0.0162,15.64,up
CTD-2510F5.4,3,1.038,0.305,3.4,0.000671047715888904,0.00216341495403434,73,0.1781,7.4,up
FYCO1,3,-0.339,0.1,-3.4,0.000671390731593997,0.00216406228195918,78.2,0.0191,9.17,down
FNDC1,2,-2.236,0.657,-3.4,0.000671433395440622,0.00216406228195918,90.6,0.7854,10.61,down
CTD-3222D19.2,3,0.202,0.059,3.4,0.000672964645166103,0.00216869897834434,45.6,0.0048,3.68,up
AF013593.1,3,-0.638,0.188,-3.4,0.000673338003273978,0.00216960348501591,64.1,0.0669,5.57,down
KCND2,2,-1.889,0.556,-3.4,0.00067490636146439,0.00217435769550233,82.6,0.5188,5.75,down
RP11-664I21.6,2,-0.347,0.102,-3.4,0.00067513836575351,0.00217480583513471,0,0,0.03,down
RPL26P30,3,0.614,0.181,3.4,0.00067675306325866,0.00217970727267776,83.8,0.0795,12.37,up
SNX1,3,-0.279,0.082,-3.4,0.000678137161232209,0.00218386474168177,89.2,0.0156,18.6,down
PRMT5-AS1,3,0.404,0.119,3.4,0.00068051597903097,0.00219122401005997,87.3,0.0309,15.69,up
RP11-593F23.1,2,-1.162,0.342,-3.4,0.000680657589659892,0.00219137856090612,80.4,0.1907,5.1,down
OXSR1,3,0.314,0.093,3.4,0.00068126825390815,0.00219304298071175,84,0.0171,12.5,up
MRPL46,3,0.44,0.13,3.4,0.000681677341751796,0.00219405814561636,89.9,0.0444,19.73,up
RP11-21J18.1,3,0.346,0.102,3.4,0.000683269482427724,0.00219888030164292,86,0.0258,14.29,up
SYT12,3,1.032,0.304,3.4,0.000683607702317767,0.00219911640369053,83.7,0.1788,12.28,up
