"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
7.75962111725434e-11,-0.191429499539484,0.723,0.778,1.87666436720796e-06,"SNHG8"
8.08343466323347e-11,-0.429503873539508,0.119,0.184,1.95497867330302e-06,"PXDC1"
8.18974412365255e-11,1.00501779307993,0.191,0.135,1.98068961630537e-06,"ICAM1"
8.23731257995026e-11,-0.639286078252105,0.089,0.148,1.99219404746097e-06,"ZEB2"
8.41450764830031e-11,-1.09636009507496,0.149,0.213,2.03504867474143e-06,"BGN"
8.41640361288243e-11,-0.220588471937025,0.259,0.337,2.03550721377562e-06,"RNMT"
8.9300717593645e-11,-0.559618404231177,0.176,0.243,2.1597378550023e-06,"HCAR2"
9.57599283317325e-11,0.781839283010643,0.226,0.166,2.31595386670295e-06,"GSDMD"
9.93270495068272e-11,0.911684479001833,0.1,0.059,2.40222469232262e-06,"DLL1"
9.99441759712072e-11,-0.544650424343427,0.197,0.267,2.41714989586365e-06,"SIGMAR1"
1.00789943799663e-10,-0.408658113543195,0.251,0.329,2.43760479079484e-06,"ADRB2"
1.00988558699283e-10,0.733024699511553,0.106,0.064,2.44240829214217e-06,"WDR54"
1.02292565114674e-10,-0.700410458578889,0.14,0.205,2.47394568729838e-06,"UAP1"
1.02998236109856e-10,0.708931884435709,0.166,0.112,2.49101234031686e-06,"MYO1E"
1.05864042710857e-10,-0.440735001765801,0.17,0.238,2.56032187296207e-06,"IRX3"
1.10018403967711e-10,-0.613125056930895,0.197,0.268,2.66079509995908e-06,"SOCS1"
1.10277248370584e-10,-0.362657294963175,0.167,0.242,2.66705525184256e-06,"GSS"
1.15252982129083e-10,0.866508428069249,0.121,0.075,2.78739337279188e-06,"NUAK2"
1.17359975363273e-10,-0.282150025854261,0.222,0.295,2.83835100416076e-06,"RPF2"
1.18851487844258e-10,-0.264045544097091,0.505,0.566,2.87442323351337e-06,"MORF4L2"
1.18936893070621e-10,-0.301973433678419,0.39,0.462,2.87648875891298e-06,"SPAG9"
1.19371862258122e-10,-0.343057021812218,0.196,0.269,2.88700848871269e-06,"EPHB3"
1.31783522842638e-10,-0.619739249853654,0.172,0.24,3.18718449994921e-06,"BCL9L"
1.39648525984406e-10,-0.185997337263778,0.306,0.382,3.37739960093286e-06,"ADK"
1.40535339938814e-10,1.88734775636123,0.153,0.103,3.39884719642021e-06,"KLK5"
1.47064812722259e-10,-0.304697325273543,0.242,0.318,3.55676249568783e-06,"POU3F1"
1.48920279666979e-10,-0.339155786071787,0.081,0.139,3.60163696374589e-06,"ECHDC3"
1.50214023636161e-10,-0.264367462685594,0.457,0.526,3.63292616164056e-06,"NME1"
1.63217845192159e-10,-0.621198175980921,0.119,0.18,3.94742358597238e-06,"ZC3H12C"
1.65898306757681e-10,-0.19874929762761,0.369,0.451,4.01225054893452e-06,"FBXW7"
1.79289357469083e-10,-1.27727060482906,0.052,0.1,4.33611311038976e-06,"PLEKHH2"
1.79802977508654e-10,-0.108090841556936,0.981,0.988,4.3485350110468e-06,"RPS15"
1.87377956742753e-10,0.500796597639382,0.274,0.21,4.53173588382349e-06,"SNAP23"
1.92278484681544e-10,-0.405425664470274,0.176,0.244,4.65025515202314e-06,"YRDC"
