"DC","Endothelial","Fibroblast","Keratinocyte","Mast","Melanocyte","Muscle","NK","tier","sample","tord"
0,0,0.0287928757701142,0.891324673438891,0.0034134858321717,0.0764689649588225,0,0,"PP","SRR8052817",2
0.00327221078228607,0,0.0712496267262433,0.831978494361024,0.00326572700140021,0.0902339411290468,0,0,"PN","SRR8052818",1
0.00387029631201299,0.0526306274140708,0.0198704789560156,0.766469475928117,0.000831616706177209,0.0156540160638437,0.00651571565941013,0.134157772960353,"PP","SRR8052819",2
0.00202204176305363,0,0.0600677722377478,0.85660264722488,0.00232143700844373,0.0789861017658749,0,0,"PN","SRR8052820",1
0.0140532935538344,0.0264423374460511,0,0.89935008633279,0.0021507353612153,0.0580035473061095,0,0,"PP","SRR8052821",2
0.0128077648909284,0,0.074612444542119,0.824653680956316,0.00278612151504374,0.0851399880955934,0,0,"PN","SRR8052822",1
0.00695872746199443,0.0387780139908081,0,0.840152506344054,0.0018134663101754,0.0235023618854837,0,0.0887949240074842,"PP","SRR8052823",2
0.0121301534406118,0,0.0653162976126091,0.861548723718383,0.00335102565743354,0.0576537995709624,0,0,"PN","SRR8052824",1
0.0111468283618555,0.046745663567206,0,0.793504787503949,0.000858200973860262,0.00788449220344953,0.00931329247070396,0.130546734918976,"PP","SRR8052825",2
0.0293997224312571,0,0.0761635950971126,0.810396399414222,0.0028959130122145,0.0811443700451936,0,0,"PN","SRR8052826",1
0.00404106749203951,0.0299270018478567,0.029967165454256,0.906362841028536,0.0022655889878407,0.0248702171362006,0,0.00256611805327015,"PP","SRR8052827",2
0.0134114237143804,0.0335707616671397,0.043332710853828,0.866904999192587,0.0024526697408103,0.0403274348312544,0,0,"PN","SRR8052828",1
0.00092007750760047,0.0396223526102828,0.00169924058335758,0.85926595556634,0.000716006669223574,0.0041199332133701,0.00850419213048639,0.0851522417193396,"PP","SRR8052829",2
0.0116882916006328,0,0.104062309371176,0.822551227610108,0.00349367984908629,0.0582044915689973,0,0,"PN","SRR8052830",1
0.00359813892282811,0.03582005136825,0,0.9241577755379,0.00322745607683354,0.0132534072790682,0,0.0199431708151204,"PP","SRR8052831",2
0.00697228668132596,0,0.163213890413789,0.745971890145129,0.00312674716931524,0.0807151855904414,0,0,"PN","SRR8052832",1
0.00601788248211651,0.0364530765476819,0,0.864658395225769,0.00148864490743153,0.0147585327386487,0.00157288276965008,0.0750505853287023,"PP","SRR8052833",2
0.0165701516741454,0,0.0877205349058151,0.797999938144308,0.00227229642181891,0.0954370788539125,0,0,"PN","SRR8052834",1
0.00825519892364866,0.0470962590966801,0.021325810369948,0.775665691709315,0.00105956509867555,0.00382626853274831,0.00737647101934255,0.135394735249642,"PP","SRR8052835",2
0.00243333452152159,0,0.1391052556518,0.797074330861217,0.00247937655698779,0.0589077024084736,0,0,"PN","SRR8052836",1
0,0.0066941589022184,0,0.968869357821133,0.00285994585800357,0.0215765374186447,0,0,"PP","SRR8052837",2
0.00496175460447217,0.042729272034335,0.0186543919320435,0.836251860452171,0.00234896611225339,0.0312142997336753,0,0.0638394551310497,"PP","SRR8052838",2
0.0024097566178565,0,0.0820414857337598,0.823826045630444,0.00256031180553261,0.0891624002124071,0,0,"PN","SRR8052839",1
0.00522863251100587,0.0289203075920842,0.015603202806582,0.904318413581301,0.00352339381819765,0.0424060496908296,0,0,"PP","SRR8052840",2
0.000348113880855491,0,0.048116299866332,0.860048349173347,0.00303796113942754,0.0884492759400381,0,0,"PN","SRR8052841",1
0.00604161539371176,0.049411208532173,0.030603875393758,0.745868760286074,0.00039631251239323,0.0159989198408887,0.00786872410053418,0.143810583940468,"PP","SRR8052842",2
0.00318525207638925,0,0.115585458733152,0.81194830217195,0.00332598881432472,0.065954998204184,0,0,"PN","SRR8052843",1
