"gene","k","dl_logFC","mf_logFC","dl_SE","mf_SE","dl_I2","mf_I2","dl_P","mf_P"
"SLC5A3",3,-0.0763354700022034,-0.0763354700022034,0.203254920602374,0.203254920602374,90.4515067709073,90.4515067709073,0.707240184164642,0.707240184164642
"CTD-2600H12.2",3,-0.233725621417141,-0.23372562141714,0.224260263227848,0.224260263227848,69.4757305409187,69.4757305409187,0.297315707486753,0.297315707486754
"MTR",3,-0.44432638191313,-0.44432638191313,0.214118609005367,0.214118609005367,95.5397058283982,95.5397058283982,0.0379734352827286,0.0379734352827286
"WDR19",3,-0.341310767100137,-0.341310767100137,0.0856597281392704,0.0856597281392704,66.6889850297823,66.6889850297823,6.76237522137379e-05,6.76237522137377e-05
"HS3ST2",3,-1.48976760683035,-1.48976760683035,0.52191911327266,0.521919113272662,75.1962923576481,75.1962923576481,0.00431177643693647,0.00431177643693656
"NYAP1",3,-1.78063756702094,-1.78063756702094,0.321288324417314,0.321288324417314,71.7360200740404,71.7360200740404,2.9872983286107e-08,2.98729832861059e-08
"TUBAL3",3,-0.735296949782609,-0.735296949782609,0.127770634429183,0.127770634429183,0,0,8.6734373017031e-09,8.67343730170315e-09
"METTL18",3,-0.125384639642659,-0.125384639642659,0.0532744213405726,0.0532744213405726,0,0,0.01859451981262,0.0185945198126201
"RP11-796E2.4",3,-0.127420790629561,-0.127420790629561,0.0660197375132752,0.0660197375132752,0,0,0.0536017758350199,0.0536017758350199
"MAP1A",3,-1.0308194833688,-1.0308194833688,0.549226530622535,0.549226530622535,94.7537537097,94.7537537097,0.0605377394301575,0.0605377394301575
"H6PD",3,-0.714430647615107,-0.714430647615107,0.147085454242484,0.147085454242484,89.6649693684488,89.6649693684488,1.19027989610104e-06,1.19027989610102e-06
"SEMA4G",3,-0.906151445795383,-0.906151445795382,0.226835248400534,0.226835248400534,86.1616978888829,86.1616978888828,6.4760941722331e-05,6.47609417223319e-05
"NEURL1",3,0.26305798537926,0.26305798537926,0.0965872258345241,0.0965872258345241,0,0,0.00645887983271748,0.00645887983271748
"ALAD",3,-0.514996432787417,-0.514996432787416,0.07655431339386,0.0765543133938606,69.437758012148,69.4377580121485,1.72954969396102e-11,1.72954969396181e-11
"RP11-96D1.7",3,-0.169967842649721,-0.169967842649721,0.0494218114014764,0.0494218114014764,0,0,0.000583595276398425,0.000583595276398425
"HNRNPA1P28",3,0.0607260459106919,0.060726045910692,0.10311034393363,0.10311034393363,0,0,0.55589996245932,0.55589996245932
"MRPS6",3,0.277276544946225,0.277276544946224,0.130393320464743,0.130393320464743,89.0984433391465,89.0984433391465,0.0334647437855982,0.0334647437855982
"PRKCQ-AS1",3,2.40775290222178,2.40775290222178,0.713280951949624,0.713280951949623,94.591997907637,94.591997907637,0.000736542736463842,0.000736542736463844
"TBX1",3,-0.860712125342804,-0.860712125342804,0.125703454563267,0.125703454563267,32.9628428838283,32.9628428838283,7.53285281320051e-12,7.5328528132006e-12
"AFG3L2P1",3,0.130625546054352,0.130625546054352,0.0555454460663126,0.0555454460663126,0,0,0.0186884547167976,0.0186884547167976
"RP11-548H3.1",3,0.286065743272436,0.286065743272436,0.148237257662421,0.148237257662421,55.7230169501815,55.7230169501815,0.0536337278366277,0.0536337278366277
"SAP25",3,-0.305573862738139,-0.305573862738139,0.305967283222044,0.305967283222044,67.4537906628631,67.4537906628631,0.317933172099294,0.317933172099295
"GPR75-ASB3",3,-0.198035036706074,-0.198035036706074,0.0317181392397353,0.0317181392397353,0,0,4.27641805704615e-10,4.27641805704613e-10
"ELAC2",3,0.382971191948332,0.382971191948331,0.113904984534792,0.113904984534791,87.4745209240863,87.4745209240863,0.000773244579000705,0.000773244579000709
"EPN3",3,1.10523808249404,1.10523808249404,0.243176701570651,0.243176701570651,91.7502138268283,91.7502138268283,5.49352821463575e-06,5.49352821463575e-06
"CAPZA2",3,0.0465419260561955,0.0465419260561955,0.0413121727629726,0.0413121727629726,0,0,0.25991540479701,0.25991540479701
"MXI1",3,-0.357563365488384,-0.357563365488384,0.0388023190939275,0.0388023190939274,0,0,3.11278676509606e-20,3.11278676509606e-20
"GTSE1-AS1",3,-0.163880043967813,-0.163880043967813,0.316512071997012,0.316512071997012,81.6537391136923,81.6537391136923,0.60461965924544,0.60461965924544
"CWC27",3,0.0587005135986127,0.0587005135986128,0.0767801389060232,0.0767801389060231,70.7712188585404,70.7712188585404,0.444553064158697,0.444553064158697
"BCDIN3D-AS1",3,-0.0449705743781382,-0.0449705743781382,0.0492987986262041,0.0492987986262041,0,0,0.361661199067627,0.361661199067627
"ACACA",3,0.225610284254138,0.225610284254138,0.104444172870126,0.104444172870126,81.3979834751432,81.3979834751432,0.0307646130281761,0.0307646130281761
"RBMX",3,0.0896073240130968,0.0896073240130968,0.0263020031268519,0.0263020031268519,0,0,0.000657140776089717,0.000657140776089717
"HIST2H2AA3",3,0.42268975372535,0.42268975372535,0.264234393698354,0.264234393698354,88.342480717581,88.342480717581,0.109670196701637,0.109670196701636
"SLC39A1",3,0.11963997994976,0.11963997994976,0.077521134732924,0.077521134732924,74.1935584480389,74.1935584480389,0.12275295847275,0.12275295847275
"TIMM22",3,0.268221715629304,0.268221715629304,0.0873450334284327,0.0873450334284328,85.724525963192,85.724525963192,0.00213464924494263,0.00213464924494263
"SCAMP1",3,0.0814552701927818,0.0814552701927818,0.0453891040046451,0.0453891040046451,0,0,0.0727175088470951,0.0727175088470951
"PSEN2",3,0.160990480728063,0.160990480728063,0.105587040162199,0.105587040162199,77.7586122113517,77.7586122113517,0.127329402825413,0.127329402825413
"SPRR2G",3,5.01172952798346,5.01172952798346,0.504871351716881,0.504871351716881,78.2827469127574,78.2827469127574,3.1848019979565e-23,3.18480199795656e-23
"HS6ST1P1",3,0.543018188480195,0.543018188480195,0.170978559422631,0.170978559422631,76.9356286443239,76.9356286443239,0.00149350204677703,0.00149350204677703
"KDM1A",3,0.232542801218154,0.232542801218154,0.0282520205153433,0.0282520205153433,24.3151503855357,24.3151503855357,1.85633907689788e-16,1.85633907689799e-16
"CTD-2228K2.7",3,0.397269956302322,0.397269956302323,0.112997240225576,0.112997240225576,0,0,0.000438515020925807,0.000438515020925807
"ABALON",3,0.235606168115461,0.235606168115461,0.132173854842712,0.132173854842712,87.048089387691,87.048089387691,0.0746600003441732,0.0746600003441731
"RANBP6",3,0.0305259380935085,0.0305259380935085,0.0656117149559544,0.0656117149559544,54.84078928124,54.8407892812399,0.641751479137116,0.641751479137116
"BX842568.2",3,0.593590457541247,0.593590457541248,0.153179853344622,0.153179853344622,80.7293088576845,80.7293088576845,0.000106571755983299,0.000106571755983298
"ELOF1",3,0.40387082988941,0.40387082988941,0.148100094073879,0.148100094073879,88.913939009504,88.913939009504,0.00639105890369181,0.00639105890369182
"VPS4A",3,-0.0528236930351058,-0.0528236930351058,0.02634075066559,0.02634075066559,0,0,0.0449204977914603,0.0449204977914603
"RP11-771F20.1",3,-0.414062650573325,-0.414062650573325,0.168825441946997,0.168825441946997,53.5765936319015,53.5765936319015,0.0141824748995664,0.0141824748995663
"ZFP28",3,-1.33410193947435,-1.33410193947435,0.352953153308424,0.352953153308424,95.2438545768172,95.2438545768172,0.000156937218138186,0.000156937218138186
"WI2-1896O14.1",3,-1.4316957107928,-1.4316957107928,0.376117028736072,0.376117028736072,87.4973197913053,87.4973197913054,0.000140937840911453,0.000140937840911454
"DDI2",3,0.352691117918283,0.352691117918283,0.14166398247858,0.14166398247858,90.807519076778,90.8075190767779,0.0127875591331902,0.0127875591331901
"RPL9",3,-0.0933970269580563,-0.0933970269580563,0.122080397007106,0.122080397007106,40.3240941705278,40.3240941705278,0.444244604404967,0.444244604404968
"MAPKAPK3",3,0.661921704121998,0.661921704121998,0.190014574931262,0.190014574931262,93.5670537868953,93.5670537868953,0.000494845401533497,0.000494845401533504
"NAB1",3,-0.630724290790141,-0.630724290790141,0.213790682874028,0.213790682874028,92.6449851314469,92.6449851314469,0.0031757300522741,0.00317573005227412
"SMARCE1P5",3,0.068761217407834,0.068761217407834,0.040071206000892,0.040071206000892,0,0,0.0861664825864118,0.0861664825864119
"HSDL1",3,-0.0491081195105795,-0.0491081195105795,0.0471899877947981,0.0471899877947982,42.1400114577402,42.1400114577403,0.298039406694035,0.298039406694035
"RP11-1212A22.4",3,-0.422855190078843,-0.422855190078843,0.228859630021956,0.228859630021956,88.3563638246234,88.3563638246234,0.064651287113899,0.064651287113899
