"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","fdr_BH"
1.70835383324434e-40,-0.152969256535822,0.712,0.815,4.13165374570145e-36,"PEBP1",7.35320830024886e-40
1.78216872043006e-40,-0.333988581444182,0.171,0.244,4.3101750503601e-36,"BCL9L",7.66366302980388e-40
1.82916908986867e-40,-0.149852973193145,0.456,0.554,4.42384544384737e-36,"TMEM147",7.85833191778016e-40
1.85480494182244e-40,-0.23493533589067,0.185,0.263,4.48584575179756e-36,"TIMM44",7.96093501022278e-40
1.88103375387492e-40,-0.154500683887273,0.425,0.524,4.5492801337465e-36,"POLR2F",8.06588694650237e-40
2.0003489498803e-40,-0.128025048164784,0.466,0.564,4.8378439352855e-36,"CCT3",8.56941941642117e-40
2.08566300805417e-40,0.89872559995534,0.226,0.168,5.044175984979e-36,"THBS2",8.92648041430159e-40
2.09490534432063e-40,-0.818165325970978,0.079,0.136,5.06652857523944e-36,"MXRA5",8.95759432067795e-40
2.13107643167561e-40,-0.188450756976508,0.149,0.22,5.15400835000746e-36,"LEO1",9.10368586664059e-40
2.30625466701448e-40,-0.25292872760895,0.223,0.303,5.57767691217452e-36,"SMIM15",9.84276545386537e-40
2.72484412707742e-40,-0.260308093998794,0.59,0.697,6.59003552133674e-36,"TUBB",1.16183259916043e-39
2.73464413858652e-40,-0.184089029846612,0.269,0.359,6.61373684917151e-36,"PIM1",1.16491735772246e-39
3.81289533392277e-40,-0.168512303069488,0.193,0.273,9.22148736509223e-36,"HIBCH",1.62271393733302e-39
4.51942827150322e-40,-0.118689924350651,0.35,0.446,1.09302372746305e-35,"BLOC1S2",1.92160335027117e-39
4.52459638853589e-40,1.0465907419259,0.133,0.087,1.0942736365674e-35,"LPCAT4",1.92200114128545e-39
4.88310247232498e-40,-0.27605958605008,0.256,0.338,1.1809783329318e-35,"BCL7B",2.07235218007736e-39
5.39271105611753e-40,-0.101490443267185,0.388,0.486,1.30422716892203e-35,"BTF3L4",2.28648934694955e-39
5.91263639675552e-40,-0.19471831848624,0.345,0.436,1.42997111255532e-35,"KGD4",2.50459719008086e-39
6.25847535286186e-40,-0.266860345840048,0.194,0.272,1.51361226408964e-35,"FH",2.64831940885565e-39
6.26358741491074e-40,-0.519070090111757,0.102,0.164,1.51484861629616e-35,"CCDC86",2.64831940885565e-39
6.77080226919032e-40,-0.225518548142737,0.232,0.318,1.63751852880368e-35,"PCBD1",2.8601128469203e-39
6.84608894156746e-40,-0.356926021511226,0.141,0.21,1.65572661051809e-35,"TXNRD1",2.88922768435482e-39
7.34220688213706e-40,-0.140104888766121,0.241,0.325,1.77571273444485e-35,"NAGK",3.09572529728732e-39
8.29596184768464e-40,-0.931406017486013,0.068,0.121,2.00637837286253e-35,"SOX9",3.4946162106063e-39
8.38304397409163e-40,-0.286019689507905,0.129,0.197,2.02743918513406e-35,"TFRC",3.5280261989203e-39
8.89917263583025e-40,-0.154100810991609,0.273,0.361,2.15226490197554e-35,"NIT2",3.74177249438011e-39
9.45483033530185e-40,-0.210419064346862,0.174,0.249,2.28665071659275e-35,"RRP1",3.97172845074983e-39
1.00296577934016e-39,-0.129313512493344,0.591,0.699,2.42567273733419e-35,"RSL24D1",4.20930462475385e-39
1.05877396180793e-39,-0.146594193989554,0.462,0.557,2.56064482663247e-35,"TXNDC17",4.43942064687886e-39
1.17736290816649e-39,-0.153371386451657,0.158,0.234,2.84745219340066e-35,"GPSM2",4.93210790219929e-39
1.24679323407282e-39,-0.163874117629018,0.191,0.27,3.01536943660512e-35,"DCAF13",5.21814569209647e-39
1.25820005327635e-39,-0.13772405157442,0.375,0.47,3.04295682884885e-35,"HDLBP",5.2610372393443e-39
1.26819769038192e-39,-0.120149071680453,0.488,0.585,3.06713611418868e-35,"PDCD5",5.29796293654489e-39
1.43810827961753e-39,-0.251654537140332,0.198,0.275,3.478064874255e-35,"SGMS1",6.00225156042574e-39
1.45339958242882e-39,-0.173908916253103,0.16,0.231,3.51504689010411e-35,"ARAP2",6.06050275831889e-39
1.51214154508613e-39,-0.112898048526204,0.612,0.705,3.65711432679079e-35,"ENSA",6.29966491397809e-39
1.60601804652461e-39,-0.272099868915217,0.179,0.255,3.88415464551978e-35,"GPATCH4",6.68462690125413e-39
1.72727105892342e-39,-0.130576799193885,0.376,0.471,4.1774050560063e-35,"GTF2H5",7.18272699502862e-39
1.83427801867468e-39,-0.367911473214441,0.095,0.156,4.43620138816471e-35,"TXLNG",7.62072871253588e-39
2.23309134914171e-39,0.19101088091284,0.325,0.456,5.40073142789922e-35,"KLK11",9.2691661941979e-39
2.28291196516975e-39,-0.268261654254323,0.148,0.217,5.52122258776303e-35,"SLC39A4",9.46730888934779e-39
2.4853553876315e-39,-0.184902453104909,0.286,0.373,6.01083200498677e-35,"UQCC2",1.02974441744842e-38
2.80593028005379e-39,-0.640526932209426,0.063,0.115,6.78614238231009e-35,"GALNT6",1.16150678229027e-38
3.19380508069579e-39,-0.224601594629351,0.278,0.363,7.72421758766277e-35,"SFT2D1",1.32086237444805e-38
3.25285401186369e-39,-0.1186403449458,0.398,0.495,7.86702742769234e-35,"PUF60",1.34405915085287e-38
3.27824147201932e-39,-0.270368956469524,0.263,0.345,7.92842700007873e-35,"ISCA1",1.35331768403998e-38
3.32813277331082e-39,-0.287275321816874,0.174,0.247,8.04908911225223e-35,"BACH1",1.37266584228923e-38
3.49140094014072e-39,0.945299780120248,0.146,0.098,8.44395317373033e-35,"HIP1",1.43869797360971e-38
3.72900555861631e-39,-0.285410683800527,0.183,0.258,9.01859994351355e-35,"NPM3",1.53521434648021e-38
3.7614005460894e-39,-0.16760750538834,0.198,0.278,9.09694722071722e-35,"ST14",1.54714853983623e-38
4.71765258830922e-39,-0.308048821184393,0.168,0.24,1.14096427848258e-34,"BCCIP",1.93872039850789e-38
4.80476755794932e-39,-0.166084180787064,0.253,0.336,1.16203303389004e-34,"SURF2",1.97273503441662e-38
4.87867727586811e-39,-0.169952041443449,0.357,0.447,1.1799080991687e-34,"PPP1R10",2.00127131975764e-38
6.05726604686599e-39,-0.248103838192375,0.229,0.31,1.46494979343454e-34,"SF3B4",2.48249504682477e-38
6.07545001741993e-39,-0.208289945014463,0.211,0.289,1.46934758671301e-34,"BCL10",2.48770230199314e-38
7.51111275770607e-39,-0.436690192417211,0.095,0.155,1.81656262045121e-34,"MORC4",3.0727894624093e-38
7.7773127602323e-39,1.43170823744743,0.225,0.175,1.88094309106218e-34,"CNFN",3.17882783476282e-38
8.063619016387e-39,-0.426780252458505,0.089,0.148,1.9501862591132e-34,"SNHG18",3.29288614688969e-38
8.09472824301201e-39,-0.275028389386553,0.477,0.536,1.95771002557246e-34,"S100A8",3.30262003158289e-38
8.75443037086513e-39,-0.223546183968423,0.231,0.314,2.11725898519373e-34,"TIPRL",3.56856986661567e-38
1.00952370572802e-38,-0.17978025965833,0.317,0.407,2.44153308230323e-34,"COPS2",4.11143241947169e-38
1.09637933575283e-38,-0.107312853771031,0.535,0.646,2.65159342351822e-34,"CUTA",4.46116358750323e-38
1.13294712200169e-38,-0.14692626764213,0.58,0.692,2.74003261456108e-34,"TMEM258",4.60583069025038e-38
1.17042307968163e-38,-0.29749603215078,0.092,0.152,2.83066821821001e-34,"FBLIM1",4.75392773240991e-38
1.19292852628019e-38,-0.105786416119353,0.41,0.504,2.88509764080865e-34,"PHB1",4.84100843417189e-38
1.20902662036089e-38,-0.290220040442113,0.138,0.205,2.92403088134281e-34,"PPAN",4.90195525273107e-38
1.22721626192398e-38,-0.322258969750105,0.197,0.271,2.96802252946314e-34,"UBE2D1",4.97126587457341e-38
1.2651584944155e-38,-0.257543555921247,0.62,0.732,3.05978581874389e-34,"TUBA1B",5.12039636643564e-38
1.42191232985746e-38,-0.276417787328644,0.187,0.261,3.43889496976027e-34,"FEM1B",5.74969179864891e-38
1.45557859615624e-38,-0.182436883730425,0.242,0.323,3.52031683480387e-34,"COQ10B",5.88058932842125e-38
1.57603108179018e-38,-0.106247877148603,0.358,0.451,3.81163117130956e-34,"TMBIM1",6.36156190436374e-38
1.59746557054447e-38,-0.143742672095932,0.294,0.38,3.8634704823618e-34,"ARIH1",6.44235449009098e-38
1.76739414478524e-38,0.761780758903468,0.104,0.063,4.27444273916309e-34,"CPNE8",7.12132813795011e-38
1.77697797877335e-38,-0.253065911978421,0.648,0.702,4.29762124166334e-34,"KRT14",7.15359663263278e-38
1.92500380946456e-38,-0.185514683160182,0.145,0.212,4.65562171319004e-34,"ARHGAP32",7.74264154010502e-38
1.94408125333062e-38,-0.105584102328831,0.194,0.272,4.7017605111801e-34,"TCERG1",7.81245395696845e-38
2.24048558944643e-38,-0.134462839865609,0.344,0.435,5.41861439807619e-34,"TFG",8.99561897584106e-38
2.24513535091712e-38,-0.197947223635619,0.185,0.261,5.42985984619305e-34,"ITGB5",9.00632476017195e-38
2.3458859337587e-38,-0.155871511451509,0.833,0.916,5.67352513079541e-34,"CFL1",9.40217830997198e-38
2.35786193252235e-38,-0.110864556723437,0.255,0.337,5.70248908380531e-34,"TNFAIP8",9.4418439467231e-38
2.37485701093619e-38,-0.14979815970075,0.264,0.348,5.74359168094917e-34,"RABGGTB",9.50152042877642e-38
2.41916874469799e-38,-0.106322535956459,0.334,0.426,5.85075960905208e-34,"BRD4",9.670286328938e-38
2.60014928965881e-38,-0.200130611730331,0.209,0.288,6.28846105703984e-34,"IPO7",1.03845892034658e-37
2.65875304480339e-38,-0.381840998999098,0.124,0.189,6.43019423885701e-34,"MFHAS1",1.06093124573394e-37
2.69437890850075e-38,-0.105134056306943,0.95,0.974,6.51635539020907e-34,"RPS13",1.07420321540842e-37
2.9227571461344e-38,-0.226115820445686,0.218,0.296,7.06868815792605e-34,"REEP4",1.16423159654354e-37
3.05515641911207e-38,-0.212343811624963,0.195,0.272,7.38889579962255e-34,"DDX27",1.21590405777282e-37
3.62043584678317e-38,-0.232593625571577,0.164,0.236,8.75602409544509e-34,"EXOSC5",1.43961463925065e-37
4.19865370464024e-38,-0.387380052934273,0.129,0.193,1.01544439846724e-33,"NUS1",1.66807405711035e-37
4.2911083100466e-38,-0.172675369267826,0.223,0.304,1.03780454478477e-33,"BRIX1",1.70331493320993e-37
4.97797950398416e-38,-0.145369589790831,0.366,0.456,1.20392434303857e-33,"ELF1",1.97423623821765e-37
5.63398911010025e-38,-0.115175191611357,0.201,0.278,1.36258026627774e-33,"TRAP1",2.23245589432506e-37
6.24431901907794e-38,-0.123284472320637,0.647,0.741,1.510188554764e-33,"DNAJA1",2.47214059857305e-37
6.33262485568732e-38,-0.324848201954303,0.095,0.155,1.53154532134798e-33,"CENPU",2.5049172011913e-37
6.82101311952334e-38,-0.194177031054684,0.327,0.414,1.64966202295672e-33,"PQBP1",2.69575461929987e-37
6.89573019166026e-38,-0.47836171825503,0.087,0.145,1.66773234685303e-33,"RCC1",2.72291398263733e-37
6.93916586067125e-38,-0.258006722529466,0.145,0.213,1.67823726340334e-33,"GALK1",2.73768481088689e-37
8.29495092997675e-38,-0.187245232503507,0.28,0.364,2.00613388241488e-33,"MRPL13",3.26973716779726e-37
9.38635401623222e-38,-0.10917141608938,0.787,0.865,2.27008971882576e-33,"PABPC1",3.69674185496188e-37
9.72504339799494e-38,-0.496266657718871,0.131,0.195,2.35200174580508e-33,"SLC16A10",3.82681300435832e-37
1.01468212388559e-37,-0.328630412118923,0.181,0.253,2.45400871661729e-33,"SRD5A3",3.98932599529391e-37
1.0744724619732e-37,-0.244588195229874,0.178,0.25,2.5986116492822e-33,"AKIRIN2",4.22074346870268e-37
1.12889703192311e-37,-0.169601166920489,0.198,0.275,2.73023747170603e-33,"AFG3L2",4.43070131543893e-37
1.15973411200031e-37,-0.211149742081481,0.16,0.232,2.80481694987274e-33,"SRD5A1",4.54780017495113e-37
1.33994622543272e-37,-0.826347533179961,0.092,0.148,3.24065994620904e-33,"LUM",5.24995324390853e-37
1.37317301336888e-37,-0.373708406913858,0.131,0.195,3.32101893283263e-33,"PHF23",5.37549883940352e-37
1.4181980042142e-37,-0.111191957596466,0.384,0.477,3.42991187319204e-33,"HSPA9",5.54697427832617e-37
1.48963684610111e-37,-0.110457724152895,0.567,0.671,3.60268671229554e-33,"NDUFB9",5.82137772645881e-37
1.59276189004126e-37,-0.174295843876453,0.184,0.258,3.85209463106478e-33,"AEBP2",6.21902987332533e-37
1.67625113540823e-37,-0.319372290855698,0.096,0.156,4.0540133709848e-33,"LINC03125",6.53939553770513e-37
1.92531067307014e-37,1.50594503720196,0.151,0.107,4.65636386282013e-33,"NCCRP1",7.50458005700558e-37
1.99083822928187e-37,-0.127471759445484,0.203,0.282,4.81484225751821e-33,"MRPS22",7.75334168024783e-37
2.16810745662251e-37,-0.137408240699814,0.348,0.441,5.24356788384154e-33,"UBE2A",8.43648325666051e-37
2.17924425468156e-37,-0.367009436089139,0.142,0.207,5.27050222994736e-33,"ETV3",8.47255835660014e-37
2.2285469690906e-37,-0.256725960280953,0.165,0.238,5.38974084474563e-33,"HSD17B8",8.65682787565476e-37
2.29199922243974e-37,0.517821935007444,0.164,0.113,5.5432001194705e-33,"BACE2",8.89569954623834e-37
2.29698644409774e-37,-0.318508629806311,0.158,0.226,5.55526171505038e-33,"ERBB3",8.90744273496826e-37
2.32886290565714e-37,-0.178770712843752,0.191,0.267,5.6323549373318e-33,"NAA15",9.02335021722617e-37
2.42268217374e-37,-0.16923113007192,0.25,0.33,5.85925683719019e-33,"MPHOSPH6",9.37885741769253e-37
2.78819958440288e-37,-0.20594218140925,0.17,0.242,6.74326069487837e-33,"TSFM",1.07846799938445e-36
2.91275887882567e-37,-0.102178238132682,0.634,0.748,7.04450734843988e-33,"TRMT112",1.12568834627637e-36
2.94359589215174e-37,0.755802886698788,0.535,0.522,7.11908666516897e-33,"ADIRF",1.13663851583852e-36
3.02127806189155e-37,-0.24194961819423,0.594,0.681,7.30696099268472e-33,"HES1",1.16564347315629e-36
3.23948994735529e-37,-0.428544693475488,0.066,0.117,7.83470643767876e-33,"MYCL",1.2487711248676e-36
3.57073464327661e-37,0.630645352338731,0.233,0.174,8.63582173476448e-33,"GLRX",1.37529313105336e-36
3.64761749830847e-37,-0.211448864132929,0.082,0.14,8.82176291965903e-33,"ECHDC3",1.40371449659481e-36
3.79416837110272e-37,-0.64600726367019,0.075,0.128,9.17619620551192e-33,"AEN",1.45887540839775e-36
4.14273800700595e-37,-0.148902705877221,0.202,0.282,1.00192118699439e-32,"PSAT1",1.59155442384213e-36
4.28312605918579e-37,-0.663304664336504,0.067,0.119,1.03587403741408e-32,"DDX28",1.64409766988695e-36
4.36739666381529e-37,-0.137831093980019,0.238,0.319,1.05625488314373e-32,"ANKLE2",1.67502941303929e-36
4.43895527878253e-37,-0.137642559541544,0.481,0.582,1.07356133417355e-32,"BLOC1S1",1.70103763046004e-36
4.49917678406344e-37,-0.252423754763383,0.17,0.243,1.08812590522574e-32,"PUM3",1.72266119531468e-36
4.53471382629721e-37,-0.29994285917707,0.184,0.256,1.09672053888998e-32,"MPP7",1.73480501139138e-36
4.58630469898933e-37,-0.17452767570464,0.289,0.372,1.10919779145057e-32,"OSER1",1.75306478435274e-36
